U' L B' R' U2 R
U' L R' B' R' U2 R2
U' L R2 B' R' U2 R'
U' L U2 B' U2 B L
U L U2 B' L' R' U2
U L U2 B' R' L' U2
U' L D B' R' U2 R
U' L D' B' R' U2 R
U' L D2 B' R' U2 R
U2 L F U' B' U2 B
U L F2 L2 R F L'
U L F2 R L2 F L'
L' R B2 R' B' U' F
U' L B' L R' U2 R
U' L B' L' R' U2 R
U' L B' L2 R' U2 R
U' L B' R' L U2 R
U' L B' R' L' U2 R
U' L B' R' L2 U2 R
U' L B' R' U2 R D
U' L B' R' U2 R D'
U' L B' R' U2 R D2
U' L B' R' U2 D R
U' L B' R' U2 D' R
U' L B' R' U2 D2 R
U' L B' R' D U2 R
U' L B' R' D' U2 R
U' L B' R' D2 U2 R
U L B' L' U2 B L
U' L B' D R' U2 R
U' L B' D' R' U2 R
U' L B' D2 R' U2 R
R' L' U2 F' L U F2
L' R' U2 F' L U F2
U' L' R2 F R2 B L
U' L' F R2 B L R2
U' L' F R2 B R2 L
R2 L' B2 R' B U' F
U' L' F U2 F' U2 L'
R L' B2 R' B' U' F
U L' F U2 L R U2
U L' F U2 R L U2
U L' F' L' F2 D2 R2
U L' F' L2 F2 L R
U L' F' L2 F2 R L
U' L' B' R' U2 R F
U2 L' B' U2 B U F
U' L2 R U2 R' F' L'
L' R2 B2 R' B U' F
U' R L2 U2 R' F' L'
U' R U2 R' F' L' F
U' R U2 F' L' R' F
U' R U2 F' L' F R'
U' R U2 F' R' L' F
U' R B2 L B' U2 L
U' R' L B' R' U2 R2
L' U' F U' L F U
L' U' F B D L B'
L' U' B D F L B'
U' R' U2 R F' L' F
L' U' B F D L B'
U' R' U2 D2 R F' L'
U' R' U2 F' L' F R
F2 R' D F' R U R
U' R' D2 U2 R F' L'
D R' F' R U2 F U'
U' R2 L B' R' U2 R'
L' U2 F L F U F'
U' R2 L' F R2 B L
L' U2 F' L F U F
L' U2 F2 L F U F2
U' R2 U2 R2 F' L' F
U' R2 U2 F' L' R2 F
U' R2 U2 F' L' F R2
U' R2 U2 F' R2 L' F
R' D F' R U2 F U'
F' U F' L' D R2 F
F' U F' L' D F R2
F2 U F' L' F D R2
D2 U' R U2 F' L' R'
D2 U' R U2 F' R' L'
B' U' L B' R' U2 R
B2 U' L B' R' U2 R
B U' L B' R' U2 R
D2 U' R' B U2 L R
D2 U' R' B U2 R L
D2 U' B' R' B U2 R
U' D2 R U2 F' L' R'
U' D2 R U2 F' R' L'
U' D2 R' B U2 L R
U' D2 R' B U2 R L
F' U2 L' B' U' F R
F2 U2 L' F2 B' U' F'
F2 U2 L' B' F2 U' F'
F U2 L' F' B' U' F2
F U2 L' B' F' U' F2
U' D2 B' R' B U2 R
F' U2 D F L' B' U'
F' U2 F L' B' U' F
F' U2 F U' F' L' F
F2 U2 F2 L' B' U' F
F U2 F' L' B' U' F
F2 U2 F2 U' F' L' F
F U2 F' U' F' L' F
U' F U2 F' U2 L' F
D F U2 L' F' B' U'
D F U2 L' B' F' U'
F2 D R' F' R U R2
F' D U2 F L' B' U'
U F' L F L2 F R
U F' L F2 L2 R F
U' F' L2 B L F B2
U' F' L2 B L B2 F
U F' L F2 R L2 F
U F' L' F U2 L U2
U F' L' F B2 R' B2
U F' L' B2 R' F B2
U F' L' B2 R' B2 F
U F' L' B2 F R' B2
U F' L2 D2 L R2 F
U F' L2 D2 L F R2
U F' L2 D2 R2 L F
D F' R U2 F B U'
D F' R U2 B F U'
R' F' U2 L' U' F R
R' F' U2 D F L' U'
R' F' U2 F L' U' F
R' F' D U2 F L' U'
U' F' B2 L2 B' L F
U F' B U2 B' L' F
U F' B' U2 L' F B
U F' B' U2 L' B F
U F' B' U2 B L' F
U F' B2 L' F B2 R'
U F' B2 L' B2 R' F
U F' B2 L' B2 F R'
U F' B2 U2 L' F B2
U F' B2 U2 L' B2 F
U F' B2 U2 B2 L' F
U F2 L' F L' D2 R2
U' F2 B L' F L2 B'
U' B L U2 B' U2 B
U' B L' F' L2 F2 B'
U' B L' F' L2 B' F2
L' B R B R' U' F
D' B R' F' U2 F U'
U' B F2 L' F L2 B'
U' B' L R' B' U2 R
U' B' L' R' U2 R F
U B F' U2 B' L' F
U' B' R' L B' U2 R
U' B' R' L' U2 R F
U' B' R' U2 D2 R F'
U' B' R' D2 U2 R F'
R B' L' B2 R' U' F
U B' R2 F' U2 L' F
U B' U2 L' F B L
U B' U2 L' B F L
U B' U2 L2 B L F
U' B' D2 R' B U2 R
U B' U2 B L' F L2
U B' F' U2 L' F B
U B' F' U2 L' B F
U B' F' U2 B L' F
L' B2 R B R2 U' F
L' B2 R' U' F D' L2
L' B2 R' U2 F' U F2
U' B2 F' L2 B' L F
U B2 F' L' F B2 R'
U B2 F' L' B2 R' F
U B2 F' L' B2 F R'
U B2 F' U2 L' F B2
U B2 F' U2 L' B2 F
U B2 F' U2 B2 L' F
