L2 R U D R2 F'
L2 R D U R2 F'
L2 R' U D F' R2
L2 R' U2 F2 U' F
L2 R' D U F' R2
L2 R' D2 B2 U F'
R' L2 U D F' R2
R L2 U D R2 F'
R' L2 U2 F2 U' F
R' L2 D U F' R2
R L2 D U R2 F'
R' L2 D2 B2 U F'
R' U D F' R2 B
L2 U2 L F2 U' F'
D2 R' B2 L U F'
L2 U2 F2 L U' F
L2 D R' U F' R'
R' D U F' R2 B
L2 D2 R' B2 U F'
L2 D2 B2 R' U F'
L2 R U R2 D F' R2
L2 R U D R2 D F'
L2 R U D R2 D' F'
L2 R U D R2 D2 F'
L2 R U D R2 F' D
L2 R U D R2 F' D'
L2 R U D R2 F' D2
L2 R U D F R2 F'
L2 R U D F' R2 F'
L2 R U D F2 R2 F'
D' L R' U F' B2 R'
D' L R' U B2 F' R'
L2 R U' D B U2 R2
L2 R U' D' L2 B U2
L2 R U' D' B L2 U2
D2 L R' B2 L U F'
L2 R U' B U' F2 U'
L2 R U' B U2 D R2
L2 R U' B D U2 R2
L2 R U' B D' L2 U2
L2 R U2 F2 U B U2
L' R D L' U R2 F'
R' L D L U F' R2
L R D L U R2 F'
L2 R D R U R F'
R L D L U R2 F'
L2 R D U R2 D F'
L2 R D U R2 D' F'
L2 R D U R2 D2 F'
L2 R D U R2 F' D
L2 R D U R2 F' D'
L2 R D U R2 F' D2
L2 R D U F R2 F'
L2 R D U F' R2 F'
L2 R D U F2 R2 F'
L2 R D U' B U2 R2
L2 R D' U' L2 B U2
L2 R D' U' B L2 U2
F2 L U2 L F2 U F'
R' L D2 L B2 U F'
F2 L U2 F2 L U F
L2 R D2 R2 B2 U F'
L2 R D2 B2 U' B' U2
F2 L D2 B2 R' U' F'
L2 R B U2 F2 U' F2
L2 R B' D2 B2 U F2
U2 L F2 U2 L U F'
L2 R' U R2 D R2 F'
L2 R' U D F R2 F2
L2 R' U D F' R2 D
L2 R' U D F' R2 D'
L2 R' U D F' R2 D2
L2 R' U D F2 R2 F
L2 R' U D' F' D2 R2
L2 R' U D2 F' D' R2
L2 R' U F' U F' U'
L2 R' U' D' L2 U2 F'
L2 R' U2 L F2 U' F
L2 R' U2 L' F2 U' F
L2 R' U2 L2 F2 U' F
R' L' U2 F2 R U' F
L' R' U2 F2 R U' F
R2 L' U2 F2 R U' F'
L2 R' U2 F2 U' D F
L2 R' U2 F2 U' D' F
L2 R' U2 F2 U' D2 F
L2 R' U2 F2 U' F D
L2 R' U2 F2 U' F D'
L2 R' U2 F2 U' F D2
L2 R' U2 F2 D U' F
L2 R' U2 F2 D' U' F
L2 R' U2 F2 D2 U' F
R' L' D L' U F' R2
L' R' D L' U F' R2
L R' D L U F' R2
R L' D L' U R2 F'
L2 R' D U F R2 F2
L2 R' D U F' R2 D
L2 R' D U F' R2 D'
L2 R' D U F' R2 D2
L2 R' D U F2 R2 F
L2 R' D B U F' R2
L2 R' D B' U F' R2
D2 L' R' B2 L U F'
L2 R' D B2 U F' R2
L2 R' D' U F' D2 R2
L2 R' D' U' L2 U2 F'
R' L' D2 L' B2 U F'
L' R' D2 L' B2 U F'
L R' D2 L B2 U F'
R2 L' D2 L' B2 U F
L2 R' D2 U F' D' R2
R' L' D2 B2 L' U F'
L' R' D2 B2 L' U F'
R2 L' D2 B2 L' U F
L2 R' D2 B2 U D F'
L2 R' D2 B2 U D' F'
L2 R' D2 B2 U D2 F'
L2 R' D2 B2 U F' D
L2 R' D2 B2 U F' D'
L2 R' D2 B2 U F' D2
L2 R' D2 B2 D U F'
L2 R' D2 B2 D' U F'
L2 R' D2 B2 D2 U F'
L2 R' B U D F' R2
L2 R' B U2 F2 U' F
L2 R' B D U F' R2
L2 R' B D2 B2 U F'
L2 R' B' U D F' R2
L2 R' B' U2 F2 U' F
L2 R' B' D U F' R2
L2 R' B' D2 B2 U F'
L2 R' B2 U D F' R2
L2 R' B2 U2 F2 U' F
L2 R' B2 D U F' R2
L2 R' B2 D2 B2 U F'
R' L2 U R2 D R2 F'
R' L2 U D F R2 F2
R' L2 U D F' R2 D
R' L2 U D F' R2 D'
R' L2 U D F' R2 D2
R' L2 U D F2 R2 F
R' L2 U D' F' D2 R2
R2 L2 U R D F' R2
L2 R2 U R D F' R2
R' L2 U D2 F' D' R2
L2 R2 U R' D R2 F'
R2 L2 U R' D R2 F'
R' L2 U F' U F' U'
R L2 U R2 D F' R2
R L2 U D R2 D F'
R L2 U D R2 D' F'
R L2 U D R2 D2 F'
R L2 U D R2 F' D
R L2 U D R2 F' D'
R L2 U D R2 F' D2
R L2 U D F R2 F'
R L2 U D F' R2 F'
R L2 U D F2 R2 F'
U2 L' F2 L2 R U' F
R' L2 U' D' L2 U2 F'
U2 L' F2 R L2 U' F
U2 L' F2 R U B' U2
R L2 U' D B U2 R2
R L2 U' D' L2 B U2
R' L2 U2 L F2 U' F
R L2 U' D' B L2 U2
R' L2 U2 L' F2 U' F
R' L2 U2 L2 F2 U' F
R L2 U' B U' F2 U'
R L2 U' B U2 D R2
R L2 U' B D U2 R2
R L2 U' B D' L2 U2
R' L2 U2 F2 U' D F
R' L2 U2 F2 U' D' F
R' L2 U2 F2 U' D2 F
R' L2 U2 F2 U' F D
R' L2 U2 F2 U' F D'
R' L2 U2 F2 U' F D2
R' L2 U2 F2 D U' F
L' R2 U2 F2 R U' F'
R' L2 U2 F2 D' U' F
R' L2 U2 F2 D2 U' F
R L2 U2 F2 U B U2
R' L2 D U F R2 F2
R' L2 D U F' R2 D
R' L2 D U F' R2 D'
R' L2 D U F' R2 D2
R' L2 D U F2 R2 F
R' L2 D B U F' R2
R L2 D R U R F'
R' L2 D B' U F' R2
R' L2 D B2 U F' R2
R L2 D U R2 D F'
R L2 D U R2 D' F'
R L2 D U R2 D2 F'
R L2 D U R2 F' D
R L2 D U R2 F' D'
R L2 D U R2 F' D2
R L2 D U F R2 F'
R L2 D U F' R2 F'
R L2 D U F2 R2 F'
R L2 D U' B U2 R2
L2 R2 D B R' U R'
R2 L2 D B R' U R'
R' L2 D' U F' D2 R2
R' L2 D' U' L2 U2 F'
R L2 D' U' L2 B U2
R L2 D' U' B L2 U2
L' R2 D2 L' B2 U F
B' L2 R U D R2 F'
B2 L2 R U D R2 F'
B' L2 R D U R2 F'
R' L2 D2 U F' D' R2
B L2 R U D R2 F'
B2 L2 R D U R2 F'
B L2 R D U R2 F'
R' L2 D2 B2 U D F'
R' L2 D2 B2 U D' F'
R' L2 D2 B2 U D2 F'
R' L2 D2 B2 U F' D
R' L2 D2 B2 U F' D'
R' L2 D2 B2 U F' D2
R' L2 D2 B2 D U F'
R' L2 D2 B2 D' U F'
R' L2 D2 B2 D2 U F'
L' R2 D2 B2 L' U F
B' L2 R' U D F' R2
R L2 D2 R2 B2 U F'
B' L2 R' U2 F2 U' F
B2 L2 R' U D F' R2
B' L2 R' D U F' R2
B L2 R' U D F' R2
B2 L2 R' U2 F2 U' F
B' L2 R' D2 B2 U F'
B2 L2 R' D U F' R2
B L2 R' U2 F2 U' F
B L2 R' D U F' R2
B2 L2 R' D2 B2 U F'
R L2 D2 B2 U' B' U2
D2 L2 R' B2 L U F'
B L2 R' D2 B2 U F'
R' L2 B U D F' R2
R' L2 B U2 F2 U' F
R' L2 B D U F' R2
B' L2 U2 L F2 U' F'
R' L2 B D2 B2 U F'
B2 L2 U2 L F2 U' F'
B L2 U2 L F2 U' F'
R L2 B U2 F2 U' F2
B' L2 U2 F2 L U' F
R' L2 B' U D F' R2
R' L2 B' U2 F2 U' F
B2 L2 U2 F2 L U' F
R' L2 B' D U F' R2
B L2 U2 F2 L U' F
R' L2 B' D2 B2 U F'
B' L2 D R' U F' R'
B2 L2 D R' U F' R'
B L2 D R' U F' R'
R' L2 B2 U D F' R2
R L2 B' D2 B2 U F2
R' L2 B2 U2 F2 U' F
R' L2 B2 D U F' R2
R' L2 B2 D2 B2 U F'
B' L2 D2 R' B2 U F'
B2 L2 D2 R' B2 U F'
B L2 D2 R' B2 U F'
B' L2 D2 B2 R' U F'
B2 L2 D2 B2 R' U F'
B L2 D2 B2 R' U F'
F L2 F' R' B' U F'
R2 U R D F' R2 B
F L2 F' B' R' U F'
R U R2 D F' R2 B
R' U D F' R2 D B
R' U D F' R2 D' B
R' U D F' R2 D2 B
R' U D F' R2 B D
R' U D F' R2 B D'
R' U D F' R2 B D2
R' U D F' B R2 B
R' U D F' B' R2 B
R' U D F' B2 R2 B
R' U D B F' R2 B
R' U D B' F' R2 B
