F2 L U' F' B'
F2 L U' B' F'
F2 L U' D F' B'
F2 L U' D B' F'
F2 L U' D' F' B'
F2 L U' D' B' F'
F2 L U' D2 F' B'
F2 L U' D2 B' F'
F2 L U' F' D B'
F2 L U' F' D' B'
F2 L U' F' D2 B'
F2 L U' F' B' D
F2 L U' F' B' D'
F2 L U' F' B' D2
F2 L U' B' D F'
F2 L U' B' D' F'
F2 L U' B' D2 F'
F2 L U' B' F' D
F2 L U' B' F' D'
F2 L U' B' F' D2
F2 L D U' F' B'
F2 L D U' B' F'
F2 L D' U' F' B'
F2 L D' U' B' F'
F2 L D2 U' F' B'
F2 L D2 U' B' F'
F' L F' U' F' B'
F' L F' U' B' F'
F2 L' U F U2 F2
F2 L' U' F' D2 B2
F2 U' L B' L' F'
F2 U' F' L B' L'
F2 U2 L U F' B'
F2 U2 L U B' F'
D F' R U' R F2
R' F2 L U' F' B'
R' F2 L U' B' F'
R2 F2 L U' F' B'
R2 F2 L U' B' F'
R F2 L U' F' B'
R F2 L U' B' F'
F' L R U' F2 B' R'
F' L R U' B' R' F2
F' L R U' B' F2 R'
F2 L R2 U B U2 B2
F2 L R2 U' B' D2 F2
F2 L U F U2 F2 B'
F2 L U F U2 B' F2
F2 L U F2 U2 F B'
F2 L U F2 U2 B' F
F2 L U B U2 F' B2
F2 L U B U2 B2 F'
F2 L U B2 U2 F' B
F2 L U B2 U2 B F'
F2 L U' L' F' L B'
F2 L U' R' B' R F'
F2 L U' D F' D B'
F2 L U' D F' D' B'
F2 L U' D F' D2 B'
F2 L U' D F' B' D
F2 L U' D F' B' D'
F2 L U' D F' B' D2
F2 L U' D B' D F'
F2 L U' D B' D' F'
F2 L U' D B' D2 F'
F2 L U' D B' F' D
F2 L U' D B' F' D'
F2 L U' D B' F' D2
F2 L U' D' F' D B'
F2 L U' D' F' D' B'
F2 L U' D' F' D2 B'
F2 L U' D' F' B' D
F2 L U' D' F' B' D'
F2 L U' D' F' B' D2
F2 L U' D' B' D F'
F2 L U' D' B' D' F'
F2 L U' D' B' D2 F'
F2 L U' D' B' F' D
F2 L U' D' B' F' D'
F2 L U' D' B' F' D2
F2 L U' D2 F' D B'
F2 L U' D2 F' D' B'
F2 L U' D2 F' D2 B'
F2 L U' D2 F' B' D
F2 L U' D2 F' B' D'
F2 L U' D2 F' B' D2
F2 L U' D2 B' D F'
F2 L U' D2 B' D' F'
F2 L U' D2 B' D2 F'
F2 L U' D2 B' F' D
F2 L U' D2 B' F' D'
F2 L U' D2 B' F' D2
F2 L U' F' R' B' R
F2 L U' F' R2 B' R2
F2 L U' F' D B' D
F2 L U' F' D B' D'
F2 L U' F' D B' D2
F2 L U' F' D' B' D
F2 L U' F' D' B' D'
F2 L U' F' D' B' D2
F2 L U' F' D2 B' D
F2 L U' F' D2 B' D'
F2 L U' F' D2 B' D2
F2 L U' F' B2 D B
F2 L U' F' B2 D' B
F2 L U' F' B2 D2 B
F2 L U' F2 D F B'
F2 L U' F2 D B' F
F2 L U' F2 D' F B'
F2 L U' F2 D' B' F
F2 L U' F2 D2 F B'
F2 L U' F2 D2 B' F
F2 L U' F2 B' D F
F2 L U' F2 B' D' F
F2 L U' F2 B' D2 F
F2 L U' B' L' F' L
F2 L U' B' L2 F' L2
F2 L U' B' D F' D
F2 L U' B' D F' D'
F2 L U' B' D F' D2
F2 L U' B' D' F' D
F2 L U' B' D' F' D'
F2 L U' B' D' F' D2
F2 L U' B' D2 F' D
F2 L U' B' D2 F' D'
F2 L U' B' D2 F' D2
F2 L U' B' F2 D F
F2 L U' B' F2 D' F
F2 L U' B' F2 D2 F
F2 L U' B2 D F' B
F2 L U' B2 D B F'
F2 L U' B2 D' F' B
F2 L U' B2 D' B F'
F2 L U' B2 D2 F' B
F2 L U' B2 D2 B F'
F2 L U' B2 F' D B
F2 L U' B2 F' D' B
F2 L U' B2 F' D2 B
F2 L D U' F' D B'
F2 L D U' F' D' B'
F2 L D U' F' D2 B'
F2 L D U' F' B' D
F2 L D U' F' B' D'
F2 L D U' F' B' D2
F2 L D U' B' D F'
F2 L D U' B' D' F'
F2 L D U' B' D2 F'
F2 L D U' B' F' D
F2 L D U' B' F' D'
F2 L D U' B' F' D2
F2 L D' U' F' D B'
F2 L D' U' F' D' B'
F2 L D' U' F' D2 B'
F2 L D' U' F' B' D
F2 L D' U' F' B' D'
F2 L D' U' F' B' D2
F2 L D' U' B' D F'
F2 L D' U' B' D' F'
F2 L D' U' B' D2 F'
F2 L D' U' B' F' D
F2 L D' U' B' F' D'
F2 L D' U' B' F' D2
F2 L D2 U' F' D B'
F2 L D2 U' F' D' B'
F2 L D2 U' F' D2 B'
F2 L D2 U' F' B' D
F2 L D2 U' F' B' D'
F2 L D2 U' F' B' D2
F2 L D2 U' B' D F'
F2 L D2 U' B' D' F'
F2 L D2 U' B' D2 F'
F2 L D2 U' B' F' D
F2 L D2 U' B' F' D'
F2 L D2 U' B' F' D2
F' L F' U' D F' B'
F' L F' U' D B' F'
F' L F' U' D' F' B'
F' L F' U' D' B' F'
F' L F' U' D2 F' B'
F' L F' U' D2 B' F'
F' L F' U' F' D B'
F' L F' U' F' D' B'
F' L F' U' F' D2 B'
F' L F' U' F' B' D
F' L F' U' F' B' D'
F' L F' U' F' B' D2
F' L F' U' B' D F'
F' L F' U' B' D' F'
F' L F' U' B' D2 F'
F' L F' U' B' F' D
F' L F' U' B' F' D'
F' L F' U' B' F' D2
F' L F' D U' F' B'
F' L F' D U' B' F'
F' L F' D' U' F' B'
F' L F' D' U' B' F'
F' L F' D2 U' F' B'
F' L F' D2 U' B' F'
U' L B' L' D R2 F
U' L B' L' D F R2
F2 L' R2 U F B U2
F2 L' R2 U B F U2
F2 L' U D F U2 F2
F2 L' U D' F U2 F2
F2 L' U D2 F U2 F2
F2 L' U F U2 F2 D
F2 L' U F U2 F2 D'
F2 L' U F U2 F2 D2
F2 L' U F D2 B2 U2
F2 L' U F B U2 F2
F2 L' U F B' U2 F2
F2 L' U F B2 U2 F2
F2 L' U B F U2 F2
F2 L' U B' F U2 F2
F2 L' U B2 F U2 F2
F2 L' U' L2 F' B' L2
F2 L' U' L2 B' L2 F'
F2 L' U' L2 B' F' L2
F2 L' U' D F' D2 B2
F2 L' U' D' F' D2 B2
F2 L' U' D2 F' D2 B2
F2 L' U' F' U2 F2 U2
F2 L' U' F' D2 B2 D
F2 L' U' F' D2 B2 D'
F2 L' U' F' D2 B2 D2
F2 L' U' F' B D2 B2
F2 L' U' F' B' D2 B2
F2 L' U' F' B2 D2 B2
F2 L' U' B F' D2 B2
F2 L' U' B' F' D2 B2
F2 L' U' B2 F' D2 B2
F2 L' U2 L2 U F' B'
F2 L' U2 L2 U B' F'
F2 L' D L2 U' F' B'
F2 L' D L2 U' B' F'
F2 L' D U F U2 F2
F2 L' D U' F' D2 B2
F' L' D' L2 F' U' B'
F2 L' D' L2 U' F' B'
F2 L' D' L2 U' B' F'
F2 L' D' U F U2 F2
F2 L' D' U' F' D2 B2
F2 L' D2 L2 U' F' B'
F2 L' D2 L2 U' B' F'
F2 L' D2 U F U2 F2
F2 L' D2 U' F' D2 B2
F' L' F' U F2 U2 F
F' L' F' U' D2 F' B2
F' L' F' U' D2 B2 F'
F' L' F' D2 U' F' B2
F' L' F' D2 U' B2 F'
F2 L2 U' F' U' L' U
F2 L2 D L' U' F' B'
F2 L2 D L' U' B' F'
F2 L2 D' L' U' F' B'
F2 L2 D' L' U' B' F'
F2 L2 D2 L' U' F' B'
F2 L2 D2 L' U' B' F'
F' L2 F' L' U' F' B'
F' L2 F' L' U' B' F'
F' R L U' F2 B' R'
F' R L U' B' R' F2
F' R L U' B' F2 R'
D2 R U' D' R2 F B
D2 R U' D' R2 B F
F2 R U2 L U F B'
F2 R U2 L U B' F
L2 U B' U' R' F2 U'
L2 U B' U' F2 R' U'
D2 R D' U' R2 F B
D2 R D' U' R2 B F
F2 R D2 R' U' F' B
F2 R D2 R' U' B F'
F R F L U' F' B'
F R F L U' B' F'
D2 R' U' D' F B R2
D2 R' U' D' B R2 F
D2 R' U' D' B F R2
D2 R' U' F D' B R2
D R' U' D R' F B
D R' U' D R' B F
D R' U' D F R' B
D2 R' U2 B2 U F B'
D2 R' U2 B2 U B' F
D R' D U' R' F B
D R' D U' R' B F
D R' D U' F R' B
D2 R' D' U' F B R2
D2 R' D' U' B R2 F
D2 R' D' U' B F R2
D2 R' D2 F2 U' F' B
D2 R' D2 F2 U' B F'
F R' F L U' F' B'
F R' F L U' B' F'
D R' F' R U' R2 F2
D R' F' R U' F2 R2
F2 R2 L U B U2 B2
F2 R2 L U' B' D2 F2
F2 R2 L' U F B U2
F2 R2 L' U B F U2
F R2 F L U' F' B'
F R2 F L U' B' F'
D R2 F U' L' U L
D R2 F' R U' R' F2
D R2 F' R U' F2 R'
F2 U L' F L U2 F2
R' D F' R U' R F2
D' U L2 B' U L U
R2 D F' R U' R F2
R D F' R U' R F2
U' D R' D R' F B
U' D R' D R' B F
U' D R' D F R' B
U' D R2 F U' L' U
U' D F R2 U' L' U
U' D F U' L' U R2
F2 U' L D B' L' F'
F2 U' L D' B' L' F'
D2 U' R D' R2 F B
D2 U' R D' R2 B F
F2 U' L D2 B' L' F'
F2 U' L F' D2 B' L
F2 U' L B L' F' B2
F2 U' L B L' B2 F'
F2 U' L B' L F' L2
F2 U' L B' L' D F'
F2 U' L B' L' D' F'
F2 U' L B' L' D2 F'
F2 U' L B' L' F' D
F2 U' L B' L' F' D'
F2 U' L B' L' F' D2
F2 U' L B' L2 F' L
F2 U' L B' D L' F'
F2 U' L B' D' L' F'
F2 U' L B' D2 L' F'
F2 U' L B2 L' F' B
F2 U' L B2 L' B F'
U D' L2 B' U L U
D2 U' R' D' F B R2
D2 U' R' D' B R2 F
D2 U' R' D' B F R2
F2 U' L' F' L D2 B2
D2 U' R' F D' B R2
F2 U' L' F' D2 L B2
D U' R' D R' F B
D U' R' D R' B F
D U' R' D F R' B
F2 U' L2 F' L' B' L'
D2 U' F R D' R2 B
D2 U' F R' D' B R2
F2 U' R D2 R' F' B
F2 U' R D2 R' B F'
D U' R2 F U' L' U
D U' F R2 U' L' U
D U' F U' L' U R2
F2 U' D F' U R U'
F2 U' D2 R' B R F'
F2 U' D2 F' R' B R
F2 U' F L B' L' F2
F2 U' F' L D B' L'
F2 U' F' L D' B' L'
F2 U' F' L D2 B' L'
F2 U' F' L B L' B2
F2 U' F' L B' L' D
F2 U' F' L B' L' D'
F2 U' F' L B' L' D2
F2 U' F' L B' D L'
F2 U' F' L B' D' L'
F2 U' F' L B' D2 L'
F2 U' F' L B2 L' B
F2 U' F' R D2 R' B
F2 U' F' U' L U B'
F2 U' F' D2 R' B R
F2 U' F' B L B' L'
F2 U' F' B' L B' L'
F2 U' F' B2 L B' L'
F2 U' F2 L B' L' F
F2 U' B L B' L' F'
U' D2 R D' R2 F B
U' D2 R D' R2 B F
F2 U' B F' L B' L'
F2 U' B' L B' L' F'
U' D2 R' D' F B R2
U' D2 R' D' B R2 F
U' D2 R' D' B F R2
F2 U' B' F' L B' L'
U' D2 R' F D' B R2
F2 U' B2 L B' L' F'
D2 U2 R' B2 U F B'
D2 U2 R' B2 U B' F
F2 U' B2 F' L B' L'
U2 D2 R' B2 U F B'
U2 D2 R' B2 U B' F
F2 U2 L U D F' B'
F2 U2 L U D B' F'
F2 U2 L U D' F' B'
F2 U2 L U D' B' F'
F2 U2 L U D2 F' B'
F2 U2 L U D2 B' F'
F2 U2 L U F' D B'
F2 U2 L U F' D' B'
F2 U2 L U F' D2 B'
F2 U2 L U F' B' D
F2 U2 L U F' B' D'
F2 U2 L U F' B' D2
F2 U2 L U B' D F'
F2 U2 L U B' D' F'
F2 U2 L U B' D2 F'
F2 U2 L U B' F' D
F2 U2 L U B' F' D'
F2 U2 L U B' F' D2
F2 U2 L D U F' B'
F2 U2 L D U B' F'
F2 U2 L D' U F' B'
F2 U2 L D' U B' F'
F2 U2 L D2 U F' B'
F2 U2 L D2 U B' F'
U' D2 F R D' R2 B
U' D2 F R' D' B R2
F2 U2 L' U F' D2 B2
F2 U2 L' U' F U2 F2
D2 U2 B2 R' U F B
D2 U2 B2 R' U B F
U2 D2 B2 R' U F B
U2 D2 B2 R' U B F
D F R2 U' L' U L
D F U' L' U L R2
D F U' L' U R2 L
D F D' F2 R U' F2
R' F' L F' U' F' B'
R' F' L F' U' B' F'
F2 D U' F' U R U'
D F' L R U' R F2
R2 F' L F' U' F' B'
R2 F' L F' U' B' F'
D F' L' R U' R F2
R F' L F' U' F' B'
R F' L F' U' B' F'
F' D F' R U2 R U
F2 D F' R F U' F'
D F' L2 R U' R F2
F' D F' D' R U' F2
F' D F' D2 L2 R U'
F' D F' D2 R L2 U'
F D F U2 L' U F'
D F' R L U' R F2
D F' R L' U' R F2
D F' R L2 U' R F2
F D F' R F2 U' F'
D F' R U' R F2 D
D F' R U' R F2 D'
D F' R U' R F2 D2
D F' R U' R' F2 R2
D F' R U' R2 F2 R'
D F' R D' L2 U' R
F' D' L2 D2 F' R U'
D F' D' L2 R F2 U'
D F' D' R L2 F2 U'
D F' D' R F2 L2 U'
U' F2 L U' B' L' F'
R' F2 L U' D F' B'
R' F2 L U' D B' F'
R' F2 L U' D' F' B'
R' F2 L U' D' B' F'
R' F2 L U' D2 F' B'
R' F2 L U' D2 B' F'
R' F2 L U' F' D B'
R' F2 L U' F' D' B'
R' F2 L U' F' D2 B'
R' F2 L U' F' B' D
R' F2 L U' F' B' D'
R' F2 L U' F' B' D2
R' F2 L U' B' D F'
R' F2 L U' B' D' F'
R' F2 L U' B' D2 F'
R' F2 L U' B' F' D
R' F2 L U' B' F' D'
R' F2 L U' B' F' D2
L' F2 L R2 U' F B
L' F2 L R2 U' B F
R' F2 L D U' F' B'
R' F2 L D U' B' F'
L' F2 L U F' U2 F2
R' F2 L D' U' F' B'
R' F2 L D' U' B' F'
L' F2 L U' F D2 B2
R' F2 L D2 U' F' B'
R' F2 L D2 U' B' F'
R' F2 L' U F U2 F2
R' F2 L' U' F' D2 B2
L' F2 L' U F' B' U2
L' F2 L' U B' F' U2
R2 F2 L U' D F' B'
R2 F2 L U' D B' F'
R2 F2 L U' D' F' B'
R2 F2 L U' D' B' F'
R2 F2 L U' D2 F' B'
R2 F2 L U' D2 B' F'
R2 F2 L U' F' D B'
R2 F2 L U' F' D' B'
R2 F2 L U' F' D2 B'
R2 F2 L U' F' B' D
R2 F2 L U' F' B' D'
R2 F2 L U' F' B' D2
R2 F2 L U' B' D F'
R2 F2 L U' B' D' F'
R2 F2 L U' B' D2 F'
R2 F2 L U' B' F' D
R2 F2 L U' B' F' D'
R2 F2 L U' B' F' D2
R2 F2 L D U' F' B'
R2 F2 L D U' B' F'
R2 F2 L D' U' F' B'
R2 F2 L D' U' B' F'
R2 F2 L D2 U' F' B'
R2 F2 L D2 U' B' F'
R2 F2 L' U F U2 F2
R2 F2 L' U' F' D2 B2
R F2 L U' D F' B'
R F2 L U' D B' F'
R F2 L U' D' F' B'
R F2 L U' D' B' F'
R F2 L U' D2 F' B'
R F2 L U' D2 B' F'
R F2 L U' F' D B'
R F2 L U' F' D' B'
R F2 L U' F' D2 B'
R F2 L U' F' B' D
R F2 L U' F' B' D'
R F2 L U' F' B' D2
R F2 L U' B' D F'
R F2 L U' B' D' F'
R F2 L U' B' D2 F'
R F2 L U' B' F' D
R F2 L U' B' F' D'
R F2 L U' B' F' D2
R F2 L D U' F' B'
R F2 L D U' B' F'
R F2 L D' U' F' B'
R F2 L D' U' B' F'
R F2 L D2 U' F' B'
R F2 L D2 U' B' F'
R F2 L' U F U2 F2
R F2 L' U' F' D2 B2
L' F2 R2 L U' F B
L' F2 R2 L U' B F
R' F2 U' L B' L' F'
R' F2 U' F' L B' L'
L2 F2 U B' U' R' U'
R' F2 U2 L U F' B'
R' F2 U2 L U B' F'
R2 F2 U' L B' L' F'
R2 F2 U' F' L B' L'
D F2 U' F' R B R
L F2 U' L' F L B'
R2 F2 U2 L U F' B'
R2 F2 U2 L U B' F'
R F2 U' L B' L' F'
L F2 U' B' L' F L
R F2 U' F' L B' L'
R F2 U2 L U F' B'
R F2 U2 L U B' F'
L F2 D2 R U' F' B'
L F2 D2 R U' B' F'
F D2 R' F U' F' B
F D2 R' F U' B F'
F2 D2 U' R' B R F'
F2 D2 U' F' R' B R
F2 B L U' F' B' L'
F2 B L U' B' F' L'
F2 B' L B U' F' B2
F2 B' L B U' B2 F'
B' F2 L B U' F' B2
B' F2 L B U' B2 F'
B2 F2 L B2 U' F' B
B2 F2 L B2 U' B F'
F2 B2 L B2 U' F' B
F2 B2 L B2 U' B F'
B F2 L U' F' B' L'
B F2 L U' B' F' L'
