U F' U R U L
U' L U2 F' U R U
F L F D F2 R2 B
D' L' R2 U' F L2 B
D' L' R2 U' F B L2
D' L' R2 U' B F L2
D' L' U F' U2 L2 F2
D' L' U F' U2 F2 L2
D' L' U' F L2 D2 B2
D' L' U' F2 L2 F' B'
D' L' U' F2 L2 B' F'
F L' D F' R2 B U'
F L' F' R2 U' L2 B
F L' F' R2 U' B L2
F L' F' U F' U2 L2
L2 R2 U' D' L' F B
L2 R2 U' D' L' B F
R2 L2 U' D' L' F B
R2 L2 U' D' L' B F
L2 R2 U' D' B L' F
R2 L2 U' D' B L' F
L2 R2 U' B D' L' F
R2 L2 U' B D' L' F
L2 R2 D' U' L' F B
L2 R2 D' U' L' B F
L2 R2 D' U' B L' F
R2 L2 D' U' L' F B
R2 L2 D' U' L' B F
R2 L2 D' U' B L' F
F' L2 U R B' U L'
F' L2 U B' R U L'
U' L2 D' L' F D2 B2
L' U F' U R U L2
R2 U' L2 D' L' F B
R2 U' L2 D' L' B F
U2 R F' R U L B
R2 U' L2 D' B L' F
R2 U' L2 B D' L' F
L2 U' D' L' F D2 B2
R2 U' D' L B D2 F2
R2 U' D' L' F L2 B
R2 U' D' L' F B L2
R2 U' D' L' B F L2
R2 U' F L D F2 B
R2 U' F L D B F2
R2 U' F L B D F2
D' R2 L' U' F L2 B
D' R2 L' U' F B L2
D' R2 L' U' B F L2
L U2 F' U R U R'
D' R2 U' L B D2 F2
D' R2 U' L' F L2 B
D' R2 U' L' F B L2
D' R2 U' L' B F L2
R2 U2 F2 U L F B
R2 U2 F2 U L B F
U2 R2 F2 U L F B
U2 R2 F2 U L B F
R D R U' L F' B
R D R U' L B F'
R D R U' F' L B
F' U R U2 F U' L
D U R2 U2 L F B
D U R2 U2 L B F
U D R2 U2 L F B
U D R2 U2 L B F
B2 U D F' R' B U2
D' U F' U2 L' F L2
D U F' R U2 L F'
D U F' R U2 F' L
D U F' R2 U2 L F
U D F' R U2 L F'
U D F' R U2 F' L
U D F' R2 U2 L F
D U F' B2 R' B U2
R2 D' L' U' F L2 B
R2 D' L' U' F B L2
R2 D' L' U' B F L2
U D F' B2 R' B U2
B2 U F' R' U R2 U
B2 U F' R' U2 D' F2
B2 U F' R' D B2 U2
B2 U F' R' D' U2 F2
D' U' L U2 F' B' U2
D' U' L U2 B' F' U2
U' D' L U2 F' B' U2
U' D' L U2 B' F' U2
L2 D' R2 U' L' F B
L2 D' R2 U' L' B F
L2 D' R2 U' B L' F
D U B2 F' R' B U2
U D B2 F' R' B U2
U' D' L' F L2 D2 B2
D' U' L' F L2 D2 B2
D' U' L' F2 L2 F' B'
D' U' L' F2 L2 B' F'
U' D' L' F2 L2 F' B'
U' D' L' F2 L2 B' F'
L2 D' U' L' F D2 B2
R2 D' U' L B D2 F2
R2 D' U' L' F L2 B
R2 D' U' L' F B L2
R2 D' U' L' B F L2
D' U' F L' F L2 B'
U' D' F L' F L2 B'
U D' F' U2 L' F L2
F' U' F2 L' F' U' L2
U' F L D F2 D B2
U' F L D2 B2 D' F2
R2 F L' F' U' L2 B
R2 F L' F' U' B L2
U' F D L D F2 B2
U' F D L D B2 F2
F D L' F' R2 U' L2
U' F D2 L B2 D F2
B2 D U F' R' B U2
U F' R' U R2 U L
U F' R' U2 L D' F2
U F' R' U2 D' L F2
U F' R' U2 D' F2 L
U F' R' D B2 R' U2
U F' R' D' U2 L F2
U F' R' D' U2 F2 L
U2 F' U R U L R'
U2 F' U R U R' L
U F' R2 U R' U L
U F' U R U L D
U F' U R U L D'
U F' U R U L D2
U F' U R U D L
U F' U R U D' L
U F' U R U D2 L
U F' U R D U L
U F' U R D' U L
U F' U R D2 U L
U F' U R F U L
U F' U R F' U L
U F' U R F2 U L
U F' U D R U L
U F' U D' R U L
U F' U D2 R U L
U F' U F' U L F
U F' U2 L U' R U
U F' U2 F2 L D F2
U F' D U R U L
U F' D' U R U L
U F' D2 U R U L
U F' B2 R' U R2 U
U F' B2 R' U2 D' F2
U F' B2 R' D B2 U2
U F' B2 R' D' U2 F2
U2 F2 U L2 B' L' F
U2 F2 U' F U2 L F
F D2 L' F' U' L2 B2
F D2 L' F' U' B2 L2
D2 B2 U F' R' U2 F'
D B2 U F' R' B U2
U B2 D F' R' B U2
U B2 F' R' U R2 U
U B2 F' R' U2 D' F2
U B2 F' R' D B2 U2
U B2 F' R' D' U2 F2
