R F' L D' B2 R'
F' L R D' F' B2 R'
F' L R D' B2 F' R'
F' L R F' D' B2 R'
U' L R F' B2 R' B'
U' L R B D2 F' R
U L R F' D2 B2 R'
U' L R B2 F' R' B'
F' L R2 D' B2 R' F'
U' L R2 B2 R' F' B
U' L R2 B2 R' B F'
U' L B R F' B R'
U' L B R B F' R'
U' L B2 R F' B R2
U' L B2 R B F' R2
F' L' U F2 L2 R F'
F' L' U F2 R L2 F'
F' L' U F2 R F' L2
U' L' F2 L2 R F' B
U' L' F2 L2 R B F'
U' L' F2 R L2 F' B
U' L' F2 R L2 B F'
U' L' F2 R F' L2 B
U' L' F2 R F' B L2
U' L' F2 R B L2 F'
U' L' F2 R B F' L2
F' L' F2 U L2 R F'
F' L' F2 U R L2 F'
F' L' F2 U R F' L2
U L' F2 R F' B' L2
U L' F2 R B' L2 F'
U L' F2 R B' F' L2
U L' F2 B' L2 R F'
U L' F2 B' R L2 F'
U L' F2 B' R F' L2
U L' B' F2 L2 R F'
U L' B' F2 R L2 F'
U L' B' F2 R F' L2
U' L2 R U2 L' F' B
U' L2 R U2 L' B F'
U' L2 R U2 B L' F'
F L2 U' R U' L' F'
U' L2 U2 D2 L' F B'
U' L2 U2 D2 L' B' F
U' L2 D2 U2 L' F B'
U' L2 D2 U2 L' B' F
R U L F' D2 B2 R'
U' L2 F2 R U2 F' B
U' L2 F2 R U2 B F'
F' R L D' F' B2 R'
F' R L D' B2 F' R'
F' R L F' D' B2 R'
U' R L F' B2 R' B'
U' R L B D2 F' R
U' R L B2 F' R' B'
U R L F' D2 B2 R'
U' R L2 U2 L' F' B
U' R L2 U2 L' B F'
U' R L2 U2 B L' F'
F R U L2 U2 L' F'
F R U' D2 L F' R2
F R U' D2 F' L R2
F R U' D2 F' R2 L
F R U' F' D2 L R2
F R U' F' D2 R2 L
F R D F2 U' F L
U' R D2 L F' B R2
U' R D2 L B F' R2
U' R D2 F' L B R2
F R D2 U' L F' R2
F R D2 U' F' L R2
F R D2 U' F' R2 L
U' R F' L B2 R' B'
R' U' L2 B U2 L' B'
R U' L2 U2 L' F' B'
R U' L2 U2 L' B' F'
U' R F' D2 L B R2
L2 U' R U' L' F' B
L2 U' R U' L' B F'
L2 U' R U' B L' F'
L' U' F2 L2 R F' B
L' U' F2 L2 R B F'
L' U' F2 R L2 F' B
L' U' F2 R L2 B F'
L' U' F2 R F' L2 B
L' U' F2 R F' B L2
L' U' F2 R B L2 F'
L' U' F2 R B F' L2
U' R' D2 L R2 F' B
U' R' D2 L R2 B F'
U' R' D2 R2 L F' B
U' R' D2 R2 L B F'
U' R' D2 R2 F' L B
U' R' F' L2 B U2 L'
F' R2 L D' B2 R' F'
U' R2 L B2 R' F' B
U' R2 L B2 R' B F'
D2 U L' R2 F B' L2
D2 U L' R2 B' F L2
D2 U L' F R2 B' L2
D2 U L' F B' L2 R2
D2 U L' F B' R2 L2
D2 U L' B' R2 F L2
D2 U L' B' R2 F L2
D2 U L' B' F L2 R2
D2 U L' B' F R2 L2
D2 U R2 L' F B' L2
D2 U R2 L' B' F L2
B2 U' L2 R' F' B U2
B2 U' L2 R' B F' U2
R D' F' L D' R2 B2
R D' F' L D' B2 R2
B2 U' R' L2 F' B U2
B2 U' R' L2 B F' U2
B2 U' R' F' L2 B U2
B2 U' R' F' B L2 U2
B2 U' R' B L2 F' U2
B2 U' R' B F' L2 U2
U D2 L' R2 F B' L2
U D2 L' R2 B' F L2
R' D2 R2 F' L D' B2
U D2 L' F R2 B' L2
U D2 L' F B' L2 R2
U D2 L' F B' R2 L2
U D2 L' B' R2 F L2
U D2 L' B' F L2 R2
U D2 L' B' F R2 L2
U D2 R2 L' F B' L2
U D2 R2 L' B' F L2
R D2 F' L R2 D' B2
R D2 F' R2 L D' B2
L2 F U' R B U' F'
D' F' L' R B2 U L2
D2 F' L' U R2 F L2
D2 F' L' U F L2 R2
D2 F' L' U F R2 L2
R2 F' L D' B2 R' F'
D' F' L' B2 R U L2
R F' L R D' B2 R'
R F' L R' D' B2 R'
R F' L R2 D' B2 R'
R F' L D' R B2 R'
R F' L D' R' B2 R'
R F' L D' R2 B2 R'
R F' L D' B2 R' D
R F' L D' B2 R' D'
R F' L D' B2 R' D2
R F' L D' B2 D R'
R F' L D' B2 D' R'
R F' L D' B2 D2 R'
R F' L B2 R' D' B2
R F' L B2 D' R' B2
D' F' R L' B2 U L2
R F' R L D' B2 R'
R F' R' L D' B2 R'
R F' R2 L D' B2 R'
R F' D' L D' R2 B2
R F' D' L D' B2 R2
R F' D2 L R2 D' B2
R F' D2 R2 L D' B2
F' D2 L' U R2 F L2
F' D2 L' U F L2 R2
F' D2 L' U F R2 L2
U' B2 L2 R' F' B U2
U' B2 L2 R' B F' U2
U' B2 R' L2 F' B U2
U' B2 R' L2 B F' U2
U' B2 R' F' L2 B U2
U' B2 R' F' B L2 U2
U' B2 R' B L2 F' U2
U' B2 R' B F' L2 U2
