B' L' U2 D L2 B'
B' L' D U2 L2 B'
B' L' D F U2 L2
B' L' D' R2 F U2
B' L' D' F R2 U2
B' L' F U' B2 U'
B' L' F U2 D L2
B' L' F D U2 L2
B' L' F D' R2 U2
B U L' F B2 U2
B U L' B2 F U2
B U B2 L' F U2
F2 L R D B' L F
B L U L2 F B2 U2
B L U L2 B2 F U2
B L U B2 L2 U2 B
B L U' D2 R2 F2 B'
B L U' D2 R2 B' F2
B L U' D2 F2 R2 B'
B L U' D2 F2 B' R2
B L U' D2 B' R2 F2
B L U' D2 B' F2 R2
B L D2 U' R2 F2 B'
B L D2 U' R2 B' F2
B L D2 U' F2 R2 B'
B L D2 U' F2 B' R2
B L D2 U' B' R2 F2
B L D2 U' B' F2 R2
B' L' R U2 D L2 B'
B' L' R D U2 L2 B'
B' L' R D F U2 L2
B' L' R D' R2 F U2
B' L' R D' F R2 U2
B' L' R F U' B2 U'
B' L' R F U2 D L2
B' L' R F D U2 L2
B' L' R F D' R2 U2
B' L' R' U2 D L2 B'
B' L' R' D U2 L2 B'
B' L' R' D F U2 L2
B' L' R' D' R2 F U2
B' L' R' D' F R2 U2
B' L' R' F U' B2 U'
B' L' R' F U2 D L2
B' L' R' F D U2 L2
B' L' R' F D' R2 U2
B' L' R2 U2 D L2 B'
B' L' R2 D U2 L2 B'
B' L' R2 D F U2 L2
B' L' R2 D' R2 F U2
B' L' R2 D' F R2 U2
B' L' R2 F U' B2 U'
B' L' R2 F U2 D L2
B' L' R2 F D U2 L2
B' L' R2 F D' R2 U2
B' L' U' B2 U F U2
B' L' U2 L2 D B' L2
B' L' U2 D L2 D B'
B' L' U2 D L2 D' B'
B' L' U2 D L2 D2 B'
B' L' U2 D L2 B' D
B' L' U2 D L2 B' D'
B' L' U2 D L2 B' D2
B' L' U2 D B L2 B'
B' L' U2 D B' L2 B'
B' L' U2 D B2 L2 B'
B' L' D R U2 L2 B'
B' L' D R F U2 L2
B' L' D R' U2 L2 B'
B' L' D R' F U2 L2
B' L' D R2 U2 L2 B'
B' L' D R2 F U2 L2
B' L' D U2 L2 D B'
B' L' D U2 L2 D' B'
B' L' D U2 L2 D2 B'
B' L' D U2 L2 B' D
B' L' D U2 L2 B' D'
B' L' D U2 L2 B' D2
B' L' D U2 B L2 B'
B' L' D U2 B' L2 B'
B' L' D U2 B2 L2 B'
B' L' D F R U2 L2
B' L' D F R' U2 L2
B' L' D F R2 U2 L2
B' L' D F U2 L2 D
B' L' D F U2 L2 D'
B' L' D F U2 L2 D2
B' L' D F D2 R2 U2
B2 L' D F B U2 L'
B2 L' D B F U2 L'
B' L' D' R' F R' U2
B' L' D' R2 D F U2
B' L' D' R2 D' F U2
B' L' D' R2 D2 F U2
B' L' D' R2 F U2 D
B' L' D' R2 F U2 D'
B' L' D' R2 F U2 D2
B' L' D' R2 F D U2
B' L' D' R2 F D' U2
B' L' D' R2 F D2 U2
B' L' D' F R2 U2 D
B' L' D' F R2 U2 D'
B' L' D' F R2 U2 D2
B' L' D' F R2 D U2
B' L' D' F R2 D' U2
B' L' D' F R2 D2 U2
B' L' D' F U2 D2 L2
B' L' D' F D2 U2 L2
B' L' D' F' R2 F2 U2
B' L' D' F2 R2 U2 B
B2 L' D' F B R' U2
B2 L' D' B R' F U2
B2 L' D' B F R' U2
B' L' D2 F U F U
B' L' F R U' B2 U'
B' L' F R U2 D L2
B' L' F R D U2 L2
B' L' F R D' R2 U2
B' L' F R' U' B2 U'
B' L' F R' U2 D L2
B' L' F R' D U2 L2
B' L' F R' D' R2 U2
B' L' F R2 U' B2 U'
B' L' F R2 U2 D L2
B' L' F R2 D U2 L2
B' L' F R2 D' R2 U2
B' L' F U D2 F2 U
B' L' F U' B2 U' D
B' L' F U' B2 U' D'
B' L' F U' B2 U' D2
B' L' F U' B2 D U'
B' L' F U' B2 D' U'
B' L' F U' B2 D2 U'
B' L' F U2 L D L2
B' L' F U2 L' D L2
B' L' F U2 L2 D L2
B' L' F U2 D L2 D
B' L' F U2 D L2 D'
B' L' F U2 D L2 D2
B' L' F D R U2 L2
B' L' F D R' U2 L2
B' L' F D R2 U2 L2
B' L' F D U2 L2 D
B' L' F D U2 L2 D'
B' L' F D U2 L2 D2
B' L' F D' R2 U2 D
B' L' F D' R2 U2 D'
B' L' F D' R2 U2 D2
B' L' F D' R2 D U2
B' L' F D' R2 D' U2
B' L' F D' R2 D2 U2
B' L' F D2 U F2 U
B2 L' F D' B R' U2
B L' F B2 U' B2 U'
B L' F B2 U2 D L2
B L' F B2 D U2 L2
B L' F B2 D' R2 U2
B' L' F2 D F' U2 L2
B' L' F2 D' R2 U2 B
B' L' F2 D' F' R2 U2
B2 L' B D F U2 L'
B L' B2 U2 D L2 B'
B L' B2 D U2 L2 B'
B L' B2 D F U2 L2
B L' B2 D' R2 F U2
B L' B2 D' F R2 U2
B L' B2 F U' B2 U'
B L' B2 F U2 D L2
B L' B2 F D U2 L2
B L' B2 F D' R2 U2
F2 L2 R D' F L' B'
B' L2 D L F U2 L
B' L2 D' L R2 F U2
B' L2 D' L F R2 U2
B' L2 D' R2 L F U2
F2 R L D B' L F
B' R L' U2 D L2 B'
B' R L' D U2 L2 B'
B' R L' D F U2 L2
B' R L' D' R2 F U2
B' R L' D' F R2 U2
B' R L' F U' B2 U'
B' R L' F U2 D L2
B' R L' F D U2 L2
B' R L' F D' R2 U2
F2 R L2 D' F L' B'
B R U L' F B2 U2
B R U L' B2 F U2
B R U B2 L' F U2
L U B L U' B2 R'
R' U B' L' F R U2
B' R' L' U2 D L2 B'
B' R' L' D U2 L2 B'
B' R' L' D F U2 L2
B' R' L' D' R2 F U2
B' R' L' D' F R2 U2
B' R' L' F U' B2 U'
B' R' L' F U2 D L2
B' R' L' F D U2 L2
B' R' L' F D' R2 U2
B R' U L' F B2 U2
B R' U L' B2 F U2
B R' U B2 L' F U2
R' U' B' L' R' F U2
R' U' B' L' F R' U2
R' U' B' R' L' F U2
B' R2 L' U2 D L2 B'
B' R2 L' D U2 L2 B'
B' R2 L' D F U2 L2
B' R2 L' D' R2 F U2
B' R2 L' D' F R2 U2
B' R2 L' F U' B2 U'
B' R2 L' F U2 D L2
B' R2 L' F D U2 L2
B' R2 L' F D' R2 U2
B R2 U L' F B2 U2
B R2 U L' B2 F U2
B R2 U B2 L' F U2
L' D F U' L' B U'
L' D F U' B L' U'
B U L B2 L2 U2 B
B U L' D2 F U2 F
B U L' F U2 D2 F2
B U L' F D2 U2 F2
B U L' F B2 U2 D
B U L' F B2 U2 D'
B U L' F B2 U2 D2
B U L' F B2 D U2
B U L' F B2 D' U2
B U L' F B2 D2 U2
B U L' B2 D F U2
B U L' B2 D' F U2
B U L' B2 D2 F U2
B U L' B2 F U2 D
B U L' B2 F U2 D'
B U L' B2 F U2 D2
B U L' B2 F D U2
B U L' B2 F D' U2
B U L' B2 F D2 U2
B U B L' F B U2
B U B L' B F U2
B U B2 L' D F U2
B U B2 L' D' F U2
B U B2 L' D2 F U2
B U B2 L' F U2 D
B U B2 L' F U2 D'
B U B2 L' F U2 D2
B U B2 L' F D U2
B U B2 L' F D' U2
B U B2 L' F D2 U2
B U' L' F B2 R' U2
B U' L' B2 R' F U2
B U' L' B2 F R' U2
B U' D2 R' F2 B R
B U' D2 R' B F2 R
B U' D2 R2 F2 R B
B U' D2 F2 R' B R2
B' U' B2 U L' F U2
B U' B2 L' F U2 L
L' F U' L' B U' F
L' F U' B L' U' F
B D F2 L2 U' R B
B' D' R2 D L' F U2
B D2 R' U' F2 B R
B D2 R' U' B F2 R
B D2 U' R' F2 B R
B D2 U' R' B F2 R
B D2 U' R2 F2 R B
B D2 U' F2 R' B R2
L B L U' F B2 R'
L B L U' B2 R' F
L B L U' B2 F R'
D' B R' U L' B2 U2
D' B R' U B2 L' U2
D' B R' U' D2 F2 R
D' B R' D2 U' F2 R
U' B U L' F B2 U2
U' B U L' B2 F U2
U' B U B2 L' F U2
U2 B U L' F B2 U2
U2 B U L' B2 F U2
U2 B U B2 L' F U2
U B U L' F B2 U2
U B U L' B2 F U2
U B U B2 L' F U2
D' B D2 R' U' F2 R
U' B' L' U2 D L2 B'
U' B' L' D U2 L2 B'
U' B' L' D F U2 L2
U' B' L' D' R2 F U2
U' B' L' D' F R2 U2
U' B' L' F U' B2 U'
U' B' L' F U2 D L2
U' B' L' F D U2 L2
U' B' L' F D' R2 U2
D' B' L' D F2 U2 L2
D' B' L' D' R2 U2 B2
U2 B' L' U2 D L2 B'
U2 B' L' D U2 L2 B'
U2 B' L' D F U2 L2
U2 B' L' D' R2 F U2
U2 B' L' D' F R2 U2
U2 B' L' F U' B2 U'
U2 B' L' F U2 D L2
U2 B' L' F D U2 L2
U2 B' L' F D' R2 U2
R2 B' L' F U F2 U
R2 B' L' F U2 D' L2
R2 B' L' F D R2 U2
R2 B' L' F D' U2 L2
U B' L' U2 D L2 B'
U B' L' D U2 L2 B'
U B' L' D F U2 L2
U B' L' D' R2 F U2
U B' L' D' F R2 U2
U B' L' F U' B2 U'
U B' L' F U2 D L2
U B' L' F D U2 L2
U B' L' F D' R2 U2
R B' L' D' F U2 L'
D B' D' L' R2 F U2
D B' D' L' F R2 U2
D B' D' R2 L' F U2
