F2 L2 U R' B' U L
R2 D' L2 B R F' U
R2 D' B L2 R F' U
R2 D' B R L2 F' U
R2 D' B R F' L2 U
D2 F B2 L' D R2 F2
D2 F B2 L' D F2 R2
D F' B2 L R2 B' U'
D F' B2 L B' R2 U'
D F' B2 R2 L B' U'
B D2 F' U' B2 L F
R2 B R U D2 L2 B2
R2 B R U D2 B2 L2
R2 B R U' R2 F2 U2
R2 B R U' F2 R2 U2
R2 B R D' L2 F2 U
R2 B R D' F2 L2 U
R2 B R D2 U L2 B2
R2 B R D2 U B2 L2
F' B U F' R' U2 F'
B F' U F' R' U2 F'
D B2 L F' R2 B' U'
D B2 L F' B' R2 U'
D B2 L B' F' R2 U'
D2 B2 F L' D R2 F2
D2 B2 F L' D F2 R2
D B2 F' L R2 B' U'
D B2 F' L B' R2 U'
D B2 F' R2 L B' U'
