U2 R F U R
U2 R D F U R
U2 R D' F U R
U2 R D2 F U R
U2 R F U R D
U2 R F U R D'
U2 R F U R D2
U2 R F U D R
U2 R F U D' R
U2 R F U D2 R
U2 R F D U R
U2 R F D' U R
U2 R F D2 U R
U2 R F B U R
U2 R F B' U R
U2 R F B2 U R
U2 R B F U R
U2 R B' F U R
U2 R B2 F U R
U2 R' F R2 U R'
U2 R2 F R' U R2
U2 D R F U R
U2 D' R F U R
D2 U2 R F U R
U2 D2 R F U R
D' U2 R F U R
D U2 R F U R
B' U2 R F U R2
U2 F U D R F'
U2 F D U R F'
L2 F' B' U' R' F'
L' F2 L' B' U' R'
L2 F2 B' L' U' R'
U2 B R F U R
U2 B' R F U R
L2 B' U' R' D' F2
L2 B' U2 R U R2
L2 B' F' U' R' F'
L2 B' F2 L' U' R'
U2 B2 R F U R
F2 L F2 L2 B' U' R'
U' L' R B' U B L
F2 L' U2 F' U' L' U2
B L' D F2 L' B' U'
B' L' F' U' R' F' L'
D' L' F2 L' B' U' R'
D2 L' F2 L' B' U' R'
D L' F2 L' B' U' R'
F2 L' F2 U2 F U R
F2 L' B' U2 F' U R'
D2 L2 F' B' U' R' F'
D' L2 F' B' U' R' F'
D L2 F' B' U' R' F'
D2 L2 F2 B' L' U' R'
D' L2 F2 B' L' U' R'
D L2 F2 B' L' U' R'
B L2 F2 B' L' U' R
D2 L2 B' U' R' D' F2
D2 L2 B' U2 R U R2
D' L2 B' U' R' D' F2
D' L2 B' U2 R U R2
D2 L2 B' F' U' R' F'
D2 L2 B' F2 L' U' R'
D L2 B' U' R' D' F2
D' L2 B' F' U' R' F'
D' L2 B' F2 L' U' R'
D L2 B' U2 R U R2
D L2 B' F' U' R' F'
D L2 B' F2 L' U' R'
B L2 B' F2 L' U' R
U' R L' B' U B L
U R U F B U F'
U R U B F U F'
B' R D F B2 L U
U2 R D F U R D
U2 R D F U R D'
U2 R D F U R D2
U2 R D F U D R
U2 R D F U D' R
U2 R D F U D2 R
U2 R D F D U R
U2 R D F D' U R
U2 R D F D2 U R
U2 R D F B U R
U2 R D F B' U R
U2 R D F B2 U R
B' R D B2 F L U
U2 R D B F U R
U2 R D B' F U R
U2 R D B2 F U R
U2 R D' F U R D
U2 R D' F U R D'
U2 R D' F U R D2
U2 R D' F U D R
U2 R D' F U D' R
U2 R D' F U D2 R
U2 R D' F D U R
U2 R D' F D' U R
U2 R D' F D2 U R
U2 R D' F B U R
U2 R D' F B' U R
U2 R D' F B2 U R
U2 R D' B F U R
U2 R D' B' F U R
U2 R D' B2 F U R
U2 R D2 F U R D
U2 R D2 F U R D'
U2 R D2 F U R D2
U2 R D2 F U D R
U2 R D2 F U D' R
U2 R D2 F U D2 R
U2 R D2 F D U R
U2 R D2 F D' U R
U2 R D2 F D2 U R
U2 R D2 F B U R
U2 R D2 F B' U R
U2 R D2 F B2 U R
U2 R D2 B F U R
U' R F L' B' U B
U2 R D2 B' F U R
U2 R D2 B2 F U R
B' R F U2 R' U' R'
B' R F D B2 L U
U2 R F U R2 D R'
U2 R F U R2 D' R'
U2 R F U R2 D2 R'
U2 R F U D R D
U2 R F U D R D'
U2 R F U D R D2
U2 R F U D' R D
U2 R F U D' R D'
U2 R F U D' R D2
U2 R F U D2 R D
U2 R F U D2 R D'
U2 R F U D2 R D2
U2 R F U B R B'
U2 R F U B2 R B2
U2 R F U' L U2 R
U2 R F U' L' U2 R
U2 R F U' L2 U2 R
U' R F B U B' R'
B' R F B2 L U R2
U2 R F D U R D
U2 R F D U R D'
U2 R F D U R D2
U2 R F D B U R
U2 R F D B' U R
U2 R F D B2 U R
U2 R F D' U R D
U2 R F D' U R D'
U2 R F D' U R D2
U2 R F D' B U R
U2 R F D' B' U R
U2 R F D' B2 U R
U2 R F D2 U R D
U2 R F D2 U R D'
U2 R F D2 U R D2
U2 R F D2 B U R
U2 R F D2 B' U R
U2 R F D2 B2 U R
U2 R F B U R D
U2 R F B U R D'
U2 R F B U R D2
U2 R F B U D R
U2 R F B U D' R
U2 R F B U D2 R
U2 R F B D U R
U2 R F B D' U R
U2 R F B D2 U R
U2 R F B' U R D
U2 R F B' U R D'
U2 R F B' U R D2
U2 R F B' U D R
U2 R F B' U D' R
U2 R F B' U D2 R
U2 R F B' D U R
U2 R F B' D' U R
U2 R F B' D2 U R
U2 R F B2 U R D
U2 R F B2 U R D'
U2 R F B2 U R D2
U2 R F B2 U D R
U2 R F B2 U D' R
U2 R F B2 U D2 R
U2 R F B2 D U R
U2 R F B2 D' U R
U2 R F B2 D2 U R
B R F B2 L U R'
U R F B U' F' U2
U' R B F U B' R'
U2 R B D F U R
U2 R B D' F U R
U2 R B D2 F U R
U2 R B F U R D
U2 R B F U R D'
U2 R B F U R D2
U2 R B F U D R
U2 R B F U D' R
U2 R B F U D2 R
U2 R B F D U R
U2 R B F D' U R
U2 R B F D2 U R
U R B F U' F' U2
U2 R B' D F U R
U2 R B' D' F U R
U2 R B' D2 F U R
U2 R B' F U R D
U2 R B' F U R D'
U2 R B' F U R D2
U2 R B' F U D R
U2 R B' F U D' R
U2 R B' F U D2 R
U2 R B' F D U R
U2 R B' F D' U R
U2 R B' F D2 U R
B' R B2 F L U R2
U2 R B2 D F U R
U2 R B2 D' F U R
U2 R B2 D2 F U R
U2 R B2 F U R D
U2 R B2 F U R D'
U2 R B2 F U R D2
U2 R B2 F U D R
U2 R B2 F U D' R
U2 R B2 F U D2 R
U2 R B2 F D U R
U2 R B2 F D' U R
U2 R B2 F D2 U R
B R B2 F L U R'
U R' U R2 F B U
U R' U R2 B F U
U' R' U' R2 F U R
U' R' U' F R2 U R'
U2 R' D' F U R F
U2 R' F R2 U R' D
U2 R' F R2 U R' D'
U2 R' F R2 U R' D2
U2 R' F R2 U D R'
U2 R' F R2 U D' R'
U2 R' F R2 U D2 R'
U2 R' F R2 D U R'
U2 R' F R2 D' U R'
U2 R' F R2 D2 U R'
U2 R' F U D' R F2
U2 R' F D' U R F2
U2 R' F B R2 U R'
U2 R' F B' R2 U R'
U2 R' F B2 R2 U R'
U2 R' F' R2 F2 U R
L2 U2 R U2 B' U' R'
U2 R' B R2 F U R
U2 R' B F R2 U R'
U2 R' B' R2 F U R
U2 R' B' F R2 U R'
U2 R' B2 R2 F U R
U2 R' B2 F R2 U R'
U' R2 U' R' F U R
U R2 U R' F B U
U R2 U R' B F U
U' R2 U' F R' U R2
U R2 U F R' B U
U2 R2 D R' F U R
U2 R2 D F R' U R2
U2 R2 D' R' F U R
U2 R2 D' F R' U R2
U2 R2 D2 R' F U R
U2 R2 D2 F R' U R2
U2 R2 F R' U R2 D
U2 R2 F R' U R2 D'
U2 R2 F R' U R2 D2
U2 R2 F R' D B2 U
U2 R2 F R' B U R2
U2 R2 F R' B' U R2
U2 R2 F R' B2 U R2
U2 R2 F U R D' F2
U2 R2 F D R' U R2
U2 R2 F D' R' U R2
U2 R2 F D2 R' U R2
U2 R2 F' R' F2 U R
L' D F2 L' B' U' R'
L2 D F' B' U' R' F'
B' U R F U R2 B
U2 D R D F U R
U2 D R D' F U R
U2 D R D2 F U R
U2 D R F U R D
U2 D R F U R D'
U2 D R F U R D2
U2 D R F U D R
U2 D R F U D' R
U2 D R F U D2 R
U2 D R F D U R
U2 D R F D' U R
U2 D R F D2 U R
U2 D R F B U R
U2 D R F B' U R
U2 D R F B2 U R
U2 D R B F U R
U2 D R B' F U R
U2 D R B2 F U R
L2 D F2 B' L' U' R'
U2 D R' F R2 U R'
U2 D R2 F R' U R2
L2 D B' U' R' D' F2
L2 D B' U2 R U R2
L2 D B' F' U' R' F'
L2 D B' F2 L' U' R'
U2 D F U D R F'
U2 D F D U R F'
U2 D B R F U R
U2 D B' R F U R
U2 D B2 R F U R
U2 D' R D F U R
U2 D' R D' F U R
U2 D' R D' F U R
U2 D' R D2 F U R
U2 D' R F U R D
U2 D' R F U R D'
U2 D' R F U R D2
U2 D' R F U D R
U2 D' R F U D' R
U2 D' R F U D2 R
U2 D' R F D U R
U2 D' R F D' U R
U2 D' R F D2 U R
U2 D' R F B U R
U2 D' R F B' U R
U2 D' R F B2 U R
U2 D' R B F U R
U2 D' R B' F U R
U2 D' R B2 F U R
U2 D' R' F R2 U R'
L' D' F2 L' B' U' R'
L2 D' F' B' U' R' F'
U2 D' R2 F R' U R2
B' U' R' U' R2 F U
B' U' R' U' F R2 U
L2 D' F2 B' L' U' R'
U2 D' F U D R F'
U2 D' F D U R F'
B' U' R' F' D' L2 F2
B' U' R' F' D' F2 L2
L2 D' B' U' R' D' F2
L2 D' B' U2 R U R2
L2 D' B' F' U' R' F'
L2 D' B' F2 L' U' R'
U2 D' B R F U R
U2 D' B' R F U R
R' D2 L2 R B' U' R'
U2 D' B2 R F U R
R' D2 L2 B' R U' R2
R' D2 R L2 B' U' R'
D' U2 R D F U R
D' U2 R D' F U R
D' U2 R D2 F U R
D' U2 R F U R D
D' U2 R F U R D'
D' U2 R F U R D2
D' U2 R F U D R
D' U2 R F U D' R
D' U2 R F U D2 R
D' U2 R F D U R
D2 U2 R D F U R
D' U2 R F D' U R
D' U2 R F D2 U R
D' U2 R F B U R
D' U2 R F B' U R
D' U2 R F B2 U R
D2 U2 R D' F U R
D2 U2 R D2 F U R
D2 U2 R F U R D
D2 U2 R F U R D'
D2 U2 R F U R D2
D2 U2 R F U D R
D2 U2 R F U D' R
D2 U2 R F U D2 R
D2 U2 R F D U R
D2 U2 R F D' U R
D2 U2 R F D2 U R
D2 U2 R F B U R
D' U2 R B F U R
D2 U2 R F B' U R
D2 U2 R F B2 U R
D' U2 R B' F U R
D' U2 R B2 F U R
D2 U2 R B F U R
D2 U2 R B' F U R
D2 U2 R B2 F U R
U2 D2 R D F U R
U2 D2 R D' F U R
U2 D2 R D2 F U R
U2 D2 R F U R D
U2 D2 R F U R D'
U2 D2 R F U R D2
U2 D2 R F U D R
U2 D2 R F U D' R
U2 D2 R F U D2 R
U2 D2 R F D U R
U2 D2 R F D' U R
U2 D2 R F D2 U R
U2 D2 R F B U R
U2 D2 R F B' U R
U2 D2 R F B2 U R
D' U2 R' F R2 U R'
U2 D2 R B F U R
U2 D2 R B' F U R
D U2 R D F U R
D2 U2 R' F R2 U R'
U2 D2 R B2 F U R
D U2 R D' F U R
D U2 R D2 F U R
D U2 R F U R D
D U2 R F U R D'
D U2 R F U R D2
D U2 R F U D R
D U2 R F U D' R
D U2 R F U D2 R
D U2 R F D U R
D U2 R F D' U R
D U2 R F D2 U R
D U2 R F B U R
D U2 R F B' U R
D U2 R F B2 U R
D U2 R B F U R
D U2 R B' F U R
D U2 R B2 F U R
U2 D2 R' F R2 U R'
D' U2 R2 F R' U R2
D2 U2 R2 F R' U R2
D U2 R' F R2 U R'
U2 D2 R2 F R' U R2
D' U2 F U D R F'
D2 U2 F U D R F'
D' U2 F D U R F'
D2 U2 F D U R F'
D U2 R2 F R' U R2
U2 D2 F U D R F'
U2 D2 F D U R F'
D U2 F U D R F'
D U2 F D U R F'
L' D2 F2 L' B' U' R'
B' U2 R D F B2 U
B' U2 R D B2 F U
L2 D2 F' B' U' R' F'
B' U2 R F U R2 D
B' U2 R F U R2 D'
B' U2 R F U R2 D2
B' U2 R F D B2 U
B' U2 R F B U R2
B' U2 R F B' U R2
B' U2 R F B2 U R2
B' U2 R B F U R2
B' U2 R B' F U R2
B2 U2 R F B U R'
B' U2 R B2 F U R2
D' U2 B R F U R
B2 U2 R B F U R'
D2 U2 B R F U R
L2 D2 F2 B' L' U' R'
B' U2 R' F R2 U R2
B U2 R F U' L U2
U2 D2 B R F U R
B U2 R F B2 U R'
D' U2 B' R F U R
B U2 R B2 F U R'
D2 U2 B' R F U R
D U2 B R F U R
U2 D2 B' R F U R
D' U2 B2 R F U R
L2 D2 B' U' R' D' F2
D2 U2 B2 R F U R
L2 D2 B' U2 R U R2
B' U2 D R F U R2
D U2 B' R F U R
L2 D2 B' F' U' R' F'
L2 D2 B' F2 L' U' R'
U2 D2 B2 R F U R
B' U2 D' R F U R2
D U2 B2 R F U R
B' U2 D2 R F U R2
F' U2 F2 U R' F' R
B2 U2 B R F U R2
U2 F U D R D F'
U2 F U D R D' F'
U2 F U D R D2 F'
U2 F U D R F' D
U2 F U D R F' D'
U2 F U D R F' D2
B U2 B2 R F U R2
U2 F D R' U R2 F'
U2 F D U R D F'
U2 F D U R D' F'
U2 F D U R D2 F'
U2 F D U R F' D
U2 F D U R F' D'
U2 F D U R F' D2
R F U2 R' F U' R
U2 F D B U R F'
U2 F D B' U R F'
R F U2 F R' U' R2
U2 F D B2 U R F'
U2 F D2 B R' U R2
L2 F D2 B' L U' R'
U2 F B U D R F'
U2 F B D U R F'
U2 F B' U D R F'
U2 F B' D U R F'
R F B U' L F U2
U2 F B2 U D R F'
U2 F B2 D U R F'
B' D U2 R F U R2
R F B' U D' R' B
R F B' D' U R' B
R F B2 L B U R'
R F B2 D L B' U
L' F' L' B' U' R' F'
L F' L B' U' R' F'
L2 F' D B' U' R' F'
L2 F' D' B' U' R' F'
L2 F' D2 B' U' R' F'
L' F' B' U' R' F' L'
L2 F' B' L U' R' F'
L2 F' B' L' U' R' F'
L2 F' B' L2 U' R' F'
L2 F' B' U' R' D F'
L2 F' B' U' R' D' F'
L2 F' B' U' R' D2 F'
L2 F' B' U' R' F' D
L2 F' B' U' R' F' D'
L2 F' B' U' R' F' D2
L2 F' B' U' D R' F'
L2 F' B' U' D' R' F'
L2 F' B' U' D2 R' F'
L2 F' B' U' F R' F'
L2 F' B' U' F' R' F'
L2 F' B' U' F2 R' F'
L2 F' B' D U' R' F'
L2 F' B' D' U' R' F'
L2 F' B' D2 U' R' F'
B' D' U2 R F U R2
L' F2 L' D B' U' R'
L' F2 L' D' B' U' R'
L' F2 L' D2 B' U' R'
L' F2 L' F B' U' R'
L' F2 L' F' B' U' R'
L' F2 L' F2 B' U' R'
L' F2 L' B' U' R' D
L' F2 L' B' U' R' D'
L' F2 L' B' U' R' D2
L' F2 L' B' U' D R'
L' F2 L' B' U' D' R'
L' F2 L' B' U' D2 R'
L' F2 L' B' D U' R'
L' F2 L' B' D' U' R'
L' F2 L' B' D2 U' R'
L' F2 L' B' F U' R'
L' F2 L' B' F' U' R'
L' F2 L' B' F2 U' R'
L F2 L B' L2 U' R'
L F2 L' U2 F U R
F' D' B' U' L2 R' F'
F' D' B' U' R' L2 F'
F' D' B' U' R' F' L2
L' F2 D L' B' U' R'
L' F2 D' L' B' U' R'
L2 F2 D B' L' U' R'
L' F2 D2 L' B' U' R'
L2 F2 D' B' L' U' R'
L2 F2 D2 B' L' U' R'
L2 F2 B' L' U' R' D
L2 F2 B' L' U' R' D'
L2 F2 B' L' U' R' D2
L2 F2 B' L' U' D R'
L2 F2 B' L' U' D' R'
L2 F2 B' L' U' D2 R'
L2 F2 B' L' D U' R'
L2 F2 B' L' D' U' R'
L2 F2 B' L' D2 U' R'
L2 F2 B' L' F U' R'
L2 F2 B' L' F' U' R'
L2 F2 B' L' F2 U' R'
L2 F2 B' D L' U' R'
L2 F2 B' D' L' U' R'
L2 F2 B' D2 L' U' R'
L2 F2 B2 L' B U' R'
B' D2 U2 R F U R2
U' B R F U B' R'
U2 B R D F U R
U2 B R D' F U R
U2 B R D2 F U R
U2 B R F U R D
U2 B R F U R D'
U2 B R F U R D2
U2 B R F U D R
U2 B R F U D' R
U2 B R F U D2 R
U2 B R F D U R
U2 B R F D' U R
U2 B R F D2 U R
U2 B R F B U R
U2 B R F B' U R
U2 B R F B2 U R
U2 B R B F U R
U2 B R B' F U R
U2 B R B2 F U R
U2 B R' F R2 U R'
U2 B R2 F R' U R2
U B U R F U R
U2 B D R F U R
U2 B D' R F U R
U2 B D2 R F U R
U2 B F U D R F'
U2 B F D U R F'
R B F U' L F U2
L2 B' L U' R' D' F2
L2 B' L U2 R U R2
L2 B' L F' U' R' F'
L2 B' L F2 L' U' R'
L2 B' L' U' R' D' F2
L2 B' L' U2 R U R2
L2 B' L' F' U' R' F'
L2 B' L' F2 L' U' R'
L2 B' L2 U' R' D' F2
L2 B' L2 U2 R U R2
L2 B' L2 F' U' R' F'
L2 B' L2 F2 L' U' R'
U2 B' R D F U R
U2 B' R D' F U R
U2 B' R D2 F U R
U2 B' R F U R D
U2 B' R F U R D'
U2 B' R F U R D2
U2 B' R F U D R
U2 B' R F U D' R
U2 B' R F U D2 R
U2 B' R F D U R
U2 B' R F D' U R
U2 B' R F D2 U R
U2 B' R F B U R
U2 B' R F B' U R
U2 B' R F B2 U R
U2 B' R B F U R
U2 B' R B' F U R
U2 B' R B2 F U R
F' B D2 B2 U' R' F'
U2 B' R' F R2 U R'
U2 B' R2 F R' U R2
F2 B' L' U2 F' U R'
L2 B' U' R' U' R2 U
L2 B' U' R' D' F2 D
L2 B' U' R' D' F2 D'
L2 B' U' R' D' F2 D2
L2 B' U' R' F D' F2
L2 B' U' R' F' D' F2
L2 B' U' R' F2 D' F2
D2 B' U2 R F U R2
L2 B' U' D R' D' F2
D' B' U2 R F U R2
L2 B' U' D' R' D' F2
L2 B' U' D2 R' D' F2
U B' U R F U R
L2 B' U2 R U R2 D
L2 B' U2 R U R2 D'
L2 B' U2 R U R2 D2
L2 B' U2 R D B2 U
L2 B' U2 R B U R2
L2 B' U2 R B' U R2
L2 B' U2 R B2 U R2
L2 B' U2 D R U R2
L2 B' U2 D' R U R2
L2 B' U2 D2 R U R2
D B' U2 R F U R2
U2 B' D R F U R
L2 B' D U' R' D' F2
L2 B' D U2 R U R2
L2 B' D F' U' R' F'
L2 B' D F2 L' U' R'
U2 B' D' R F U R
L2 B' D' U' R' D' F2
L2 B' D' U2 R U R2
L2 B' D' F' U' R' F'
L2 B' D' F2 L' U' R'
U2 B' D2 R F U R
B' F' U' R' D' L2 F'
B' F' U' R' D' F' L2
B' F' U' D' L2 R' F'
L2 B' D2 U' R' D' F2
