U' L F' B' L' U
U' L B' F' L' U
U' L2 F' L' B' U
U' D F' L' U R
D U' F' L' U R
U' F' L B' L2 U
U' F' L' U2 F U'
U2 L U F' B' L' U
U2 L U B' F' L' U
U' L D F' B' L' U
U' L D B' F' L' U
U' L D' F' B' L' U
U' L D' B' F' L' U
U' L D2 F' B' L' U
U' L D2 B' F' L' U
U' L F' D B' L' U
U' L F' D' B' L' U
U' L F' D2 B' L' U
U' L F' B L' B2 U
U' L F' B' L' U D
U' L F' B' L' U D'
U' L F' B' L' U D2
U' L F' B' L' D U
U' L F' B' L' D' U
U' L F' B' L' D2 U
U' L F' B' D L' U
U' L F' B' D' L' U
U' L F' B' D2 L' U
U' L F' B2 L' B U
U' L B F' L' B2 U
U' L B' L F' L' U
U' L B' L' F' L' U
R2 L' U F B U' B2
U' L B' L2 F' L' U
R2 L' U B F U' B2
U' L B' D F' L' U
U' L B' D' F' L' U
U' L B' D2 F' L' U
U' L B' F' L' U D
U' L B' F' L' U D'
U' L B' F' L' U D2
U' L B' F' L' D U
U' L B' F' L' D' U
U' L B' F' L' D2 U
U' L B' F' D L' U
U' L B' F' D' L' U
U' L B' F' D2 L' U
U' L B2 F' L' B U
D L' U' F' U R B'
D L' U' F' U B' R
R2 L' F B U' F' B2
R2 L' F B U' B2 F'
R2 L' B F U' F' B2
R2 L' B F U' B2 F'
R2 L' B' U F B2 U'
R2 L' B' U B2 F U'
U' L' F' L' U D R2
U' L' F' L' U2 F2 U'
U' L' F' L' D U R2
U' L' F' L' D2 B2 U
L' R2 U F B U' B2
U' L' F' U2 F2 R U'
U' L' F' D L' U R2
D L' F' U R F B'
D L' F' U R B' F
L' R2 U B F U' B2
D L' F' U B' R F
U' L' F' D2 L' B2 U
U' L' F' D2 B2 L' U
D L' B' U' F' U R
L' R2 F B U' F' B2
L' R2 F B U' B2 F'
L' R2 B F U' F' B2
L' R2 B F U' B2 F'
L' R2 B' U F B2 U'
L' R2 B' U B2 F U'
U' L2 D F' L' B' U
U' L2 D' F' L' B' U
U' L2 D2 F' L' B' U
U' L2 F' L' D B' U
U' L2 F' L' D' B' U
U' L2 F' L' D2 B' U
U' L2 F' L' B' U D
U' L2 F' L' B' U D'
U' L2 F' L' B' U D2
U' L2 F' L' B' D U
U' L2 F' L' B' D' U
U' L2 F' L' B' D2 U
U' L2 F' D L' B' U
U' L2 F' D' L' B' U
U' L2 F' D2 L' B' U
U' L2 F' B L' B' U
U' L2 F' B' L' B' U
U' L2 F' B2 L' B' U
U' L2 B F' L' B' U
L' U R2 F B U' B2
L' U R2 B F U' B2
U' L2 B' F' L' B' U
U' L2 B2 F' L' B' U
L' U F U' D' B' L2
L' U F U' B' D' L2
L' U F U2 F2 U B'
L' U F D' U' B' L2
L' U F D2 B2 U' B
D2 R U F' U' L' B'
R2 U B U2 L B' U
L' U' F' U D R2 B'
L' U' F' U D B' R2
L' U' F' U B' D R2
L' U' F' U2 F2 U' B'
L' U' F' D U R2 B'
L' U' F' D U B' R2
L' U' F' D2 B2 U B
L2 U' F' U' L' F U2
L U' F' D' B' L2 U
L U' F' D2 B' U B'
L U' F' B' U D2 B2
L U' F' B' U' F2 U2
L U' F' B' D' L2 U
L U' F' B' D2 U B2
L U' B' L2 F' U B'
L U' B' F' U D2 B2
L U' B' F' U' F2 U2
L U' B' F' D' L2 U
L U' B' F' D2 U B2
L U2 F U F2 B' U
L U2 F U B' F2 U
U R2 B U2 L B' U
U' D L F' L' U R
U' D L' F' L' U R
U' D L2 F' L' U R
U' D F' L' U R D
U' D F' L' U R D'
U' D F' L' U R D2
U' D F' L' U D R
U' D F' L' U D' R
U' D F' L' U D2 R
U' D F' L' D U R
U' D F' L' D' U R
U' D F' L' D2 U R
U' D F' L' B U R
U' D F' L' B' U R
U' D F' L' B2 U R
U' D F' D L' U R
U' D F' D' L' U R
U' D F' D2 L' U R
U' D F' B L' U R
U' D F' B' L' U R
U' D F' B2 L' U R
U' D B F' L' U R
U' D B' F' L' U R
U' D B2 F' L' U R
D U' L F' L' U R
D U' L' F' L' U R
B' U' L F' B' L' U
B' U' L B' F' L' U
B2 U' L F' B' L' U
D U' L2 F' L' U R
B2 U' L B' F' L' U
B U' L F' B' L' U
B U' L B' F' L' U
B' U' L2 F' L' B' U
B2 U' L2 F' L' B' U
B U' L2 F' L' B' U
U' D' F' L' B U R'
D' U' F' L' B U R'
U' D' F' B L' U R'
D' U' F' B L' U R'
D U' F' L' U R D
D U' F' L' U R D'
D U' F' L' U R D2
D U' F' L' U D R
D U' F' L' U D' R
D U' F' L' U D2 R
D U' F' L' D U R
D U' F' L' D' U R
D U' F' L' D2 U R
D U' F' L' B U R
D U' F' L' B' U R
D U' F' L' B2 U R
D U' F' D L' U R
D U' F' D' L' U R
D U' F' D2 L' U R
D U' F' B L' U R
D U' F' B' L' U R
D U' F' B2 L' U R
B' U' D F' L' U R
B2 U' D F' L' U R
U' D' B F' L' U R'
D' U' B F' L' U R'
B U' D F' L' U R
D U' B F' L' U R
D U' B' F' L' U R
B' U' F' L B' L2 U
B' U' F' L' U2 F U'
B2 U' F' L B' L2 U
B2 U' F' L' U2 F U'
D U' B2 F' L' U R
B U' F' L B' L2 U
B U' F' L' U2 F U'
U' F L F2 B' L' U
U' F L B' F2 L' U
U' F L2 F2 L' B' U
L' F U' D' F' B' L2
L' F U' D' B' L2 F'
L' F U' D' B' F' L2
L' F U' B' D' L2 F'
L' F U' B' D' F' L2
L F U F2 B' U F
L F U B' F2 U F
L' F U2 F2 U F B'
L' F U2 F2 U B' F
L' F D' U' F' B' L2
L' F D' U' B' L2 F'
L' F D' U' B' F' L2
L' F D2 B2 U' F' B
L' F D2 B2 U' B F'
B' D U' F' L' U R
U' F' L D' B' U B'
U' F' L B L2 B2 U
U' F' L B' L2 U D
U' F' L B' L2 U D'
U' F' L B' L2 U D2
U' F' L B' L2 D U
U' F' L B' L2 D' U
U' F' L B' L2 D2 U
U' F' L B' U D' B2
U' F' L B' D' U B2
U' F' L B2 L2 B U
B2 D U' F' L' U R
U' F' L' U2 D F U'
U' F' L' U2 D' F U'
U' F' L' U2 D2 F U'
U' F' L' U2 F U' D
U' F' L' U2 F U' D'
U' F' L' U2 F U' D2
U' F' L' U2 F D U'
U' F' L' U2 F D' U'
U' F' L' U2 F D2 U'
U' F' L' D U2 F U'
U' F' L' D' U2 F U'
U' F' L' D2 U2 F U'
U' F' L' B U2 F U'
B D U' F' L' U R
U' F' L' B' U2 F U'
U' F' L' B2 U2 F U'
L' F' U D R2 F B'
L' F' U D R2 B' F
L' F' U D F R2 B'
L' F' U D F B' R2
L' F' U D B' R2 F
L' F' U D B' F R2
L' F' U B' D R2 F
L' F' U B' D F R2
L' F' U2 F2 U' F' B'
L' F' U2 F2 U' B' F'
L' F' D U R2 F B'
L' F' D U R2 B' F
L' F' D U F R2 B'
L' F' D U F B' R2
L' F' D U B' R2 F
L' F' D U B' F R2
U' F' D' L' B U R'
U' F' D' B L' U R'
U' F' B L B' L2 U
U' F' B L' U2 F U'
L' F' D2 B2 U F B
L' F' D2 B2 U B F
U' F' B' L B' L2 U
U' F' B' L' U2 F U'
U' F' B2 L B' L2 U
U' F' B2 L' U2 F U'
L F' D2 B' U F B'
L F' D2 B' U B' F
L F' B' U D2 F B2
L F' B' U D2 B2 F
L F' B' U' F2 U2 F'
L F' B' D2 U F B2
L F' B' D2 U B2 F
U' B L F' B' L' U
U' B L B' F' L' U
D' B L' R' D B' L
U' B L2 F' L' B' U
R2 B L' F U' F' B'
R2 B L' F U' B' F'
D' B R' L' D B' L
D' B R' D L' B' L
D' B U' F' L' U R'
D B U' F' L' U R
U' B D F' L' U R
U B U2 L F' B' U
U B U2 L B' F' U
U B U2 F' L B' U
U' B F' L B' L2 U
U' B F' L' U2 F U'
U' B' L F' B' L' U
U' B' L B' F' L' U
U' B' L2 F' L' B' U
L' B' L2 U' F' B' U
L' B' L2 U' B' F' U
L B' L2 F' U F B'
L B' L2 F' U B' F
L' B' R2 U F B U'
L' B' R2 U B F U'
L' B' U F U' D' L2
L' B' U F U2 F2 U
L' B' U F D' U' L2
L' B' U F D2 B2 U'
L' B' U' F' U D R2
L' B' U' F' U2 F2 U'
L' B' U' F' D U R2
L' B' U' F' D2 B2 U
D B' U' F' L' U R
U' B' D F' L' U R
U' B' F' L B' L2 U
U' B' F' L' U2 F U'
U' B2 L F' B' L' U
U' B2 L B' F' L' U
L B' F' U D2 F B2
L B' F' U D2 B2 F
L B' F' U' F2 U2 F'
L B' F' D2 U F B2
L B' F' D2 U B2 F
U' B2 L2 F' L' B' U
D' B2 U' F' L' B' U
U' B2 D F' L' U R
D B2 U' F' L' U R
U' B2 F' L B' L2 U
U' B2 F' L' U2 F U'
