L2 R U' R' U' F'
U L' R B' L' U2
R L2 U' R' U' F'
U L' B' L' R U2
U L' B' R L' U2
U' L2 R B U2 B'
U L2 U2 F2 L' F
L' U L' R B' U2
L U L R U2 F
L' U L' B' R U2
U L2 D2 R U2 F'
L' U R L' B' U2
L U R L U2 F
U R L' B' L' U2
U' R L2 B U2 B'
U' R B L2 F U2
U' R' D2 L2 F' R2
U' R' D2 F' L2 R2
U' R' D2 F' R2 L2
U' R' F' D2 L2 R2
U' R' F' D2 R2 L2
D F' L' F' U' L'
D F2 U' D' L' F
D F2 D' U' L' F
U L R B' U2 F R
U L R B2 U2 R' F
U L R B2 U2 F R'
L2 R U' L R' U' F'
L2 R U' L' R' U' F'
L2 R U' L2 R' U' F'
L2 R U' R' L U' F'
L2 R U' R' L' U' F'
L2 R U' R' L2 U' F'
L2 R U' R' U' D F'
L2 R U' R' U' D' F'
L2 R U' R' U' D2 F'
L2 R U' R' U' F' D
L2 R U' R' U' F' D'
L2 R U' R' U' F' D2
L2 R U' R' D U' F'
L2 R U' R' D' U' F'
L2 R U' R' D2 U' F'
L2 R U' D R' U' F'
L2 R U' D' R' U' F'
L2 R U' D2 R' U' F'
B' L U L R U2 F
B2 L U L R U2 F
B L U L R U2 F
B' L U R L U2 F
B2 L U R L U2 F
B L U R L U2 F
L2 R D U' R' U' F'
U' L U2 L R U2 F
L2 R D' U' R' U' F'
U' L U2 R L U2 F
L2 R D2 U' R' U' F'
L2 R F' U' L' R' U'
L2 R F' U' R' L' U'
D L F' L' F' U' L'
D L F2 U' D' L' F
D L F2 D' U' L' F
L2 R B2 U L U F
U L B' R U2 F R
U L B2 R U2 R2 F
U L B2 R U2 F R2
U L' R D B' L' U2
U L' R D' B' L' U2
U L' R D2 B' L' U2
U L' R B L' B2 U2
U L' R B' L' U2 D
U L' R B' L' U2 D'
U L' R B' L' U2 D2
U L' R B' L' D U2
U L' R B' L' D' U2
U L' R B' L' D2 U2
U L' R B' D L' U2
U L' R B' D' L' U2
U L' R B' D2 L' U2
U L' R B2 L' B U2
U L' R' B' L' R2 U2
U L' R' B' R2 L' U2
F' L' U L' U' B' U'
B' L' U L' R B' U2
B' L' U L' B' R U2
B2 L' U L' R B' U2
B' L' U R L' B' U2
B2 L' U L' B' R U2
B L' U L' R B' U2
B2 L' U R L' B' U2
B L' U L' B' R U2
B L' U R L' B' U2
U' L' U2 L' R B' U2
U' L' U2 L' B' R U2
U' L' U2 R L' B' U2
U L' D R B' L' U2
U L' D B' L' R U2
U L' D B' R L' U2
