D' B' L F2 U F
B' L U D2 F' B' L2
B' L U D2 B' L2 F'
B' L U D2 B' F' L2
B' L U F' D2 B' L2
B' L U F' B' D2 L2
B' L U B' D2 L2 F'
B' L U B' D2 F' L2
B' L U B' F' D2 L2
B' L U' R2 B U2 B2
B' L D' F2 U F B'
B' L D' F2 U B' F
B' L D2 U F' B' L2
B' L D2 U B' L2 F'
B' L D2 U B' F' L2
R2 L' D F L' B U2
R2 L' D F B L' U2
R2 L' D B F L' U2
R2 L' D' F B U2 R'
R2 L' D' B F U2 R'
B' L' U D2 L2 F' B'
B' L' U D2 L2 B' F'
B' L' U F' D2 L2 B2
B' L' U F' D2 B2 L2
B' L' U' R2 F B U2
B' L' U' R2 B F U2
B' L' U' F R2 U2 F2
R2 L' F D' B U2 R'
R2 L' B D F L' U2
B' L' D2 U L2 F' B'
B' L' D2 U L2 B' F'
L' R2 D F L' B U2
L' R2 D F B L' U2
L' R2 D B F L' U2
L' R2 D' F B U2 R'
L' R2 D' B F U2 R'
L' R2 F D' B U2 R'
L' R2 B D F L' U2
L2 R2 B U' F R U'
R2 L2 B U' F R U'
D2 L2 F' R D R2 B
D2 L2 F' R' D B R2
D2 L2 F' R' B D R2
L U R2 B L U2 B2
L U R2 B U2 B2 R'
L U D2 F' B' L2 R'
L U D2 F' B' R' L2
L U D2 B' L2 F' R'
L U D2 B' F' L2 R'
L U D2 B' F' R' L2
L U F' D2 B' L2 R'
L U F' D2 B' R' L2
L U F' B' D2 L2 R'
L U F' B' D2 R' L2
L U B' D2 L2 F' R'
L U B' D2 F' L2 R'
L U B' D2 F' R' L2
L U B' F' D2 L2 R'
L U B' F' D2 R' L2
L2 U' F R U' F2 L'
L U' F R F2 B' L'
L U' F R B' F2 L'
L U' F B' R F2 L'
L U' B' F R F2 L'
F' R' B2 L B' D' R2
B' U L D2 F' B' L2
B' U L D2 B' L2 F'
B' U L D2 B' F' L2
B' U L F' D2 B' L2
B' U L F' B' D2 L2
B' U L B' D2 L2 F'
B' U L B' D2 F' L2
B' U L B' F' D2 L2
B' U L' D2 L2 F' B'
B' U L' D2 L2 B' F'
B' U L' F' D2 L2 B2
B' U L' F' D2 B2 L2
B' U F' L D2 B' L2
B' U F' L B' D2 L2
B' U F' L' D2 L2 B'
D' U B' L F2 U F
L D' F2 U F B' R'
L D' F2 U B' R' F
L D' F2 U B' F R'
R2 D' B U B2 L U
U' D' B' L F2 U F
D' U' B' L F2 U F
F' U' D' F2 B' L U
F' U' D' B' L F2 U
F' U' D' B' F2 L U
U2 D' B' L F2 U F
U D' B' L F2 U F
L' D2 L2 D' F' R B'
L' D2 L2 D' F' B' R
L' D2 L2 D' B' F' R
L' D2 L2 B' D' F' R
L D2 U F' B' L2 R'
L D2 U F' B' R' L2
L D2 U B' L2 F' R'
L D2 U B' F' L2 R'
L D2 U B' F' R' L2
D' U2 B' L F2 U F
L D2 B' L2 D F' R
D2 F' R' B L2 D' R2
D' F' U' F' B' L U
D' F' U' B' L F' U
D' F' U' B' F' L U
D' F' B' L F' U F
F' D' U' F2 B' L U
F' D' U' B' L F2 U
F' D' U' B' F2 L U
F' D' F2 B' L U F2
F2 D' F2 B' L U F'
F' D' B' L F2 U F2
F' D' B' F2 L U F2
F2 D' B' F2 L U F'
F' D2 R' B L2 D' R2
R2 B L U B2 U B
R2 B L U2 D' R2 B'
R2 B L U2 D' B' R2
R2 B L D L2 F U2
R2 B L D' U2 R2 B'
R2 B L D' U2 B' R2
R2 B L' D L2 U2 B'
R2 B L' D F L2 U2
R2 B L' D' F U2 R2
R2 B L' F U B2 U
R2 B L' F U2 D' R2
R2 B L' F D L2 U2
R2 B L' F D' U2 R2
R2 B U L B2 U B
R2 B U B2 L U B'
D' B' L U D' L2 F'
D' B' L U D' F' L2
D' B' L D' U L2 F'
D' B' L D' U F' L2
D' B' L F2 R U F
D' B' L F2 R' U F
D' B' L F2 R2 U F
D' B' L F2 U D F
D' B' L F2 U D' F
D' B' L F2 U D2 F
D' B' L F2 U F D
D' B' L F2 U F D'
D' B' L F2 U F D2
D' B' L F2 D U F
D' B' L F2 D' U F
D' B' L F2 D2 U F
D B' L2 F L' U F2
D' B' D' L U L F'
D' B' D' L U F' L
D' B' F' L F' U F
L B' D2 L2 D F' R
