R' F' D R F' L'
R2 L F' R D F2 L'
U L F' L2 B' U' R
U' L' U2 D' L B' U
U' L' D' U2 L B' U
U' L' F' U2 L U R
L R2 F' R D F2 L'
B L2 F L' U' L2 U'
B L2 F L' U2 D F2
B L2 F L' D U2 F2
B L2 F L' D' B2 U2
L U F' L2 B' U' R
F' R U2 D R' B U2
F' R D U2 R' B U2
F2 R' D' F R F L'
F R' F2 L' D R F'
F R' F2 R D' L' F
F R' F2 D L' R F'
F R' F2 D R L' F'
F R' F2 D' L' R F
F R' F2 D' R L' F
F2 R2 F R D' F2 L'
D' U L' F U2 F' U
F2 U R U2 R' F' U'
U' D' L' F U2 L U
D' U' L' F U2 L U
U D' L' F U2 F' U
B' U' L' U' D2 B R'
B' U' L' D2 U' B R'
B' U' L' F' U' B R
B2 U' L' F' U' R B2
B2 U' L' F' U' B2 R
F2 U' R B U2 B' U'
B' U' D' L' F U' B
B2 U' D' L' R2 F U'
B2 U' D' L' F R2 U'
B2 U' D' R2 L' F U'
B' U' D2 L' U' B R'
L2 F L' D' B2 U2 B2
B' U2 F' D B R F'
B' U2 F' B D R F'
B2 U2 F' B2 D R F'
B U2 F' D R F' B'
B U2 F' D R B' F'
B U2 F' D B' R F'
B U2 F' B' D R F'
B' U2 B F' D R F'
U' F U L' B' U2 B
L F R' D F2 L' R
L F R' D F2 R L'
U' F U' L' U2 L F
B U2 B' F' D R F'
B2 U2 B2 F' D R F'
L F D R' F2 L' R
L F D R' F2 R L'
F' D R F' U2 R' U2
F' D R F' B2 L B2
F' D R B2 L F' B2
F' D R B2 L B2 F'
F' D R B2 F' L B2
L F D' L' B2 U2 B2
F' D R' F' R2 F' L'
F' D R' F2 L' R2 F'
F' D R' F2 R2 L' F'
L F D' B2 L' U2 B2
F' D R2 D2 L2 R' F'
F' D R2 D2 R' L2 F'
F' D R2 D2 R' F' L2
R' F' L D R F' L'
R' F' L' D R F' L'
R' F' L2 D R F' L'
R' F' R D' F' L' F
R2 F' R D' F2 L' F
F' D B U2 R F' B'
F' D B U2 R B' F'
F' D B U2 B' R F'
F' D B' U2 B R F'
F' D B2 R F' B2 L
F' D B2 R B2 L F'
F' D B2 R B2 F' L
F' D B2 U2 R F' B2
F' D B2 U2 R B2 F'
F' D B2 U2 B2 R F'
F' D' L B' U2 B R
R' F' D L R F' L'
R' F' D L' R F' L'
R' F' D L2 R F' L'
R' F' D R L F' L'
R' F' D R L' F' L'
R' F' D R L2 F' L'
R' F' D R D F' L'
R' F' D R D' F' L'
R' F' D R D2 F' L'
R' F' D R F' L' D
R' F' D R F' L' D'
R' F' D R F' L' D2
R' F' D R F' D L'
R' F' D R F' D' L'
R' F' D R F' D2 L'
U2 F' D R F' D2 B2
R' F' D' R F' L' F
R2 F' D R D L2 F'
R2 F' D R D F' L2
R2 F' D R F' D L2
R' F' D' F' L' F R
L F' D R' F2 L' R2
L F' D R' F2 R2 L'
R F' D R D2 L2 F'
R F' D R D2 F' L2
R F' D R F' D2 L2
R2 F' D2 L2 D' R F'
F' D' R' F2 L' R2 F
F' D' R' F2 L' F R2
F' D' R' F2 R2 L' F
L F' D' B2 U2 R B2
L F' D' B2 U2 B2 R
B' D' U' L' F U' B
B2 D' U' L' R2 F U'
B2 D' U' L' F R2 U'
B2 D' U' R2 L' F U'
R' F2 L' U' R B U
R' F2 L' F D R F'
R' F2 U' R B U L'
B' D2 U' L' U' B R'
F2 B U R U B' R'
D2 B' L U' L2 U' B
D2 B' L U2 D F2 B
D2 B' L U2 D B F2
D2 B' L U2 B D F2
D2 B' L D U2 F2 B
D2 B' L D U2 B F2
D2 B' L D' B2 U2 B'
F' B U2 D R F' B'
F' B U2 D R B' F'
F' B U2 D B' R F'
F' B U2 B' D R F'
F2 B U2 B' R' D' F2
F' B D U2 R F' B'
F' B D U2 R B' F'
F' B D U2 B' R F'
D' B' U' L' F U' B
B' F' U2 D B R F'
B' F' U2 B D R F'
F' B' U2 D B R F'
F' B' U2 B D R F'
B' F' D U2 B R F'
B2 F' U2 B2 D R F'
F' B' D U2 B R F'
B F' U2 D R F' B'
B F' U2 D R B' F'
B F' U2 D B' R F'
B F' U2 B' D R F'
B F' D U2 R F' B'
B F' D U2 R B' F'
B F' D U2 B' R F'
D' B2 U' L' F U' B2
B F2 U R U B' R'
F' B2 U2 B2 D R F'
B F2 U2 B' R' D' F2
