L D' B R' B L
U2 L D' R' U2 B R'
D2 L D' B2 L B' R'
B2 L B U' L B' U
U' L B' L B' U L
D L B2 L B D' R2
D L B2 D' L B R'
B2 L B2 D' R' B R'
B2 L B2 D' B R' B
U2 L2 R' U B' L U
B' L2 U' B' L' U L2
B2 L2 B L' D' R2 B2
B2 L2 B L' D' B2 R2
R' U F R2 B R' U'
U2 R' L2 U B' L U
U2 R' U L2 B' L U
L U' B' L B' U L
B R' F B U' L F'
B R' F B U' F' L
L2 U2 R' U B' L U
B R' B F U' L F'
B R' B F U' F' L
L U2 D' R' U2 B R'
B R2 U R F B U'
B R2 U R B F U'
B2 U R F U' L B
B U R F B R2 U'
B U R B R2 F U'
B U R B F R2 U'
B U R' F U' D' L2
B U R' F U2 F2 U
B U R' F D' U' L2
B U R' F D2 B2 U'
D' U F U R' U2 B
L2 D B2 L B' D' R2
D U F U' B2 L B'
U D F U' B2 L B'
D U F B2 U' L B'
U D F B2 U' L B'
B2 U F R U' L B
L D' L B R' B L
B U F R B R2 U'
B U F R' U2 F' U
L D' L' B R' B L
L D' L2 B R' B L
D U B2 F U' L B'
U D B2 F U' L B'
B2 U' L' U B' L2 R'
B2 U' L' U B' R' L2
L D' U2 R' U2 B R'
U2 D' R' U' F U' B
B' U' L2 B' L' U L2
U D' F U R' U2 B
L D' B L R' B L
L D' B L' R' B L
L D' B L2 R' B L
L D' B R' L B L
L D' B R' L' B L
L D' B R' L2 B L
L D' B R' D B L
L D' B R' D' B L
L D' B R' D2 B L
L D' B R' B L D
L D' B R' B L D'
L D' B R' B L D2
L D' B R' B D L
L D' B R' B D' L
L D' B R' B D2 L
L D' B2 L B' R' B
F U' D F' B2 L B'
F U' D B2 L F' B'
F U' D B2 L B' F'
L D' B2 D2 L B' R'
F U' D B2 F' L B'
F U' F' D B2 L B'
D' U2 R' U' F U' B
U F U D' R' U2 B
D F U' F' B2 L B'
U F U' D B2 L B'
D F U' B2 L F' B'
D F U' B2 L B' F'
D F U' B2 F' L B'
U F D U' B2 L B'
U F D B2 U' L B'
U F D' U R' U2 B
U F B R' B U' L
D F B2 U' L F' B'
D F B2 U' L B' F'
D F B2 U' F' L B'
U F B2 U' L' B' L2
F D U' F' B2 L B'
F D U' B2 L F' B'
F D U' B2 L B' F'
F D U' B2 F' L B'
F' D F B2 L R2 B'
F' D F B2 L B' R2
F' D F B2 R2 L B'
F' D B2 R2 F L B'
F' D B2 F L R2 B'
F' D B2 F L B' R2
F' D B2 F R2 L B'
F D B2 U' L F' B'
F D B2 U' L B' F'
F D B2 U' F' L B'
F' D' L2 R' B' U2 B2
U2 F' D' L2 R' U2 B
U2 F' D' R' L2 U2 B
F' D' R' L2 B' U2 B2
U B R' F B U' L
U B R' B F U' L
L2 B U' B2 L F U
B2 F L2 U' L' F' B'
B2 F L2 U' L' B' F'
U B F R' B U' L
B2 F U' L F' D2 B2
B2 F U' L' F' B' L2
B2 F U' L' B' L2 F'
B2 F U' L' B' F' L2
B2 F U' F' L' B' L2
U' B' L2 B' L' U L2
L B' U' L B' U L
D' B2 L R' D' B R'
D B2 L D' B R' B2
D B2 L B2 D' B R'
D' B2 R' L D' B R'
F B2 L2 U' L' F' B'
F B2 L2 U' L' B' F'
U' B2 U2 F R U' L
D B2 U F U' L B'
F B2 U' L F' D2 B2
F B2 U' L' F' B' L2
F B2 U' L' B' L2 F'
F B2 U' L' B' F' L2
F B2 U' F' L' B' L2
D B2 F U' L F' B'
D B2 F U' L B' F'
D B2 F U' F' L B'
U B2 F U' L' B' L2
