B' L F2 D' B R' U'
B' L2 B L' F2 U' B2
D' R U L2 U2 F' B'
D' R U L2 U2 B' F'
D' R U F L2 U2 F2
D' R U' F' D2 R2 B2
D' R U' F' D2 B2 R2
F2 R D' R U' F' B
F2 R D' R U' B F'
D' R' U L2 B U2 B2
D' R' U F L2 B U2
D' R' U F B L2 U2
D' R' U B L2 U2 B'
D' R' U B F L2 U2
L2 U' B' U L F2 U'
L2 U' B' U F2 L U'
F2 R2 U' B U' R' U
F2 R2 D L' U' F B
F2 R2 D L' U' B F
L' D L' U' R2 F B'
L' D L' U' R2 B' F
L' D L' U' F R2 B'
L' D L' U' F B' R2
L' D L' U' B' R2 F
L' D L' U' B' F R2
F2 R2 B' L B U' B
D U F L B' U2 R2
D U F L' U2 R2 F
D U F L' U2 F R2
U D F L B' U2 R2
U D F L' U2 R2 F
U D F L' U2 F R2
F2 U D2 F' U R U
F2 U F' B U R' U
F2 U F' B' U' L U'
F2 U B F' U R' U
F2 U B' F' U' L U'
D' U' R F' D2 R2 B2
U' D' R F' D2 R2 B2
U' D' R F' D2 B2 R2
D' U' R F' D2 B2 R2
F U' D2 F L' U' L
F U' F B' L U' L'
F U' B' F L U' L'
D2 F L' U2 B2 U B2
F2 D L U F' B' U2
F2 D L U B' F' U2
F2 D L' R2 U' F B
F2 D L' R2 U' B F
F2 D L' U F' U2 F2
F2 D L' U' F D2 B2
U F U' D2 F L' U'
F' D L' F' R2 U' F2
L' F D2 F L' U' B'
F2 D R2 L' U' F B
F2 D R2 L' U' B F
U F D2 U' F L' U'
U F B' U' F L U'
F' D F' L' R2 U' F
F' D F' R2 L' U' F
D2 F' D2 F2 L' U' B2
D F2 L' U' R2 F B
D F2 L' U' R2 B F
L2 F2 U' B' U L U'
L' F2 D L' U' F B'
L' F2 D L' U' B' F
L2 F2 D' R U' F' B'
L2 F2 D' R U' B' F'
L2 F2 B' L B U' B'
F2 D2 U F' U R U
L F2 B' L B U' B2
F' D2 F L' F2 U' B2
F D2 U' F L' U' L
F' D2 F' U2 R U B2
F D2 F L' R2 U' B
F D2 F L' U F' U2
F D2 F R2 L' U' B
B' F U' F L B U'
L2 B' L F2 B U' B'
L2 B' L B F2 U' B'
L B' L F2 B U' B2
L B' L B F2 U' B2
F2 B' L B R2 U' B
F2 B' L B U F' U2
L2 B' U L F2 B U'
L2 B' U L B F2 U'
L2 B' U F2 L B U'
L2 B' F2 L B U' B'
F B' U' F L B U'
U B' F U' F L U'
L B' F2 L B U' B2
B' F2 L B R2 U' B
B' F2 L B U F' U2
