D L2 U' B' R' B' L
R2 U R B2 U' F' U'
D L2 B' U' B' L R'
D L2 B' U' B' R' L
R2 U B2 R U' F' U'
R' U' D L2 F' R' U'
R' U' D F' L2 R' U'
R' U' D F' R' L2 U'
R' U' F' R' U B2 U2
R' U' F' R' U' D2 F2
R' U' F' R' D L2 U'
R' U' F' R' D2 U' F2
R' U' F' D L2 R' U'
R' U' F' D R' L2 U'
R' U' F' D2 R' U' F2
D R' U' L2 F' U' B2
B2 R' U' F' R' U' L
D R' U' F' L2 U' B2
R' D U' L2 F' R' U'
R' D U' F' L2 R' U'
R' D U' F' R' L2 U'
R D B2 L2 R F U'
R D B2 R L2 F U'
R D' F2 L' B R2 U
R D' F2 B L' R2 U
R D' F2 B R2 L' U
R D' B F2 L' R2 U
R D' B F2 R2 L' U
R2 D2 L' F U' F L'
B2 U2 L U R2 F U'
B2 U2 L U F R2 U'
R' F' R' U R B2 U2
R' F' R' U B2 R U2
R' F' R' U' D2 F2 L'
R' F' R' D2 U' F2 L'
R' F' D2 R' U' F2 L'
B' D2 L2 U F L' R
B' D2 L2 U F R L'
R2 B2 R U' F' R' U'
R' B2 U L U2 F' U'
R' B2 U' F' U2 L U
