B L B2 R2 U F'
B L B2 U' B U2
B' L' U2 R' U' F
B' L2 U2 R' U' F'
B' U2 L' R' U' F
B' U2 R' L' U' F
B2 D' B R' U B
B2 D' B R' U B
D' B L R' B2 U
D' B R' L B2 U
D' B' U2 L R' U'
D' B' U2 R' L U'
B' L R D2 L2 U F
B' L R' U' B' U2 B
B L R B2 R2 U F'
B L R B2 U' B U2
B L R' B2 R2 U F'
B L R' B2 U' B U2
B L R2 B2 R2 U F'
B L R2 B2 U' B U2
B L U' D L2 U2 F
B L U' D B' L2 U2
B L U' D' B' U2 R2
B L U' B' U B' U
B' L U2 L2 R' U' F
B' L U2 R' L2 U' F
B' L U2 R' U B' U2
B L D U' L2 U2 F
B L D U' B' L2 U2
B L D' U' B' U2 R2
B L D' B2 U R2 F'
B L B D' B R2 U
B L B D2 B U F2
B L B2 R2 U D F'
B L B2 R2 U D' F'
B L B2 R2 U D2 F'
B L B2 R2 U F' D
B L B2 R2 U F' D'
B L B2 R2 U F' D2
B L B2 R2 D U F'
B L B2 R2 D' U F'
B L B2 R2 D2 U F'
B L B2 U R2 F' R2
B L B2 U' D B U2
B L B2 U' D' B U2
B L B2 U' D2 B U2
B L B2 U' B U2 D
B L B2 U' B U2 D'
B L B2 U' B U2 D2
B L B2 U' B D U2
B L B2 U' B D' U2
B L B2 U' B D2 U2
B L B2 D R2 U F'
B L B2 D U' B U2
B L B2 D' R2 U F'
B L B2 D' U' B U2
B L B2 D2 R2 U F'
B L B2 D2 U' B U2
B' L' R U D F B2
B' L' R U D B2 F
B' L' R U F D B2
B' L' R U2 R2 U' F
B' L' R D U F B2
B' L' R D U B2 F
B' L' R2 U2 R U' F
B' L' U F U R' U'
B L' U D' R2 F B2
B L' U D' R2 B2 F
B L' U D' F R2 B2
B L' U D' F B2 R2
B L' U D' B2 R2 F
B L' U D' B2 F R2
B L' U F D' R2 B2
B L' U F D' B2 R2
B' L' U2 R' U' D F
B' L' U2 R' U' D' F
B' L' U2 R' U' D2 F
B' L' U2 R' U' F D
B' L' U2 R' U' F D'
B' L' U2 R' U' F D2
B' L' U2 R' D U' F
B' L' U2 R' D' U' F
B' L' U2 R' D2 U' F
B' L' U2 D R' U' F
B' L' U2 D' R' U' F
B' L' U2 D2 R' U' F
B' L' D U2 R' U' F
B' L' D' U2 R' U' F
B L' D' U R2 F B2
B L' D' U R2 B2 F
B L' D' U F R2 B2
B L' D' U F B2 R2
B L' D' U B2 R2 F
B L' D' U B2 F R2
B' L' D2 U2 R' U' F
D' L' B L R' B' U
D' L' B R' L B' U
B2 L' B U2 R' U' F
B L' B2 L2 U' B' U2
B L' B2 U D' F B2
B L' B2 U D' B2 F
B L' B2 U F D' B2
B L' B2 D' U F B2
B L' B2 D' U B2 F
B' L2 U2 L R' U' F'
B' L2 U2 L' R' U' F'
B' L2 U2 L2 R' U' F'
B' L2 U2 R' L U' F'
