R B R U' R F2
L' R B R U' R F2
L R B R U' R F2
L2 R B R U' R F2
R L B R U' R F2
U2 L' R2 B' U' R F2
R L' B R U' R F2
R L2 B R U' R F2
R' U R2 B R U' F2
F2 R U B R U' R
R U B R U' R F2
R2 U' R U' F' U F'
R2 U' R F D' F L2
R2 U' R F2 U' F U
B' R B R U' R2 F2
B' R B R U' F2 R2
F R B R U' R F
F2 R' U R2 B R U'
F2 R' U' F' U2 R' U'
D R' U' F' R' U B2
R U' B R U' R F2
D R' F' R' U R B2
D R' F' R' U B2 R
F2 R' B2 U' L F' U
F2 R' B2 U' F' L U
U2 R2 L' B' U' R F2
U2 R2 U' R F' L' F'
F R2 U' R F D' L2
F R2 U' D' R F L'
R U2 B R U' R F2
F R2 D' U' R F L'
U' R2 B U' L R F2
U' R2 B U' R L F2
U' R2 B U' R F2 L
R D R2 F' B2 L U
R D R2 B2 L F' U
R D R2 B2 F' L U
F' U D F' L' R' B2
F' U D F' R' L' B2
F' U D F' R' B2 L'
F' U F' L' D R' B2
F' U F' D L' R' B2
F' U F' D R' L' B2
F' U F' D R' B2 L'
F2 U F' R2 U' L' R
F2 U F' R2 U' R L'
R D' L2 B R F2 U'
R D' B L2 R F2 U'
R D' B R L2 F2 U'
R D' B R F2 L2 U'
F2 D R' U' F' U B2
F2 D R' B2 U' F' U
F D R' F B2 D' L2
F' D U F' L' R' B2
F D R' B2 F D' L2
F' D U F' R' L' B2
F' D U F' R' B2 L'
U F' L' D F' R' B2
U F' L' F' D R' B2
U F' D L' F' R' B2
F D' R' F D' L2 B'
R' F2 L2 U R' B' U'
R' F2 U R' U2 F U
R' F2 U' F U2 R' U'
R F2 R2 U' L' F' U
U' F2 D R' B L B
F' D2 L2 U F' L' R'
F' D2 L2 U F' R' L'
F2 D2 R' U' L2 F' U
F2 D2 R' U' F' L2 U
F D2 R' F D' L2 B2
F D2 R' F D' B2 L2
R' F2 B2 U' F L U
R B L R U' R F2
R B L' R U' R F2
R B L2 R U' R F2
R B R L U' R F2
R B R L' U' R F2
R B R L2 U' R F2
R B R U' R F2 D
R B R U' R F2 D'
R B R U' R F2 D2
R B R U' R' F2 R2
R B R U' R2 F2 R'
R B R D' L2 U' R
R B D' L2 R F2 U'
R B D' R L2 F2 U'
R B D' R F2 L2 U'
R B' R B2 U' R F2
R B2 R B' U' R F2
R' B2 U' L F' U F'
R' B2 U' F' L U F'
R' B2 F2 U' F L U
