U L F' B' L' R'
U L F' B' R' L'
U L B' F' L' R'
U L B' F' R' L'
U L2 F' L' B' R'
U F' L B' L2 R'
U F' L B' R' L2
U L R B' R' F' L'
U' L U2 F' B' L' R'
U' L U2 F' B' R' L'
U' L U2 B' F' L' R'
U' L U2 B' F' R' L'
U L D F' B' L' R'
U L D F' B' R' L'
U L D B' F' L' R'
U L D B' F' R' L'
U L D' F' B' L' R'
U L D' F' B' R' L'
U L D' B' F' L' R'
U L D' B' F' R' L'
U L D2 F' B' L' R'
U L D2 F' B' R' L'
U L D2 B' F' L' R'
U L D2 B' F' R' L'
U L F' R B' L' R'
U L F' R B' R' L'
U L F' R' B' L' R'
U L F' R' B' R' L'
U L F' R2 B' L' R'
U L F' R2 B' R' L'
U L F' D B' L' R'
U L F' D B' R' L'
U L F' D' B' L' R'
U L F' D' B' R' L'
U L F' D2 B' L' R'
U L F' D2 B' R' L'
U L F' B' L' R' D
U L F' B' L' R' D'
U L F' B' L' R' D2
U L F' B' L' D R'
U L F' B' L' D' R'
U L F' B' L' D2 R'
U L F' B' R' L' D
U L F' B' R' L' D'
U L F' B' R' L' D2
U L F' B' R' D L'
U L F' B' R' D' L'
U L F' B' R' D2 L'
U L F' B' D L' R'
U L F' B' D R' L'
U L F' B' D' L' R'
U L F' B' D' R' L'
U L F' B' D2 L' R'
U L F' B' D2 R' L'
U L F' B2 L' B R'
U L F2 B' R' F L'
U L B' L F' L' R'
U L B' L F' R' L'
U L B' L' F' L' R'
U L B' L' F' R' L'
U L B' L2 F' L' R'
U L B' L2 F' R' L'
U L B' D F' L' R'
U L B' D F' R' L'
U L B' D' F' L' R'
U L B' D' F' R' L'
U L B' D2 F' L' R'
U L B' D2 F' R' L'
U L B' F' L' R' D
U L B' F' L' R' D'
U L B' F' L' R' D2
U L B' F' L' D R'
U L B' F' L' D' R'
U L B' F' L' D2 R'
U L B' F' R' L' D
U L B' F' R' L' D'
U L B' F' R' L' D2
U L B' F' R' D L'
U L B' F' R' D' L'
U L B' F' R' D2 L'
U L B' F' D L' R'
U L B' F' D R' L'
U L B' F' D' L' R'
U L B' F' D' R' L'
U L B' F' D2 L' R'
U L B' F' D2 R' L'
U L B' F2 R' F L'
U L B2 F' L' B R'
D' L' B' L U F' L'
U L2 D F' L' B' R'
U L2 D' F' L' B' R'
U L2 D2 F' L' B' R'
