U2 L2 F' L' U' B'
U2 D F' L' R U'
U2 D F' R L' U'
B U2 L F' U' B'
D U2 F' L' R U'
D U2 F' R L' U'
B U2 F' L U' B'
U2 F' L' U F U2
R2 B U2 L U' B'
U2 L R U' B' R' F'
B' L R2 B R U B2
B2 L R2 B R' U B2
F' L U' D' B' L F
U' L U' F' U' F2 B'
U' L U' F' U' B' F2
U' L U2 F D R2 B'
U' L U2 F D B' R2
U' L U2 F B' D R2
D L U2 F' L' R U'
D L U2 F' R L' U'
U' L U2 B' F D R2
F' L D' U' B' L F
R2 L B U2 L U' B2
R' L B' R' B U B'
B L F' U2 F U B'
R2 L B' R' B2 U B2
F' L B L B' U' B'
B L' U2 L2 F' U' B'
D L' U2 F' L' R U'
D L' U2 F' R L' U'
L R' B' R' B U B'
U' L' F D B' U2 R2
U' L' F D' L2 U2 F
U' L' F D' B' L2 U2
U' L' F B' U' F2 U'
U' L' F B' U2 D R2
U' L' F B' D U2 R2
U' L' F B' D' L2 U2
U2 L' F' L' U F2 U2
U2 L' F' L' U' D2 B2
U2 L' F' L' D R2 U'
U2 L' F' L' D2 U' B2
U2 L' F' D L' R2 U'
U2 L' F' D R2 L' U'
U2 L' F' D2 L' U' B2
U' L' B' F U' F2 U'
U' L' B' F U2 D R2
U' L' B' F D U2 R2
U' L' B' F D' L2 U2
L R2 B U2 L U' B2
D L2 U2 F' L' R U'
D L2 U2 F' R L' U'
L R2 B' R' B2 U B2
U2 L2 D F' L' U' B'
U2 L2 D' F' L' U' B'
U2 L2 D2 F' L' U' B'
U2 L2 F' L' R U' B'
U2 L2 F' L' R' U' B'
U2 L2 F' L' R2 U' B'
U2 L2 F' L' U' D B'
U2 L2 F' L' U' D' B'
U2 L2 F' L' U' D2 B'
U2 L2 F' L' U' B' D
U2 L2 F' L' U' B' D'
U2 L2 F' L' U' B' D2
U2 L2 F' L' D U' B'
U2 L2 F' L' D' U' B'
U2 L2 F' L' D2 U' B'
U2 L2 F' R L' U' B'
U2 L2 F' R' L' U' B'
U2 L2 F' R2 L' U' B'
U2 L2 F' D L' U' B'
U2 L2 F' D' L' U' B'
U2 L2 F' D2 L' U' B'
L U R' D' F' R B'
L U R' D' F' B' R
L U R' D' B' F' R
L U R' B' D' F' R
U2 R L U' B' R' F'
B R U2 L F U' B'
L U B' R' D' F' R
L U B' U F' L' U'
R U' L U2 F R B'
R U' L U2 F B' R
R U' L U2 B' F R
R U' L' F B' U2 R'
R U' L' B' F U2 R'
D2 R' U D B R' F'
R U' B L U2 F B'
R U' B L U2 B' F
D2 R' D U B R' F'
L U2 L F' L' U' B'
L' U2 L' F' L' U' B'
L U2 R U' B' R' F'
D' R' B' L R' B U
D' R' B' R' L B U
D2 R' B' R' B U B
B' R2 L B R U B2
B2 R2 L B R' U B2
L' U2 F' L' U F2 U2
L' U2 F' L' U' D2 B2
L' U2 F' L' D R2 U'
L' U2 F' L' D2 U' B2
L2 U2 F' L' R U' B
L2 U2 F' R L' U' B
L' U2 F' D L' R2 U'
L' U2 F' D R2 L' U'
L' U2 F' D2 L' U' B2
B' R2 B L R U B'
B' R2 B R L U B'
B2 R2 B L R' U B'
D' R2 B U2 L R' U'
D' R2 B U2 R' L U'
B2 R2 B R' L U B'
F R2 F2 B L U' B'
D' R2 B' L R' B2 U
B2 R2 B D2 R' U B
F R2 B L F2 U' B'
D' R2 B' R' L B2 U
F R2 B F2 L U' B'
U2 D L F' L' R U'
U2 D L F' R L' U'
U2 D L' F' L' R U'
U2 D L' F' R L' U'
U2 D L2 F' L' R U'
U2 D L2 F' R L' U'
D2 U R' D F' B R'
D2 U R' D B F' R'
D2 U R' D' F' B R
D2 U R' D' B F' R
D2 U R' F' D B R'
D2 U R' B D' F' R
U2 D F' L' R U' D
U2 D F' L' R U' D'
U2 D F' L' R U' D2
U2 D F' L' R D U'
U2 D F' L' R D' U'
U2 D F' L' R D2 U'
U2 D F' L' D R U'
U2 D F' L' D' R U'
U2 D F' L' D2 R U'
U2 D F' R L' U' D
U2 D F' R L' U' D'
U2 D F' R L' U' D2
U2 D F' R L' D U'
U2 D F' R L' D' U'
U2 D F' R L' D2 U'
U2 D F' R D L' U'
U2 D F' R D' L' U'
U2 D F' R D2 L' U'
U2 D F' D L' R U'
U2 D F' D R L' U'
U2 D F' D' L' R U'
U2 D F' D' R L' U'
U2 D F' D2 L' R U'
U2 D F' D2 R L' U'
B U F' L U' B' L'
F' U' L D F B' L'
F' U' L D B' F L'
F' U' L D' F B' L
F' U' L D' B' F L
F' U' L F D' B' L
F' U' L B' D F L'
R2 D' B U2 L R' U'
R2 D' B U2 R' L U'
R2 D' B' L R' B2 U
R2 D' B' R' L B2 U
R' D2 L B' R' U B
D U2 L F' L' R U'
D U2 L F' R L' U'
D U2 L' F' L' R U'
D U2 L' F' R L' U'
D U2 L2 F' L' R U'
D U2 L2 F' R L' U'
U D2 R' D F' B R'
U D2 R' D B F' R'
U D2 R' D' F' B R
U D2 R' D' B F' R
B U2 L R U' B' R'
U D2 R' F' D B R'
U D2 R' B D' F' R
B U2 L D F' U' B'
B U2 L D' F' U' B'
B U2 L D2 F' U' B'
B U2 L F' R U' B'
B U2 L F' R' U' B'
B U2 L F' R2 U' B'
B U2 L F' U' D B'
B U2 L F' U' D' B'
B U2 L F' U' D2 B'
B U2 L F' U' B' D
B U2 L F' U' B' D'
B U2 L F' U' B' D2
B U2 L F' D U' B'
B U2 L F' D' U' B'
B U2 L F' D2 U' B'
D2 U2 F' L' R' U' B
D2 U2 F' R' L' U' B
U2 D2 F' L' R' U' B
U2 D2 F' R' L' U' B
D U2 F' L' R U' D
D U2 F' L' R U' D'
D U2 F' L' R U' D2
D U2 F' L' R D U'
D U2 F' L' R D' U'
D U2 F' L' R D2 U'
D U2 F' L' D R U'
D U2 F' L' D' R U'
D U2 F' L' D2 R U'
D U2 F' R L' U' D
D U2 F' R L' U' D'
D U2 F' R L' U' D2
D U2 F' R L' D U'
D U2 F' R L' D' U'
D U2 F' R L' D2 U'
D U2 F' R D L' U'
D U2 F' R D' L' U'
D U2 F' R D2 L' U'
D U2 F' D L' R U'
D U2 F' D R L' U'
D U2 F' D' L' R U'
D U2 F' D' R L' U'
D U2 F' D2 L' R U'
D U2 F' D2 R L' U'
B U2 R L U' B' R'
R2 D2 B' R' B2 U B'
F' U2 D F L' R U
F' U2 D F R L' U
B U2 D L F' R U'
B U2 D F' L R U'
B U2 D F' R L U'
F' U2 F L R U B'
F' U2 F R L U B'
B U2 F L F2 U' B'
U2 F L2 F2 L' U' B'
B U2 F' L R U' B'
B U2 F' L R' U' B'
B U2 F' L R2 U' B'
B U2 F' L U' D B'
B U2 F' L U' D' B'
B U2 F' L U' D2 B'
B U2 F' L U' B' D
B U2 F' L U' B' D'
B U2 F' L U' B' D2
B U2 F' L D U' B'
B U2 F' L D' U' B'
B U2 F' L D2 U' B'
B U2 F' R L U' B'
B U2 F' R' L U' B'
B U2 F' R2 L U' B'
U2 F' L U' D F2 B'
U2 F' L U' D B' F2
U2 F' L U' B' D F2
U2 F' L D U' F2 B'
U2 F' L D U' B' F2
F' D U2 F L' R U
F' D U2 F R L' U
U2 F' L' R U F U2
U2 F' L' R' U F U2
U2 F' L' R2 U F U2
U2 F' L' U D F U2
U2 F' L' U D' F U2
U2 F' L' U D2 F U2
U2 F' L' U F U2 D
U2 F' L' U F U2 D'
U2 F' L' U F U2 D2
U2 F' L' U F D U2
U2 F' L' U F D' U2
U2 F' L' U F D2 U2
U2 F' L' U' L2 B' L2
B D U2 L F' R U'
U2 F' L' U2 L2 U B'
U2 F' L' D U F U2
U2 F' L' D' U F U2
U2 F' L' D2 U F U2
B D U2 F' L R U'
B D U2 F' R L U'
U2 F' R L' U F U2
D F' R U2 F R U
U2 F' R' L' U F U2
U2 F' R2 L' U F U2
L2 F' U2 F R U B
L F' U2 F R U B'
U2 F' D2 L' R' U' B
U2 F' D2 R' L' U' B
B' D2 R' U D B R'
B' D2 R' D U B R'
B' D2 R2 B R U B
R2 B L' U2 L2 U' B'
R2 B R U2 L U' B'
R2 B R' U2 L U' B'
R2 B R2 U2 L U' B'
F' B L U' D' B' L
D' B U2 L F' R' U'
F' B L D' U' B' L
D' B U2 F' L R' U'
D' B U2 F' R' L U'
R2 B U2 L R U' B'
R2 B U2 L R' U' B'
R2 B U2 L R2 U' B'
R2 B U2 L U' D B'
R2 B U2 L U' D' B'
R2 B U2 L U' D2 B'
R2 B U2 L U' B' D
R2 B U2 L U' B' D'
R2 B U2 L U' B' D2
R2 B U2 L D U' B'
R2 B U2 L D' U' B'
R2 B U2 L D2 U' B'
R2 B U2 R L U' B'
D B U2 L F' R U'
R2 B U2 R' L U' B'
R2 B U2 R2 L U' B'
D B U2 F' L R U'
D B U2 F' R L U'
L B U2 L F' U' B2
F' B L2 B' L' U' B'
R B U2 L F U' B'
L B U2 F' L U' B2
R' B' L R' B U B2
D' B' L R2 B R U
R2 B' L R' B2 U B
R' B' R' L B U B2
D2 B' R' U D B R'
D2 B' R' D U B R'
D' B' R' D2 L B' U
R' B' R' B L U B'
D' B' R2 L B R U
R2 B' R' L B2 U B
D2 B' R2 B R U B
R2 B' R' B2 L U B'
B F' L U' D' B' L
B F' L D' U' B' L
L B' R2 B R U B'
B F' L2 B' L' U' B'
D' B2 R2 B L R' U
D' B2 R2 B R' L U
