F' U' L' B' U2
F' R U' L' B' U2
F' R' U' L' B' U2
F' R2 U' L' B' U2
F R2 F2 U R' F'
F' U R' F2 R F
F' U R2 F2 R F'
F' U F' R' F' R
F' U F2 R' F' R2
F' U' L' D B' U2
F' U' L' D' B' U2
F' U' L' D2 B' U2
F' U' L' B' U2 D
F' U' L' B' U2 D'
F' U' L' B' U2 D2
F' U' L' B' D U2
F' U' L' B' D' U2
F' U' L' B' D2 U2
F' U' D L' B' U2
F' U' D' L' B' U2
F' U' D2 L' B' U2
F' U' B L' B' U2
F' U' B' L' B' U2
F' U' B2 L' B' U2
F' D U' L' B' U2
D2 F' U' L' B' U2
D' F' U' L' B' U2
D F' U' L' B' U2
F' D' U' L' B' U2
F' D2 U' L' B' U2
B' F R' F2 U R2
F' B' R' U' L' U2
B' F' R' U' L' U2
F B' R' F2 U R2
U' L U F' U F2 R
U L' U' F' B' R' U
U L' U' B' F' R' U
F' L2 U D' B2 R' F'
F' L2 D' U B2 R' F'
F' R U R' F2 R F
F' R U R2 F2 R F'
F' R U F' R' F' R
F' R U F2 R' F' R2
F' R U' L' D B' U2
F' R U' L' D' B' U2
F' R U' L' D2 B' U2
F' R U' L' B' U2 D
F' R U' L' B' U2 D'
F' R U' L' B' U2 D2
F' R U' L' B' D U2
F' R U' L' B' D' U2
F' R U' L' B' D2 U2
F' R U' D L' B' U2
F' R U' D' L' B' U2
F' R U' D2 L' B' U2
F' R U' B L' B' U2
F' R U' B' L' B' U2
F' R U' B2 L' B' U2
F' R D U' L' B' U2
F' R D' U' L' B' U2
F' R D2 U' L' B' U2
F2 R F U' L' B' U2
F R F2 R U R' F'
F R F2 B' R' U R
F' R B' R' U' L' U2
F R B' F2 R' U R
L' U' F' L U F R
F' R' U R' F2 R F
F' R' U R2 F2 R F'
F' R' U F' R' F' R
F' R' U F2 R' F' R2
F' R' U' L' D B' U2
F' R' U' L' D' B' U2
F' R' U' L' D2 B' U2
F' R' U' L' B' U2 D
F' R' U' L' B' U2 D'
F' R' U' L' B' U2 D2
F' R' U' L' B' D U2
F' R' U' L' B' D' U2
F' R' U' L' B' D2 U2
F' R' U' D L' B' U2
F' R' U' D' L' B' U2
F' R' U' D2 L' B' U2
F' R' U' B L' B' U2
F' R' U' B' L' B' U2
F' R' U' B2 L' B' U2
F' R' D U' L' B' U2
