R' B R2 U' F' R
R' L B R2 U' F' R
R' L' B R2 U' F' R
L' R' B R2 U' F' R
L2 R' B R2 U' F' R
L R' B R2 U' F' R
D L2 R F' B' U' L
D L2 R B' F' U' L
R' L2 B R2 U' F' R
D L2 B' R F' U' L
D R L2 F' B' U' L
D R L2 B' F' U' L
R' U B R2 U' F' R
B2 R U2 F' U R F
B R U2 F' U R F'
R U B2 U F' U R
D R F' L2 B' U' L
D R F' B' L2 U' L'
D R B' F' L2 U' L'
R' U' B R2 U' F' R
U' R' B R2 U' F' R
U2 R' B R2 U' F' R
U R' B R2 U' F' R
R U2 F' U R D2 F2
R U2 F' U D2 R F2
R U2 F' U' B2 U2 R
R U2 F' D' R2 U R'
R U2 F' D2 U R F2
R' U2 B R2 U' F' R
B2 U' R U2 F' U R
R F D2 B2 U' F2 R
R F' U' B2 U2 R B2
R F' U' B2 U2 B2 R
R' F' B R2 U' F' R'
F2 D2 L' F U R F
R' B L R2 U' F' R
R' B L' R2 U' F' R
R' B L2 R2 U' F' R
R' B R2 L U' F' R
R' B R2 L' U' F' R
R' B R2 L2 U' F' R
R' B R2 U' F' R D
R' B R2 U' F' R D'
R' B R2 U' F' R D2
R' B R2 U' F' D R
R' B R2 U' F' D' R
R' B R2 U' F' D2 R
R' B R2 F U' F2 R
R' B F' R2 U' F' R'
B2 F D' L' F U2 L'
D B' R F' L2 U' L'
R B2 U2 F' U R F
F B2 D' L' F U2 L'
