D R' U F' R' B
D L R' U F' R' B
U2 L R2 F2 U' F' B
U2 L R2 F2 U' B F'
U2 L U' D R2 F B
U2 L U' D R2 B F
U2 L D U' R2 F B
U2 L D U' R2 B F
U2 L F2 L2 U' F' B'
U2 L F2 L2 U' B' F'
U2 L F2 U F U2 F2
U2 L F2 U' F' D2 B2
D L' R' U F' R' B
U2 L' F2 L2 U' F B'
U2 L' F2 L2 U' B' F
U2 L' F2 U F B' U2
U2 L' F2 U B' F U2
D L2 R' U F' R' B
D' L2 F' U F R U
R' U F' R' D B R'
R2 U B R D F' R2
R2 U B R' D R2 F'
F' R B U F U R
D R' L U F' R' B
D R' L' U F' R' B
D R' L2 U F' R' B
D R' U F R' F2 B
D R' U F R' B F2
D R' U F' R' D B
D R' U F' R' D' B
D R' U F' R' D2 B
D R' U F' R' B D
D R' U F' R' B D'
D R' U F' R' B D2
D R' U F2 R' F B
D R' U F2 R' B F
F2 R' U' D' L2 F' B'
F2 R' U' D' L2 B' F'
F2 R' D' U' L2 F' B'
F2 R' D' U' L2 B' F'
U2 R2 L F2 U' F' B
U2 R2 L F2 U' B F'
R' U2 F2 R' U' F B
R' U2 F2 R' U' B F
U2 R2 F2 L U' F B
U2 R2 F2 L U' B F
L' D R' U F' R' B
R D R U B R F'
L2 D R' U F' R' B
L D R' U F' R' B
D2 R2 B2 R U F' B'
D2 R2 B2 R U B' F'
U2 D L U' R2 F B
U2 D L U' R2 B F
F' U R F R B U
R' D B' L U F' R2
F' U R2 F B R U
F' U R2 B F R U
F' U F R U D R2
F' U F R U2 F2 U'
F' U F R D U R2
F' U F R D2 B2 U
F' U F U2 F2 L' U'
F' U F D R U R
F2 U F U R F U
F' U F D2 R B2 U
F' U F D2 B2 R U
R' D2 L B2 U F' B
R' D2 L B2 U B F'
R2 D2 L' B2 U F B'
R2 D2 L' B2 U B' F
D U2 L U' R2 F B
D U2 L U' R2 B F
R' D2 B2 L U F' B'
R' D2 B2 L U B' F'
B' D R' U F' R' B
B2 D R' U F' R' B
B D R' U F' R' B
D2 F' U F R B2 U
D2 F' U F B2 R U
U' F' U' L F' U' F2
D2 F' U B2 F R U
U' F' U' F' L U' F
D F' U F R U R
U2 F' U' F' L' U' L
U' F' B U' L F' U'
U' F' B U' F' L U'
F2 D' R' U' L2 F' B'
F2 D' R' U' L2 B' F'
D B R' U F' R' B
U' B F' U' L F' U'
U' B F' U' F' L U'
D B' R' U F' R' B
D B2 R' U F' R' B
