U' L' R' D' F2 B'
U' L' R' D' B' F2
U' L' R' B' D' F2
R U L' R B R
R U R L' B R
R U R B L' R
R U R B R L'
U2 R U L' R2 B'
U2 R U L' B' R2
U R U L' B R2
U2 R U R2 L' B'
U R U B L' R2
U R U B R2 L'
R U' L' B' R2 F'
U' R' L' D' F2 B'
U' R' L' D' B' F2
U' R' L' B' D' F2
U' R' D' L' F2 B'
U' R' D' L' B' F2
R' B L' D' F2 B2
R' B L' D' B2 F2
R B L U L2 R2
R B L U R2 L2
U' L R U L2 R2 B'
U' L R U L2 B' R2
U' L R U R2 L2 B'
L2 R U L R B R
L R U L2 R B R
U L R U L2 B R2
U L R U B L2 R2
L2 R U R L B R
U L R U B R2 L2
L R U R L2 B R
L R U R B L2 R
L R U R B R L2
R L U L2 R B R
L2 R U R2 D2 L B'
R L U R L2 B R
R L U R B L2 R
R L U R B R L2
B L R B' U L2 R'
B L R B' U R' L2
L' R B L U L' R2
L' R B L U R2 L'
L R B L U L R2
L R B L U R2 L
R L B L U L R2
R L B L U R2 L
L' R' U' L' R2 U B'
R' L' U' L' R2 U B'
B L B' R U L2 R2
B L B' R U R2 L2
R' L' U' R2 L' U B'
L' R' U' R2 L' U B'
U' L' R B' R2 D' F2
U' L' R' U' R2 U B'
U L' R B R2 D' F2
U' L' R' D' F2 D B'
U' L' R' D' F2 D' B'
U' L' R' D' F2 D2 B'
U' L' R' D' F2 B' D
U' L' R' D' F2 B' D'
U' L' R' D' F2 B' D2
U' L' R' D' B' F2 D
U' L' R' D' B' F2 D'
U' L' R' D' B' F2 D2
U L' R' U' R2 U B
U' L' R' D2 B' D F2
U' L' R' F D' F2 B'
U' L' R' F D' B' F2
U' L' R' F B' D' F2
U' L' R' F' D' F2 B'
U' L' R' F' D' B' F2
U' L' R' F' B' D' F2
U' L' R' F2 D' F2 B'
U' L' R' F2 D' B' F2
U' L' R' F2 B' D' F2
U' L' R' B' U' R2 U
U' L' R' B' D' F2 D
U' L' R' B' D' F2 D'
U' L' R' B' D' F2 D2
U' L' R' B' F D' F2
U' L' R' B' F' D' F2
U' L' R' B' F2 D' F2
U' L' R' B2 D' F2 B
U' L' R' B2 D' B F2
U' L' R2 B' D' R F'
F2 L' U R U2 B R2
U' L' U' R U R2 B'
U' L' U' R U B' R2
U2 L' U' R U B R2
U' L' D R' D' F2 B'
U' L' D R' D' B' F2
U' L' D R' B' D' F2
R L' B L U L' R2
R L' B L U R2 L'
R' L' B U' L R2 U
R' L' B U' R2 L U
L' R' B U' L R2 U
U' L' D' R' D' F2 B'
U' L' D' R' D' B' F2
L' R' B U' R2 L U
U' L' D' R' B' D' F2
U' L' D2 R' D' F2 B'
U' L' D2 R' D' B' F2
U' L' D2 R' B' D' F2
R L2 U L R B R
R L2 U R L B R
R L2 U R2 D2 L B'
F2 L' F2 U' L' R' B'
F2 L' F2 U' R' L' B'
B L' B' R' D' F2 B2
