B L D' B' U2 L B
U L' U F B L R
U L' U F B R L
U L' U B F L R
U L' U B F R L
F L' B' U R' F B2
F L' B' U R' B2 F
F L' B' U F R' B2
D' L2 B' L U' R' B2
L D' B' U2 L R' B2
L D' B' U2 R' L B2
B U' F U' L B' U2
D2 U2 F U B R F'
B U2 L D' B' U2 L
U2 D2 F U B R F'
U' F L' B' U F B2
U' F L' B' U B2 F
U2 F L' U B R F
U F L' U F B R
U F L' U B F R
U2 F U D2 B R F'
U2 F U B D2 R F'
U2 F D2 U B R F'
B' F L' U R' F B2
B' F L' U R' B2 F
B' F L' U F R' B2
L2 B' L U' R' F B2
L2 B' L U' R' B2 F
L2 B' L U' F R' B2
F B' L' U R' F B2
F B' L' U R' B2 F
F B' L' U F R' B2
