D2 R2 U' R F' L'
D' L R' F' B2 D' L2
R' L U' F L U F2
D' L R' B2 F' D' L2
B2 L U F L R U
B2 L U F R L U
L R F L U R2 F'
R L F L U R2 F'
R' L F' L' D' L2 B2
R' L F' L' D' B2 L2
R' L F' U' L F2 U
R' L F' U' F2 L U
L R' U' F L U F2
D2 L' R2 B' U' R F'
L R' F' L' D' L2 B2
L R' F' L' D' B2 L2
L R' F' U' L F2 U
L R' F' U' F2 L U
U2 L2 U R' F' L' F
U2 L2 U F' L' R' F
U2 L2 U F' L' F R'
U2 L2 U F' R' L' F
U' L2 F' U L' R' F'
U' L2 F' U R' L' F'
L U F L R U R2
L U F R L U R2
D' R U' R2 F' L' B2
D' R U' R2 F' B2 L'
D' R U' R2 B2 F' L'
R' U' L2 F U F2 L'
R' U' L2 F2 U F L'
R2 U' R D' F' L' B2
R2 U' R D' F' B2 L'
R2 U' R D' B2 F' L'
R2 U' R F' D' L' B2
R2 U' R F' D' B2 L'
R U' R2 D' F' L' B2
R U' R2 D' F' B2 L'
R U' R2 D' B2 F' L'
R U' R2 F' D' L' B2
R U' R2 F' D' B2 L'
D' R' L F' B2 D' L2
D' R' L B2 F' D' L2
R' U' F L2 U F2 L'
L U' F L U R' F'
R2 U2 L2 U R F' L'
R U2 L2 U R2 F' L'
D' R' B2 L F' D' L2
D2 R2 L' B' U' R F'
L U2 F L U R' F
L U2 F L U F R'
D2 R2 U' L R F' L'
D2 R2 U' L' R F' L'
D2 R2 U' L2 R F' L'
D2 R2 U' R L F' L'
D2 R2 U' R L' F' L'
D2 R2 U' R L2 F' L'
D2 R2 U' R D F' L'
D2 R2 U' R D' F' L'
D2 R2 U' R D2 F' L'
D2 R2 U' R F' L' D
D2 R2 U' R F' L' D'
D2 R2 U' R F' L' D2
D2 R2 U' R F' D L'
D2 R2 U' R F' D' L'
D2 R2 U' R F' D2 L'
D' R2 U' R F' L' B2
D' R2 U' R F' B2 L'
D' R2 U' R B2 F' L'
D' R2 U' B2 R F' L'
D2 R2 B U' R F' L'
D2 R2 B' U' R F' L'
D2 R2 B2 U' R F' L'
R' D' L F' B2 D' L2
R' D' L B2 F' D' L2
R' D' B2 L F' D' L2
L2 D2 R F' U R2 F'
R' D2 R2 U' R2 F' L'
L2 D2 R2 U R F' L'
L F L R U R2 F'
L F L R2 U R F'
L F R L U R2 F'
D2 F R2 U' R F' L'
L F R2 L U R F'
R' F' L U' F L U
U' F' L2 U L R' F'
U' F' L2 U R' L F'
U' F' L2 U R' F' L
D2 F' R2 U' R F' L'
R' F' U' L2 F' U L'
R' F' U' F' L2 U L
D2 F2 R2 U' R F' L'
F' D2 R2 U' R F' L'
F2 D2 R2 U' R F' L'
F D2 R2 U' R F' L'
