R2 B R' D B2 L
R2 L B R' D B2 L
R2 L' B R' D B2 L
L' R2 B R' D B2 L
L2 R2 B R' D B2 L
R2 L2 B R' D B2 L
L R2 B R' D B2 L
B' L2 D L' F U2 F'
F' L2 B' D L U2 B'
B' R D B2 L R' B'
B' R D B2 R' L B'
B' R D' B2 L R' B
B' R D' B2 R' L B
U R F R2 B U' R'
B R B2 R2 D L B'
U' R' U2 R B U R'
U' R' U2 B R U R2
U' R' D F2 L' F U'
U' R' F2 D L' F U'
F2 R' B U' F2 L' R'
F2 R' B U' F2 R' L'
U R' B' U L U2 L'
U' R2 D' R F' U' F'
U' D R' F2 L' F U'
R D B D' B L R'
R D B D' B R' L
R D B2 L U' B' U
U' D' R' U2 B R U
D' U' R' U2 B R U
D U' R' F2 L' F U'
B' U2 D L U2 B' L'
F U2 D2 F' R D B2
U F R2 B R U' R2
B' D L F U2 F' B'
B' D L F U2 B' F'
B' D L F' U2 F B'
B' D L F' U2 B' F
B' D L F2 U2 F2 B'
B' D L F2 U2 B' F2
B' D L' F L2 U2 F'
B' D R B2 L R' B'
B' D R B2 R' L B'
B' D U2 L U2 B' L'
B' D F L U2 F' B'
B' D F L U2 B' F'
D2 F' R D F B2 L
D2 F' R D B2 F L
B' D F2 L U2 F2 B'
B' D F2 L U2 B' F2
D2 F' R F D B2 L
D2 F' U' R' U' R2 F
D2 F' U' R' U' F R2
D2 F' U2 R D F B2
D2 F' U2 R D B2 F
D2 F' U2 R F D B2
D2 F2 U' R' F' U' F'
R' F2 B U' L' R' F2
R' F2 B U' L' F2 R'
R' F2 B U' R' L' F2
R2 B L R' D B2 L
R2 B L' R' D B2 L
F D2 U2 F' R D B2
R2 B L2 R' D B2 L
F D2 F' R D B2 L
R2 B R' L D B2 L
R2 B R' L' D B2 L
R' B R2 D B2 L R
R' B R2 D B2 R L
R2 B R' L2 D B2 L
R2 B R' D L B2 L
R2 B R' D L' B2 L
R2 B R' D L2 B2 L
R2 B R' D B2 L D
R2 B R' D B2 L D'
R2 B R' D B2 L D2
R2 B R' D B2 D L
R2 B R' D B2 D' L
R2 B R' D B2 D2 L
R2 B R' B2 L D B2
R2 B R' B2 D L B2
R2 B D R' D L2 B2
R2 B D R' D B2 L2
R B D R' B L B
R2 B D2 L2 R' D B2
R2 B D2 R' L2 D B2
R' B F2 U' L' R' F2
R' B F2 U' L' F2 R'
R' B F2 U' R' L' F2
F' B U2 F R' D B2
B' F D L U2 F' B'
B' F D L U2 B' F'
F2 B U2 F2 D R' B
R' B' R2 D B2 L R'
R' B' R2 D B2 R' L
R2 B' R' D B2 L R'
R2 B' R' D B2 R' L
B F' U2 F R' D B2
F B' D L U2 F' B'
F B' D L U2 B' F'
R B2 L D B' R' B'
R B2 L B D B2 R'
R B2 L B' D R' B2
R B2 D L B' R' B'
B F2 U2 F2 D R' B
