B' L B' U' B' R' U2
D2 R F' B R U' F'
D2 R B F' R U' F'
R2 D L F' R B' L
R2 D L F' B' L R
R2 D L F' B' R L
R2 D L B' L F' R
R2 D L B' F' L R
R2 D L B' F' R L
R2 D F' L R B' L
R2 D F' L B' L R
R2 D F' L B' R L
R2 D F' R L B' L
R2 D F' R B' L B'
R2 D F' B' L R B'
R2 D F' B' L B' R
R2 D F' B' R L B'
D' U R' B R' F' L'
R2 D B' L F' R B'
R2 D B' L F' B' R
R2 D B' L B' F' R
R2 D B' F' L R B'
R2 D B' F' L B' R
R2 D B' F' R L B'
D' U B U2 R' B L
U' D' R' B L R' F'
D' U' R' B L R' F'
U' D' R' B R' L F'
U' D' R' B R' F' L
D' U' R' B R' L F'
D' U' R' B R' F' L
U D' R' B R' F' L'
U' D' B U2 L R' B
D' U' B U2 L R' B
D' U' B U2 R' L B
U' D' B U2 R' L B
U D' B U2 R' B L
