R U F' R2 B U
U R F' R2 B U
U R' U2 F2 B U'
U R' U2 B F2 U'
R' U2 F2 B U' B'
R' U2 B F2 U' B'
L' R U F' R2 B U
L2 R U F' R2 B U
L R U F' R2 B U
R L U F' R2 B U
R' L U2 F2 B U' B'
R' L U2 B F2 U' B'
R L' U F' R2 B U
R' L' U2 F2 B U' B'
L' R' U2 F2 B U' B'
R' L' U2 B F2 U' B'
L' R' U2 B F2 U' B'
L R' U2 F2 B U' B'
L2 R' U2 F2 B U' B'
L R' U2 B F2 U' B'
L2 R' U2 B F2 U' B'
D2 L' U R' F B2 U
D2 L' U R' B2 F U
D2 L' U F R' B2 U
R L2 U F' R2 B U
R' L2 U2 F2 B U' B'
R' L2 U2 B F2 U' B'
D' L2 U R' F U L'
D' L2 U F R' U L'
L' U R F' R2 B U
L2 U R F' R2 B U
L U R F' R2 B U
L' U R' U2 F2 B U'
L' U R' U2 B F2 U'
L2 U R' U2 F2 B U'
L2 U R' U2 B F2 U'
L U R' U2 F2 B U'
L U R' U2 B F2 U'
R U R2 U2 F2 B U'
R U R2 U2 B F2 U'
R U F' R2 D B U
R U F' R2 D' B U
R U F' R2 D2 B U
R U F' R2 B U D
R U F' R2 B U D'
R U F' R2 B U D2
R U F' R2 B D U
R U F' R2 B D' U
R U F' R2 B D2 U
R U F' B R2 B U
R U F' B' R2 B U
R U F' B2 R2 B U
U2 R U' F' R2 B U
F2 R U2 F' R2 U B
R U B F' R2 B U
R U B' F' R2 B U
R U B2 F' R2 B U
U2 R F' R2 B U B'
U R F' R2 D B U
U R F' R2 D' B U
U R F' R2 D2 B U
U R F' R2 B U D
U R F' R2 B U D'
U R F' R2 B U D2
U R F' R2 B D U
U R F' R2 B D' U
U R F' R2 B D2 U
U R F' B R2 B U
U R F' B' R2 B U
U R F' B2 R2 B U
U R B F' R2 B U
U R B' F' R2 B U
U R B2 F' R2 B U
R' U' F2 B L2 U' F
R2 U' F2 L' B U' L
R' U' F2 B U B' U2
U2 R' U F2 B U' F2
U2 R' U B F2 U' F2
B2 R' U' L F2 B U'
B2 R' U' L B F2 U'
R' U' B L2 F2 U' F'
R2 U' F2 B L' U' L2
B2 R' U' F2 L B U'
R U' F2 U2 R2 F U
R U' F2 U2 F R2 U
R U' F2 D2 L2 B' U'
R' U' B F2 L2 U' F
R' U' B F2 U B' U2
U' R' U2 B R F2 U'
R2 U' B F2 L' U' L2
U R' U2 D B U' R2
U R' U2 F2 D B U'
U R' U2 F2 D' B U'
U R' U2 F2 D2 B U'
U R' U2 F2 B U' D
U R' U2 F2 B U' D'
U R' U2 F2 B U' D2
U R' U2 F2 B D U'
U R' U2 F2 B D' U'
U R' U2 F2 B D2 U'
U R' U2 B U' D R2
U R' U2 B D U' R2
U R' U2 B F2 U' D
U R' U2 B F2 U' D'
U R' U2 B F2 U' D2
U R' U2 B F2 D U'
U R' U2 B F2 D' U'
U R' U2 B F2 D2 U'
U R' D U2 B U' R2
U R' D2 B2 U2 B' U'
U R' F U2 F B U'
U R' F U2 B F U'
U R' F' U2 F' B U'
U R' F' U2 B F' U'
F2 R' B U F2 U2 F2
R' U2 D B U' R2 B'
R' U2 D B U' B' R2
U R' B' U D L2 R2
U R' B' U D R2 L2
U R' B' U2 F2 B2 U'
U R' B' U2 B2 F2 U'
U R' B' D U L2 R2
U R' B' D U R2 L2
U R' B' D2 F2 B2 U
U R' B' D2 B2 F2 U
U R' B2 U2 F2 B' U'
U R' B2 U2 B' F2 U'
R' U2 F2 D B U' B'
R' U2 F2 D' B U' B'
R U2 F' R2 B U B'
R' U2 F2 D2 B U' B'
R' U2 F2 B R U' B'
R' U2 F2 B R' U' B'
R' U2 F2 B R2 U' B'
R' U2 F2 B U' D B'
R' U2 F2 B U' D' B'
R' U2 F2 B U' D2 B'
R' U2 F2 B U' B' D
R' U2 F2 B U' B' D'
R' U2 F2 B U' B' D2
R' U2 F2 B D U' B'
R' U2 F2 B D' U' B'
R' U2 F2 B D2 U' B'
R2 U2 F2 L' B' U' B
R' U2 B R F2 U' B'
R' U2 B R' F2 U' B'
R' U2 B R2 F2 U' B'
R' U2 B U' D R2 B'
R' U2 B U' D B' R2
R' U2 B U' B' D R2
R' U2 B D U' R2 B'
R' U2 B D U' B' R2
R' U2 B F2 R U' B'
R' U2 B F2 R' U' B'
R' U2 B F2 R2 U' B'
R' U2 B F2 U' D B'
R' U2 B F2 U' D' B'
R' U2 B F2 U' D2 B'
R' U2 B F2 U' B' D
R' U2 B F2 U' B' D'
R' U2 B F2 U' B' D2
R' U2 B F2 D U' B'
R' U2 B F2 D' U' B'
R' U2 B F2 D2 U' B'
U R2 U2 F2 L' B' U'
R' D U2 B U' R2 B'
R' D U2 B U' B' R2
R D B2 U F' U R2
R D' L2 U F' U F'
D2 U B2 U2 L B' U'
B2 U' F2 D2 L B' U'
