L U' F L U F'
D2 L R2 U2 F U R2
R2 L U2 F L U R2
L R U2 F L U R'
R L U2 F L U R'
B2 L U' R' F L U
F' L U' F L U F'
B' L U' F L U F
D' L U' F U F' B2
D' L U' F U B2 F'
B2 L U' F L R' U
B2 L U' F R' L U
F2 L U' F L U F'
F L U' F L U F'
U L U2 L F' U L'
U L U2 F' L U L2
B2 L F L R' U R
B2 L F R' L U R
D2 L F2 R2 B U' R2
U L B U' D L B'
U L B D U' L B'
U L B' U R' F' U2
D' L B2 U' F U F'
U L B2 R' B' U' L
U L B2 D' R' B U'
D2 L' R2 B' L2 U' R2
D2 L' U R2 B' L2 U'
D2 L' U B' L2 R2 U'
D2 L' U B' R2 L2 U'
D' L' B D L2 F2 B
D' L' B D L2 B F2
D2 L' B D L2 F2 B2
D2 L' B D L2 B2 F2
D' L' B D F2 L2 B
D' L' B D F2 B L2
D' L' B D B L2 F2
D' L' B D B F2 L2
D2 L' B D F2 L2 B2
D2 L' B D F2 B2 L2
D2 L' B D B2 L2 F2
D2 L' B D B2 F2 L2
L R2 U2 F L U R2
D2 L' B' L2 R2 U' R2
D2 L' B' R2 L2 U' R2
D' L' B2 U L2 B U'
D' L' B2 U B L2 U'
U' L2 U2 L' B U' L
U' L2 U2 B L' U' L2
L2 U L B' L2 U' B
U' L2 F U' R B U2
L' U L2 U2 F L U
U' L2 F' U D' L' F
U' L2 F' D' U L' F
U' L2 F2 R F U L'
U' L2 F2 D R F' U
L' U B L2 B2 R' U'
L' U B' L2 U2 L U
L U' R F L U F'
L U' R' F L U F'
L U' R2 F L U F'
L U' D F L U F'
L U' D' F L U F'
L U' D2 F L U F'
L U' F L U D F'
L U' F L U D' F'
L U' F L U D2 F'
L U' F L U F' D
L U' F L U F' D'
L U' F L U F' D2
L U' F L D U F'
L U' F L D' U F'
L U' F L D2 U F'
L U' F D L U F'
L U' F D' L U F'
L U' F D2 L U F'
L U' F2 L F' U F'
D2 R2 L U2 F U R2
D2 R2 L' B' L2 U' R2
L U2 F L U' L' U2
L U2 F' L F2 U R
D2 U L R2 B U' L
D' U L B U' L B
D2 U L B R2 U' L
L D U' F L U F'
L' D F2 U R B' U'
L' D F2 U B' R U'
D2 U R2 L B U' L
U D' L B U' L B
L D' U' F L U F'
B2 U' L2 R' F' U L'
B' U' L2 F' U L' F
B2 U' L2 F' R' U L'
B2 U' R' L2 F' U L'
B2 U' R' F' L2 U L
B2 U' F' L2 R' U L
B2 U' F' R' L2 U L
U D2 L R2 B U' L
U D2 L B R2 U' L
L D2 U' F L U F'
U D2 R2 L B U' L
L2 D2 F2 R F' U R'
U' F L2 F2 R U L'
U' F' L2 U L D F2
U' F' L2 U2 L' U' L2
U' F' L2 F U L F
U' F' L2 F2 R U L
L F' L F2 R U R'
L F' U' L F2 U F2
L F' U' F2 L U F2
L F' U2 L F2 U R
L F' D2 B2 R' U' R
L' F2 U R B' L2 U'
L' F2 U B' L2 R U'
L' F2 U B' R L2 U'
L F2 U' L F' U F
L2 F2 D2 R F' U R'
L' F2 B' L2 R U' R'
L' F2 B' R L2 U' R'
L' B L2 B2 R' U' R
L' B U L2 B2 R' U'
U B' U' D' B2 L F
U B' D' U' B2 L F
L' B' F2 L2 R U' R'
L' B' F2 R L2 U' R'
D' B2 L U' R' F U
D' B2 L U' F R' U
D' B2 U B U' L F
D' B2 U' R' F' U L'
D' B2 U' F' R' U L'
