U' B U' R B U'
F2 L R2 F L2 U F2
F L R2 F L' U F2
R2 L F U2 R' U' F2
F2 L F L2 R2 U F'
F2 L F L2 U' B U2
F L F L' R2 U F'
F L F L' U' B U2
F2 L F R2 L2 U F'
F L F R2 L' U F'
F2 L' R2 U2 B' U' F'
F2 L' U' B U' B2 U'
F2 L' U' B U2 D L2
F2 L' U' B D U2 L2
F2 L' U' B D' R2 U2
F2 L' U2 B' U B2 U2
F2 L' U2 B' U' D2 F2
F2 L' U2 B' D L2 U'
F2 L' U2 B' D2 U' F2
L R2 F U2 R' U' F2
R U R U2 F' L' R'
R U R U2 F' R' L'
R U R' B U2 L R
R U R' B U2 R L
R U B' R' B U2 R
U2 R D B U2 R' U
U2 R D B' L B2 U'
U2 R D2 L' B U' F
U2 R D2 B L' U' F
U2 R B U' R F' R'
U2 R B U2 R U F'
U2 R B D2 L' U' F
U2 R B2 D B' L U'
L' U' B U' R B2 U'
L' U' B U' B2 R U'
L' U2 R D B' L U'
F2 R2 L F L2 U F2
F2 R2 L' U2 B' U' F'
F R2 L F L' U F2
L' U2 B' R U B2 U2
L' U2 B' R U' D2 F2
L' U2 B' R D L2 U'
L' U2 B' R D2 U' F2
L' U2 B' D L2 R U'
L' U2 B' D R L2 U'
L' U2 B' D2 R U' F2
U' D B U' R B U'
D' U' B U' R B U'
U' D' B U' R B U'
D2 U' B U' R B U'
D U' B U' R B U'
F' U' F B R U2 B
F' U' F' B U2 L' B'
F' U' B R U2 B L
F' U' B R' F' U2 L'
F' U' B F R U2 B
F' U' B F' U2 L' B'
U' D2 B U' R B U'
U' F D B R F' U2
U' F B D R F' U2
L2 F2 L' R2 F U F2
L2 F2 L' F R2 U F'
L2 F2 L' F U' B U2
L F2 L' F' R2 U F'
L F2 L' F' U' B U2
L2 F2 R2 L' F U F2
U2 B R B L2 U' F
U2 B R B U B' U2
U' B U' R D B U'
U' B U' R D' B U'
U' B U' R D2 B U'
U' B U' R B U' D
U' B U' R B U' D'
U' B U' R B U' D2
U' B U' R B D U'
U' B U' R B D' U'
U' B U' R B D2 U'
U' B U' D R B U'
U' B U' D' R B U'
U' B U' D2 R B U'
U' B U' B R B U'
U' B U' B' R B U'
U' B U' B2 R B U'
U' B D U' R B U'
U' B D' U' R B U'
U' B D2 U' R B U'
U' B F D R F' U2
U2 B' R D L2 B U'
U2 B' R D B L2 U'
U2 B' R D2 B U' F2
U2 B' R B U B U2
U2 B' D L2 R B U'
U2 B' D R L2 B U'
U2 B' D R B L2 U'
U2 B' D2 R B U' F2
R2 B2 L F B2 U F2
R2 B2 L B2 F U F2
U2 B2 L2 R B U' F
U2 B2 R L2 B U' F
U2 B2 R B U B2 U2
U2 B2 R B U' D2 F2
U2 B2 R B D L2 U'
U2 B2 R B D2 U' F2
