U2 R' F U' L' U2
L' U2 R' F' U R
F' R' F2 L' U R2
U2 D R' F B U
U2 D R' B F U
U2 D F R' B U
F' U' R D' L2 F2
F' U' R D' F2 L2
D U2 R' F B U
D U2 R' B F U
D U2 F R' B U
F' U2 R' F2 U R2
U2 F R' U' L' U2
U' F' R D' L2 F2
U' F' R D' F2 L2
U2 F' R' F2 U R2
F' D2 B2 L U' R
F' L R' F2 L' U R2
F' L U' R D' L2 F2
F' L U' R D' F2 L2
F' L U2 R' F2 U R2
R' L F2 L' F U R
F' L D2 B2 L U' R
D2 L B2 L B' U' R'
F L' R' U2 R U' R'
F' L' R' F2 L' U R2
F' L' U' R D' L2 F2
F' L' U' R D' F2 L2
F' L' U2 R' F2 U R2
D L' U2 R' F' B U
D L' U2 R' B F' U
L R' F2 L' F U R
F' L' D2 B2 L U' R
D' L' F U2 R' F' U
F' L2 R' F2 L' U R2
F' L2 U' R D' L2 F2
F' L2 U' R D' F2 L2
F' L2 U2 R' F2 U R2
B2 L2 D' B' L' F U'
F' L2 D2 B2 L U' R
B' L2 F' B' L U' R
B' L2 B' L F' U' R
B2 L2 B' L' F' U' R
B2 L2 B' D' L' F U'
B' L2 B' F' L U' R
D' L2 B2 L F B U'
D' L2 B2 L B F U'
F' R U' R2 F2 L' U
U2 R F R2 U' L' U2
U2 R F U D' F2 R
U2 R F D' U F2 R
U2 R F' R2 F2 U R'
U' R F' D' L2 R F2
U' R F' D' R L2 F2
U' R F' D' R F2 L2
F' R' L F2 L' U R2
F' R' L' F2 L' U R2
F R' L' U2 R U' R'
L' U' F' L' R D' F2
L' U' F' R L' D' F2
L' U' F' R D' L' F2
F' R' L2 F2 L' U R2
F R' U' L' U' R U'
F R' U2 R U L' U2
F R' U2 R F2 U' R
U2 R' D2 F B U R'
U2 R' D2 B F U R'
U2 R' F U F2 R F2
U2 R' F U' L' U2 D
U2 R' F U' L' U2 D'
U2 R' F U' L' U2 D2
U2 R' F U' L' D U2
U2 R' F U' L' D' U2
U2 R' F U' L' D2 U2
U2 R' F U' D L' U2
U2 R' F U' D' L' U2
U2 R' F U' D2 L' U2
U2 R' F U2 F2 U' R
U2 R' F D U' L' U2
U2 R' F D' U' L' U2
U2 R' F D2 U' L' U2
U2 R' F B U' L' U2
U2 R' F B' U' L' U2
U2 R' F B2 U' L' U2
U R' F U' L' F' U2
U2 R' F' U R D' L2
U2 R' F' U D' L2 R
U2 R' F' U D' R L2
U2 R' F' D' U L2 R
U2 R' F' D' U R L2
F' R' F2 L' U R2 D
F' R' F2 L' U R2 D'
F' R' F2 L' U R2 D2
F' R' F2 L' D B2 U
F' R' F2 L' B U R2
F' R' F2 L' B' U R2
F' R' F2 L' B2 U R2
F' R' F2 D L' B2 U
F' R' F2 D B2 L' U
D R' F2 L' F' B U
D R' F2 L' B F' U
F' R' F2 B L' U R2
F' R' F2 B' L' U R2
F' R' F2 B2 L' U R2
L' U2 R' F' U R D
L' U2 R' F' U R D'
L' U2 R' F' U R D2
L' U2 R' F' U D R
L' U2 R' F' U D' R
L' U2 R' F' U D2 R
L' U2 R' F' D U R
L' U2 R' F' D' U R
L' U2 R' F' D2 U R
L' U2 R' F' B U R
L' U2 R' F' B' U R
L' U2 R' F' B2 U R
L' U2 R' B F' U R
L' U2 R' B' F' U R
D R' F2 B L' F' U
L' U2 R' B2 F' U R
F' R' B F2 L' U R2
U2 R' B F U' L' U2
D R' B F2 L' F' U
L' U2 D R' F' B U
L' U2 D R' B F' U
F' R' B' F2 L' U R2
U2 R' B' F U' L' U2
F' R' B2 F2 L' U R2
U2 R' B2 F U' L' U2
L' U2 F' R' F' U R2
L' D U2 R' F' B U
L' D U2 R' B F' U
F U L' U R' U L
U' D R' F B U B'
U' D R' B F U B'
U2 D R' D F B U
U2 D R' D B F U
U2 D R' D' F B U
U2 D R' D' B F U
U2 D R' D2 F B U
U2 D R' D2 B F U
U2 D R' F D B U
U2 D R' F D' B U
U2 D R' F D2 B U
U2 D R' F B U D
U2 D R' F B U D'
U2 D R' F B U D2
U2 D R' F B D U
U2 D R' F B D' U
U2 D R' F B D2 U
U2 D R' B D F U
U2 D R' B D' F U
U2 D R' B D2 F U
U2 D R' B F U D
U2 D R' B F U D'
U2 D R' B F U D2
U2 D R' B F D U
U2 D R' B F D' U
U2 D R' B F D2 U
U' D F R' B U B'
U2 D F R' D B U
U2 D F R' D' B U
U2 D F R' D2 B U
U2 D F R' B U D
U2 D F R' B U D'
U2 D F R' B U D2
U2 D F R' B D U
U2 D F R' B D' U
U2 D F R' B D2 U
U2 D F' R' F2 B U
U2 D F' R' B F2 U
F' U' L R D' L2 F2
F' U' L R D' F2 L2
F' U' L' R D' L2 F2
F' U' L' R D' F2 L2
F' U' L2 R D' L2 F2
F' U' L2 R D' F2 L2
F' U' R L D' L2 F2
F' U' R L D' F2 L2
D U' R' F B U B'
F' U' R L' D' L2 F2
F' U' R L' D' F2 L2
F' U' R L2 D' L2 F2
F' U' R L2 D' F2 L2
D U' R' B F U B'
F' U' R U' R2 F2 U
F' U' R U' F2 R2 U
F' U' R D' L F2 L
F' U' R D' L2 F2 D
F' U' R D' L2 F2 D'
F' U' R D' L2 F2 D2
F' U' R D' F' L2 F'
F' U' R D' F2 L2 D
F' U' R D' F2 L2 D'
F' U' R D' F2 L2 D2
U2 D' F D2 R' B U
D U' F R' B U B'
F' U' D R D' F2 L'
F' U' D' L2 R D' F2
F' U' D' R L2 D' F2
B' U' F' D' L2 R F'
B' U' F' D' R L2 F'
B' U' F' D' R F' L2
D2 U2 R' F B U R'
D2 U2 R' B F U R'
U2 D2 R' F B U R'
U2 D2 R' B F U R'
D U2 R' D F B U
D U2 R' D B F U
D U2 R' D' F B U
D U2 R' D' B F U
D U2 R' D2 F B U
D U2 R' D2 B F U
D U2 R' F D B U
D U2 R' F D' B U
D U2 R' F D2 B U
D U2 R' F B U D
D U2 R' F B U D'
D U2 R' F B U D2
D U2 R' F B D U
D U2 R' F B D' U
D U2 R' F B D2 U
D U2 R' B D F U
D U2 R' B D' F U
D U2 R' B D2 F U
D U2 R' B F U D
D U2 R' B F U D'
D U2 R' B F U D2
D U2 R' B F D U
D U2 R' B F D' U
D U2 R' B F D2 U
D2 U2 F R' B U R'
D' U2 F D2 R' B U
D2 U2 F D' R' B U
D2 U2 F B U R' F'
U2 D2 F R' B U R'
U2 D2 F D' R' B U
D U2 F R' D B U
D U2 F R' D' B U
D U2 F R' D2 B U
U2 D2 F B U R' F'
D U2 F R' B U D
D U2 F R' B U D'
D U2 F R' B U D2
D U2 F R' B D U
D U2 F R' B D' U
D U2 F R' B D2 U
D U2 F' R' F2 B U
D U2 F' R' B F2 U
F' U2 R F2 R2 U R2
F' U2 R' U R2 D' L2
D2 U2 B F U R' F'
F' U2 R' F2 U R2 D
F' U2 R' F2 U R2 D'
F' U2 R' F2 U R2 D2
F' U2 R' F2 D B2 U
F' U2 R' F2 B U R2
F' U2 R' F2 B' U R2
F' U2 R' F2 B2 U R2
F' U2 R' B F2 U R2
F' U2 R' B' F2 U R2
F' U2 R' B2 F2 U R2
U2 D2 B F U R' F'
F U2 R' U' L' U2 L
F' U2 D' R' U L2 R2
F' U2 D' R' U R2 L2
B U2 F R U' L' U2
F2 U2 F' R' B' U R'
U2 F R U D' F2 R
F' U2 F2 R' U' L' U2
U2 F R D' U F2 R
U2 F R' U F2 R F2
U2 F R' U' L' U2 D
U2 F R' U' L' U2 D'
U2 F R' U' L' U2 D2
U2 F R' U' L' D U2
U2 F R' U' L' D' U2
U2 F R' U' L' D2 U2
U2 F R' U' D L' U2
U2 F R' U' D' L' U2
U2 F R' U' D2 L' U2
U2 F R' U2 F2 U' R
U2 F R' D U' L' U2
U2 F R' D' U' L' U2
U2 F R' D2 U' L' U2
U2 F R' B U' L' U2
U2 F R' B' U' L' U2
U2 F R' B2 U' L' U2
D F R' B U2 R U'
U2 F U R D' F2 R
R' F U' D' L' F U2
U2 F U F2 R D' F2
U2 F U' L' U R' U
R' F U2 F2 U' R B
U2 F D R' U' L' U2
R' F D' U' L' F U2
U2 F D' R' U' L' U2
U2 F D2 R' U' L' U2
U2 F B U' L' B' U2
U' F' L R D' L2 F2
U' F' L R D' F2 L2
F' D U' R D' F2 L'
U' F' L' R D' L2 F2
U' F' L' R D' F2 L2
U' F' L2 R D' L2 F2
U' F' L2 R D' F2 L2
U' F' R L D' L2 F2
U' F' R L D' F2 L2
U' F' R L' D' L2 F2
U' F' R L' D' F2 L2
U' F' R L2 D' L2 F2
U' F' R L2 D' F2 L2
U' F' R U' R2 F2 U
U' F' R U' F2 R2 U
U' F' R D' L F2 L
U' F' R D' L2 F2 D
U' F' R D' L2 F2 D'
U' F' R D' L2 F2 D2
U' F' R D' F' L2 F'
U' F' R D' F2 L2 D
U' F' R D' F2 L2 D'
U' F' R D' F2 L2 D2
U2 F' R F2 R2 U R2
U2 F' R' U R2 D' L2
U F' R D' L2 F2 B'
U F' R D' L2 B' F2
U2 F' R' F2 U R2 D
U2 F' R' F2 U R2 D'
U2 F' R' F2 U R2 D2
U2 F' R' F2 D B2 U
U2 F' R' F2 B U R2
U2 F' R' F2 B' U R2
U2 F' R' F2 B2 U R2
U2 F' R' B F2 U R2
U2 F' R' B' F2 U R2
U2 F' R' B2 F2 U R2
D F' R' F2 L' B U
D F' R' F2 B L' U
D F' R' B F2 L' U
U F' R' F2 U R2 B
U2 F' U R D' L2 F2
U2 F' U R D' F2 L2
U' F' U' R' F2 U R2
R F' R2 F2 L' U R'
L' F' U2 R' F' U R2
U' F' D R D' F2 L'
D F' U2 R' F2 B U
D F' U2 R' B F2 U
U' F' D' L2 R D' F2
U' F' D' R L2 D' F2
D F' U2 F2 R' B U
U2 F' D' R' U L2 R2
U2 F' D' R' U R2 L2
L2 F' B' U' D' R F'
L2 F' B' D' U' R F'
L2 F' B2 L B U' R
F' D' U' L2 R D' F2
F' D' U' R L2 D' F2
F' D' U2 R' U L2 R2
F' D' U2 R' U R2 L2
L F' B2 L B' U' R
R' F2 L' F' U' L' U2
F' D' B2 L U' L R
F' D' B2 L U' R L
F' D2 L B2 L U' R
F' D2 L' B2 L U' R
D F2 U2 F' R' B U
F' D2 L2 B2 L U' R
F' D2 B2 L U' R D
F' D2 B2 L U' R D'
F' D2 B2 L U' R D2
F' D2 B2 L U' D R
F' D2 B2 L U' D' R
F' D2 B2 L U' D2 R
F' D2 B2 L D U' R
F' D2 B2 L D' U' R
F' D2 B2 L D2 U' R
F' D2 B2 D L U' R
F' D2 B2 D' L U' R
F' D2 B2 D2 L U' R
B2 F L U L2 U2 L2
D2 B U2 F R U R2
U2 B F U' L' B' U2
B F U L' U2 L F
F B U L' U2 L F
B F U' L' B' U2 B
F B U' L' B' U2 B
D' B' L2 B' L F U'
B2 F' L U' R D' L2
B2 F' L U' D' L2 R
B2 F' L U' D' R L2
B2 F' L D' U' L2 R
B2 F' L D' U' R L2
B2 F' L D2 B2 U' R
L2 B' U' F' D' R F'
B' F' U' D' L2 R F'
B' F' U' D' R L2 F'
B' F' U' D' R F' L2
F' B' U' D' L2 R F'
F' B' U' D' R L2 F'
F' B' U' D' R F' L2
L2 B' F' U' D' R F'
L2 B' F' D' U' R F'
B' F' D' U' L2 R F'
B' F' D' U' R L2 F'
B' F' D' U' R F' L2
B2 F' D' L U' L R
B2 F' D' L U' R L
F' B' D' U' L2 R F'
F' B' D' U' R L2 F'
F' B' D' U' R F' L2
L2 B2 L D2 B U' R'
L2 B2 L F' B U' R
L2 B2 L B F' U' R
B2 F' D2 L B2 U' R
D2 B2 L2 B' L' U' R'
L B2 L F' B' U' R
F' B2 L U' R D' L2
F' B2 L U' D' L2 R
F' B2 L U' D' R L2
L B2 L B' F' U' R
F' B2 L D' U' L2 R
F' B2 L D' U' R L2
F' B2 L D2 B2 U' R
F B2 L U L2 U2 L2
L2 B2 D2 L B U' R'
F' B2 D' L U' L R
F' B2 D' L U' R L
L2 B2 F' L B U' R
F' B2 D2 L B2 U' R
L B2 F' L B' U' R
