R B U L U R'
B' L R U' R2 U' F'
B' L R D B U2 B
B' L R D' F2 B U2
B' L R D' B F2 U2
B' L R B U' R2 U'
B' L R B U2 D B2
B' L R B D U2 B2
B' L R B D' F2 U2
L' R B U L U R'
L R B U L U R'
L2 R B U L U R'
R L B U L U R'
R L' B U L U R'
R L2 B U L U R'
R2 U R' F' B U2 R'
R2 U R' B F' U2 R'
R' U R2 B U2 R' B
B' R L U' R2 U' F'
R' U D2 L2 F' R B
B' R L D B U2 B
B' R L D' F2 B U2
B' R L D' B F2 U2
R' U D2 F' L2 R B
R' U D2 F' R L2 B
R' U D2 F' R B L2
B' R L B U' R2 U'
B' R L B U2 D B2
B' R L B D U2 B2
B' R L B D' F2 U2
B R U L U R2 F'
B' R D L B U2 B
B' R D B U2 B R'
B2 R D B L U2 B'
B' R D' L F2 B U2
B' R D' L B F2 U2
B' R D' F2 L B U2
B2 R B L U' R' U'
D R B U L B' U
B' R' U L R2 B U2
B' R' U R2 L B U2
B' R' D B2 U' F' R'
R D B U L B' U
R' D2 U L2 F' R B
R' D2 U F' L2 R B
R' D2 U F' R L2 B
R' D2 U F' R B L2
B2 D R B L U2 B'
R F B U L U R'
B2 D' R F' B L U2
B2 D' R B L F' U2
B2 D' R B F' L U2
R F' B U L U R'
R F2 B U L U R'
R B L' U L2 U R'
R B L' U2 R' D' B2
R B L' U2 D' R' B2
R B L' D F2 U2 R'
R B L' D' U2 R' B2
R B L2 U L' U R'
R B U L U R' D
R B U L U R' D'
R B U L U R' D2
R B U L U D R'
R B U L U D' R'
R B U L U D2 R'
R B U L D U R'
R B U L D' U R'
R B U L D2 U R'
R B U D L U R'
R B U D' L U R'
R B U D2 L U R'
F2 B L' R' D' F' B2
F2 B L' R' D' B2 F'
F2 B L' R' F' D' B2
F2 B L' D' R' F' B2
F2 B L' D' R' B2 F'
R B U2 R' U' L U
R B D U L U R'
F2 B R' L' D' F' B2
F2 B R' L' D' B2 F'
F2 B R' L' F' D' B2
F' B R' F' L' D' B2
R B D' U L U R'
R B D2 U L U R'
R B F U L U R'
R B F' U L U R'
R B F2 U L U R'
R B' L B2 U L U
B F' R' F' L' D' B2
B F2 L' R' D' F' B2
B F2 L' R' D' B2 F'
B F2 L' R' F' D' B2
B F2 L' D' R' F' B2
B F2 L' D' R' B2 F'
B F2 R' L' D' F' B2
B F2 R' L' D' B2 F'
B F2 R' L' F' D' B2
R B2 D' B' U2 R' B
