U' L D2 F' R F2
U' L F B R' B'
U' L F2 D2 F' R
U' L B R' F B'
U' L B R' B' F
U' L B F R' B'
D2 U' L F' R F2
D2 U' F' L R F
D2 U' F' R L F
D2 U' F2 L F R
U' D2 L F' R F2
U' D2 F' L R F
U' D2 F' R L F
U' D2 F2 L F R
D2 F' U' L R F
D2 F' U' R L F
L' B L U' L R'
L' B L U' R' L
L2 B L U' L2 R'
L2 B L U' R' L2
L B L U' L' R'
L B L U' R' L'
U' B R' B' L F
U' L R D2 F' R F2
U' L R F B R' B'
U' L R F2 D2 F' R
U' L R B R' F B'
U' L R B R' B' F
U' L R B F R' B'
U' L R' D2 F' R F2
U' L R' F B R' B'
U' L R' F2 D2 F' R
U' L R' B R' F B'
U' L R' B R' B' F
U' L R' B F R' B'
U' L R2 D2 F' R F2
U' L R2 F B R' B'
U' L R2 F2 D2 F' R
U' L R2 B R' F B'
U' L R2 B R' B' F
U' L R2 B F R' B'
B L U' R' B' L B
U' L U' B U R' F
U' L U' B U F R'
B L U' B' L B R'
U' L U2 L2 B' L U2
U' L U2 B U2 R' F
U' L U2 B U2 F R'
U' L U2 B2 U2 F R
U' L D F2 D F' R
U' L D' R F D R2
U' L D' F2 D' F' R
U' L D2 R F' R F2
U' L D2 R' F' R F2
U' L D2 R2 F' R F2
U' L D2 F U2 L' U2
U' L D2 F' R F2 D
U' L D2 F' R F2 D'
U' L D2 F' R F2 D2
U' L D2 F' R' F2 R2
U' L D2 F' R2 F2 R'
B L D2 F U' L' R'
B L D2 F U' R' L'
U' L F R B R' B'
U' L F R' B R' B'
U' L F R2 B R' B'
U' L F U' B U R'
U' L F D2 F' R F
U' L F B R B' R2
U' L F B R' D B'
U' L F B R' D' B'
U' L F B R' D2 B'
U' L F B R' B' D
U' L F B R' B' D'
U' L F B R' B' D2
U' L F B R2 B' R
U' L F B D R' B'
U' L F B D' R' B'
U' L F B D2 R' B'
U' L F' B R' F2 B'
U' L F' B R' B' F2
U' L F2 D2 F' R D
U' L F2 D2 F' R D'
U' L F2 D2 F' R D2
U' L F2 D2 F' D R
U' L F2 D2 F' D' R
U' L F2 D2 F' D2 R
F' L B L U' L' R'
F' L B L U' R' L'
F2 L B L U' L' R'
F2 L B L U' R' L'
F L B L U' L' R'
F L B L U' R' L'
U' L B R F R2 B'
U' L B R F B' R2
U' L B R B' R2 F
U' L B R B' F R2
U' L B R' D F B'
U' L B R' D B' F
U' L B R' D' F B'
U' L B R' D' B' F
U' L B R' D2 F B'
U' L B R' D2 B' F
U' L B R' F D B'
U' L B R' F D' B'
U' L B R' F D2 B'
U' L B R' F B' D
U' L B R' F B' D'
U' L B R' F B' D2
U' L B R' B' D F
U' L B R' B' D' F
U' L B R' B' D2 F
U' L B R' B' F D
U' L B R' B' F D'
U' L B R' B' F D2
U' L B R2 B' R F
U' L B D R' F B'
U' L B D R' B' F
U' L B D F R' B'
U' L B D' R' F B'
U' L B D' R' B' F
U' L B D' F R' B'
U' L B D2 R' F B'
U' L B D2 R' B' F
U' L B D2 F R' B'
U' L B F R B' R2
U' L B F R' D B'
U' L B F R' D' B'
U' L B F R' D2 B'
U' L B F R' B' D
U' L B F R' B' D'
U' L B F R' B' D2
U' L B F R2 B' R
U' L B F D R' B'
U' L B F D' R' B'
U' L B F D2 R' B'
U' L B F' R' F2 B'
U' L B F' R' B' F2
U L' R B U2 L2 R'
U L' R B U2 R' L2
U' L' U2 B' L U2 L
D L' F L U' L F
D L' F U' L F L
D L' F B L U' L
F' L' B L U' L R'
F' L' B L U' R' L
F2 L' B L U' L R'
F2 L' B L U' R' L
U' L' B R' B' L2 F
F L' B L U' L R'
F L' B L U' R' L
U L' B R' F' L2 B'
U' L' B' L U2 L B
D L' B F L U' L
U L' B' L U2 L F
U L2 R B U2 L' R'
U L2 R B U2 R' L'
D L2 U' L F L2 R
D L2 U' L F R L2
U' L2 D2 L' R F' R
U' L2 D2 L' F' R F'
U' L2 D2 R L' F' R
L' U R B U2 L2 R'
L' U R B U2 R' L2
L2 U R B U2 L' R'
L2 U R B U2 R' L'
F' L2 B L U' L2 R'
F' L2 B L U' R' L2
F2 L2 B L U' L2 R'
F2 L2 B L U' R' L2
U' L2 B R' B' L' F
D L2 B L F U' L2
F L2 B L U' L2 R'
F L2 B L U' R' L2
U' R L D2 F' R F2
U' R L F B R' B'
U' R L F2 D2 F' R
U' R L B R' F B'
U' R L B R' B' F
U' R L B F R' B'
U R L' B U2 L2 R'
U R L' B U2 R' L2
U R L2 B U2 L' R'
U R L2 B U2 R' L'
L' U B R' F' L2 B'
L' U B' L U2 L F
U' R D2 L F' R F2
U' R D2 F' L R F
U' R D2 F' R L F
U' R D2 F2 L F R
L2 U' L' U2 B' L U2
L' U' L2 D2 R F' R
L' U' L2 D2 F' R F'
D' R F' R' U' L F
U' R B R' B' L F
U R B2 R' B' U2 R'
U' R' L D2 F' R F2
U' R' L F B R' B'
U' R' L F2 D2 F' R
U' R' L B R' F B'
U' R' L B R' B' F
U' R' L B F R' B'
U R' U2 L D2 F' R
U R' U2 D2 L F' R
