F' L2 R U R2 U
F' L2 R U2 D' F2
F' L2 R D B2 U2
F' L2 R D' U2 F2
F' R L2 U R2 U
F' R L2 U2 D' F2
F' R L2 D B2 U2
F' R L2 D' U2 F2
L2 F' R U R2 U
L2 F' R U2 D' F2
L2 F' R D B2 U2
L2 F' R D' U2 F2
F' L R D L B2 U2
F' L R D B2 U2 R'
F' L R D' L U2 F2
B2 L U L F' R U2
B2 L U F' L R U2
B2 L U F' R L U2
F' L' R U2 D' F2 R
F' L' R D L' B2 U2
F' L' R D B2 L' U2
F' L' R D' L' U2 F2
F' L' R D' U2 F2 R
F' L2 R U R2 U D
F' L2 R U R2 U D'
F' L2 R U R2 U D2
F' L2 R U R2 D U
F' L2 R U R2 D' U
F' L2 R U R2 D2 U
F' L2 R U' D2 L2 U'
F' L2 R U2 D' F2 D
F' L2 R U2 D' F2 D'
F' L2 R U2 D' F2 D2
F' L2 R U2 F D' F2
F' L2 R U2 F' D' F2
F' L2 R U2 F2 D' F2
F' L2 R D B2 U2 D
F' L2 R D B2 U2 D'
F' L2 R D B2 U2 D2
F' L2 R D B2 D U2
F' L2 R D B2 D' U2
F' L2 R D B2 D2 U2
F' L2 R D' U2 F2 D
F' L2 R D' U2 F2 D'
F' L2 R D' U2 F2 D2
F' L2 R D' B U2 F2
F' L2 R D' B' U2 F2
F' L2 R D' B2 U2 F2
F' L2 R D2 U' L2 U'
F' L2 R B U R2 U
F' L2 R B U2 D' F2
F' L2 R B D B2 U2
F' L2 R B D' U2 F2
F' L2 R B' U R2 U
F' L2 R B' U2 D' F2
F' L2 R B' D B2 U2
F' L2 R B' D' U2 F2
F' L2 R B2 U R2 U
F' L2 R B2 U2 D' F2
F' L2 R B2 D B2 U2
F' L2 R B2 D' U2 F2
F' L2 U R' U D2 L2
F' L2 U R' U' R2 U2
F' L2 U R' D' F2 U
F' L2 U R' D2 U L2
F' L2 U F2 R' U L'
F' L2 D R U R2 U
F' L2 D R U2 D' F2
F' L2 D R D B2 U2
F' L2 D R D' U2 F2
F' L2 D' R U R2 U
F' L2 D' R U2 D' F2
F' L2 D' R D B2 U2
F' L2 D' R D' U2 F2
F' L2 D2 R U R2 U
F' L2 D2 R U2 D' F2
F' L2 D2 R D B2 U2
F' L2 D2 R D' U2 F2
U' L2 F' R U R2 U
U' L2 F' R U2 D' F2
U' L2 F' R D B2 U2
U' L2 F' R D' U2 F2
U2 L2 F' R U R2 U
U2 L2 F' R U2 D' F2
U2 L2 F' R D B2 U2
U2 L2 F' R D' U2 F2
B' L2 F' D' R U2 F'
B2 L2 F' D R U2 F'
U L2 F' R U R2 U
U L2 F' R U2 D' F2
U L2 F' R D B2 U2
U L2 F' R D' U2 F2
F L2 F2 U R' U L
F' L2 B' D' R U2 F'
F' L2 B2 R U' L U'
R' U D2 L R2 B' L
R' U D2 L B' L R2
R' U D2 L B' R2 L
F' R L D L B2 U2
F' R L D B2 U2 R'
F' R L D' L U2 F2
R' U D2 R2 L B' L
R' U D2 R2 B' L B'
R' U D2 B' L R2 B'
R' U D2 B' L B' R2
R' U D2 B' R2 L B'
F' R L' U2 D' F2 R
F' R L' D L' B2 U2
F' R L' D B2 L' U2
F' R L' D' L' U2 F2
F' R L' D' U2 F2 R
F' R L2 U R2 U D
F' R L2 U R2 U D'
F' R L2 U R2 U D2
F' R L2 U R2 D U
F' R L2 U R2 D' U
F' R L2 U R2 D2 U
F' R L2 U' D2 L2 U'
F' R L2 U2 D' F2 D
F' R L2 U2 D' F2 D'
F' R L2 U2 D' F2 D2
F' R L2 U2 F D' F2
F' R L2 U2 F' D' F2
F' R L2 U2 F2 D' F2
F' R L2 D B2 U2 D
F' R L2 D B2 U2 D'
F' R L2 D B2 U2 D2
F' R L2 D B2 D U2
F' R L2 D B2 D' U2
F' R L2 D B2 D2 U2
F' R L2 D' U2 F2 D
F' R L2 D' U2 F2 D'
F' R L2 D' U2 F2 D2
F' R L2 D' B U2 F2
F' R L2 D' B' U2 F2
F' R L2 D' B2 U2 F2
F' R L2 D2 U' L2 U'
F' R L2 B U R2 U
F' R L2 B U2 D' F2
F' R L2 B D B2 U2
F' R L2 B D' U2 F2
F' R L2 B' U R2 U
F' R L2 B' U2 D' F2
F' R L2 B' D B2 U2
F' R L2 B' D' U2 F2
F' R L2 B2 U R2 U
F' R L2 B2 U2 D' F2
F' R L2 B2 D B2 U2
F' R L2 B2 D' U2 F2
F' R U R2 U D2 R2
F' R U R2 U' L2 U2
F' R U R2 D' B2 U
F' R U R2 D2 U R2
F' R U D' B2 U F2
F' R U' D2 L2 U' R2
F' R U2 D' F2 D' R2
F' R U2 D2 R2 D F2
F' R D B2 U' F2 U'
F' R D B2 U2 D R2
F' R D B2 D U2 R2
F' R D B2 D' L2 U2
F' R D' U B2 U F2
F' R D' U2 F2 D' R2
F' R D2 U' L2 U' R2
F' R D2 U2 R2 D F2
R' U' L2 R F' R U2
R' U' L2 F' R F' U2
R' U' R L2 F' R U2
R' U' R F' L2 R U2
R' U' R F' R L2 U2
F' R B L2 U R2 U
F' R B L2 U2 D' F2
F' R B L2 D B2 U2
F' R B L2 D' U2 F2
F' R B' L2 U R2 U
F' R B' L2 U2 D' F2
F' R B' L2 D B2 U2
F' R B' L2 D' U2 F2
F' R B2 L2 U R2 U
F' R B2 L2 U2 D' F2
F' R B2 L2 D B2 U2
F' R B2 L2 D' U2 F2
R' U' F' L2 R F' U2
R' U' F' R L2 F' U2
R' U' F' R F' L2 U2
D2 R' U R' B' L B2
F R' U D2 L' R2 B2
F R' U D2 L' B2 R2
F R' U D2 R2 L' B2
F R' U D2 R2 B2 L'
F R' U D2 B2 L' R2
F R' U D2 B2 R2 L'
F R' U' L2 F2 U2 L
F R' U' F2 L2 R U2
F R' U' F2 R L2 U2
F R' D' B2 L2 U L
F R' D2 U L' R2 B2
F R' D2 U L' B2 R2
F R' D2 U R2 L' B2
F R' D2 U R2 B2 L'
F R' D2 U B2 L' R2
F R' D2 U B2 R2 L'
D R2 F2 L' U' B L
B U L2 F' R B U2
F' U R' U D2 L2 R2
F' U R' U D2 R2 L2
F' U R' U' L2 R2 U2
F' U R' U' R2 L2 U2
F' U R' D' F2 B2 U
F' U R' D' B2 F2 U
F' U R' D2 U L2 R2
F' U R' D2 U R2 L2
R' D' L' F L' B2 U
R' D' L' F B2 L' U
R' D' L' B2 F L' U
B U F' L2 R B U2
B U F' R L2 B U2
B U F' R B L2 U2
R' D' F L' F B2 U
R' D' F L' B2 F U
R' D' F B2 L' F U
R' D' B2 L' F L' U
R' D' B2 F L' F U
R' D2 L U R2 B' L
R' D2 L U B' L R2
R' D2 L U B' R2 L
R' D2 U L R2 B' L
R' D2 U L B' L R2
R' D2 U L B' R2 L
R' D2 U R2 L B' L
R' D2 U R2 B' L B'
R' D2 U B' L R2 B'
R' D2 U B' L B' R2
R' D2 U B' R2 L B'
R' D2 B' U L R2 B'
R' D2 B' U L B' R2
R' D2 B' U R2 L B'
R F L' D' F2 R B
F' D R D B2 U2 R2
F' D R D' L2 U2 F2
U' F' L2 R U R2 U
U' F' L2 R U2 D' F2
U' F' L2 R D B2 U2
U' F' L2 R D' U2 F2
L F' L R U R2 U
L F' L R U2 D' F2
L F' L R D B2 U2
L F' L R D' U2 F2
U2 F' L2 R U R2 U
U2 F' L2 R U2 D' F2
U2 F' L2 R D B2 U2
U2 F' L2 R D' U2 F2
U' F' R L2 U R2 U
U' F' R L2 U2 D' F2
U' F' R L2 D B2 U2
U' F' R L2 D' U2 F2
U F' L2 R U R2 U
U F' L2 R U2 D' F2
U F' L2 R D B2 U2
U F' L2 R D' U2 F2
U2 F' R L2 U R2 U
U2 F' R L2 U2 D' F2
U2 F' R L2 D B2 U2
U2 F' R L2 D' U2 F2
L2 F' R U R2 U D
L2 F' R U R2 U D'
L2 F' R U R2 U D2
L2 F' R U R2 D U
L2 F' R U R2 D' U
L2 F' R U R2 D2 U
L2 F' R U' D2 L2 U'
L2 F' R U2 D' F2 D
L2 F' R U2 D' F2 D'
L2 F' R U2 D' F2 D2
L2 F' R U2 F D' F2
L2 F' R U2 F' D' F2
L2 F' R U2 F2 D' F2
L2 F' R D B2 U2 D
L2 F' R D B2 U2 D'
L2 F' R D B2 U2 D2
L2 F' R D B2 D U2
L2 F' R D B2 D' U2
L2 F' R D B2 D2 U2
L2 F' R D' U2 F2 D
L2 F' R D' U2 F2 D'
L2 F' R D' U2 F2 D2
L2 F' R D' B U2 F2
L2 F' R D' B' U2 F2
L2 F' R D' B2 U2 F2
L2 F' R D2 U' L2 U'
L2 F' R B U R2 U
L2 F' R B U2 D' F2
L2 F' R B D B2 U2
L2 F' R B D' U2 F2
L2 F' R B' U R2 U
L2 F' R B' U2 D' F2
L2 F' R B' D B2 U2
L2 F' R B' D' U2 F2
L2 F' R B2 U R2 U
L2 F' R B2 U2 D' F2
L2 F' R B2 D B2 U2
L2 F' R B2 D' U2 F2
L F' R L U R2 U
L F' R L U2 D' F2
U F' R L2 U R2 U
L F' R L D B2 U2
L F' R L D' U2 F2
U F' R L2 U2 D' F2
U F' R L2 D B2 U2
U F' R L2 D' U2 F2
L F' R D L B2 U2
L F' R D B2 U2 R'
L F' R D' L U2 F2
R' F' U' L2 R F' U2
L2 F' U R' U D2 L2
L2 F' U R' U' R2 U2
L2 F' U R' D' F2 U
L2 F' U R' D2 U L2
R' F' U' R L2 F' U2
R' F' U' R F' L2 U2
L2 F' U F2 R' U L'
L2 F' D R U R2 U
L2 F' D R U2 D' F2
L2 F' D R D B2 U2
L2 F' D R D' U2 F2
F' D' R U R2 B2 U
F' D' R U B2 R2 U
L2 F' D' R U R2 U
L2 F' D' R U2 D' F2
L2 F' D' R D B2 U2
L2 F' D' R D' U2 F2
F' D' R U2 D' R2 F2
F' D' R U2 D' F2 R2
F' D' R D L2 B2 U2
F' D' R D B2 L2 U2
F' D' R D' U2 R2 F2
F' D' R D' U2 F2 R2
L2 F' D2 R U R2 U
L2 F' D2 R U2 D' F2
