B' L' F2 U' B
U B' L' F2 U'
B' L F2 L2 U' B
B' L' U' D B R2
B' L' U' B D R2
B' L' D U' B R2
B' L' F2 U' D B
B' L' F2 U' D' B
B' L' F2 U' D2 B
B' L' F2 U' B D
B' L' F2 U' B D'
B' L' F2 U' B D2
B' L' F2 D U' B
B' L' F2 D' U' B
B' L' F2 D2 U' B
B2 L' F2 B U' B
B2 L' B F2 U' B
B' L2 F2 L U' B
R' U B' L' F2 U'
R2 U B' L' F2 U'
R U B' L' F2 U'
D R2 U B' L' U'
D U B' L' U' R2
U D B' L' U' R2
B' D L' U' B R2
U F2 B' U2 R U
U B L' F2 B2 U'
U B L' B2 F2 U'
R' B' L' F2 U' B
R2 B' L' F2 U' B
D B' L' U' B R2
U B' L F2 L2 U'
U B' L' U' D R2
U B' L' D U' R2
U B' L' F2 U' D
U B' L' F2 U' D'
U B' L' F2 U' D2
U B' L' F2 D U'
U B' L' F2 D' U'
U B' L' F2 D2 U'
U B' L2 F2 L U'
R B' L' F2 U' B
U B' D L' U' R2
U B' F2 U2 R U
U B2 L' F2 B U'
U B2 L' B F2 U'
B' L R2 F2 L2 U' B'
B' L U' D F2 B R2
B' L U' D B R2 F2
B' L U' D B F2 R2
B' L U' B D R2 F2
B' L U' B D F2 R2
B' L D U' F2 B R2
B' L D U' B R2 F2
B' L D U' B F2 R2
B' L F' L2 F' U' B
B' L F2 L2 U' D B
B' L F2 L2 U' D' B
B' L F2 L2 U' D2 B
B' L F2 L2 U' B D
B' L F2 L2 U' B D'
B' L F2 L2 U' B D2
B' L F2 L2 D U' B
B' L F2 L2 D' U' B
B' L F2 L2 D2 U' B
B2 L F2 L2 B U' B
U L F2 L' B' L' U'
B' L F2 U' D F2 B
B' L F2 U' D B F2
B' L F2 U' B D F2
B' L F2 D U' F2 B
B' L F2 D U' B F2
B2 L F2 B L2 U' B
B2 L B L2 F2 U' B
B2 L B F2 L2 U' B
B' L' R F2 R' U' B
B' L' R' F2 R U' B
B' L' R2 U' D R2 B
B' L' R2 D U' R2 B
B' L' R2 F2 U F U2
B' L' U D' L2 U2 B
B' L' U' R2 D R2 B
B' L' U' D B R2 D
B' L' U' D B R2 D'
B' L' U' D B R2 D2
B' L' U' D B' R2 B2
B' L' U' D B2 R2 B'
B' L' U' D' B D2 R2
B' L' U' B R D R2
B' L' U' B R' D R2
B' L' U' B R2 D R2
B' L' U' B U F2 U'
B' L' U' B D R2 D
B' L' U' B D R2 D'
B' L' U' B D R2 D2
B' L' U' B2 D R2 B'
B' L' U' B2 D B' R2
B' L' U2 D2 B2 U B'
B' L' D U' B R2 D
B' L' D U' B R2 D'
B' L' D U' B R2 D2
B' L' D U' B' R2 B2
B' L' D U' B2 R2 B'
B' L' D F U' B R2
B' L' D F' U' B R2
B' L' D F2 U' B R2
U L' D F U' L' R2
U L' D F U' R2 L'
B' L' D' U L2 U2 B
B' L' D' U' B D2 R2
B' L' D2 U2 B2 U B'
B' L' F D F U' B
B' L' F D' F U' B
B' L' F D2 F U' B
U L' F D F U' L'
B' L' F' D F' U' B
B' L' F' D' F' U' B
B' L' F' D2 F' U' B
B' L' F2 R2 U F' U2
B' L' F2 U F U2 B
B' L' F2 U F' U2 B
B' L' F2 U F2 U2 B
B' L' F2 U' L B L'
B' L' F2 U' L2 B L2
B' L' F2 U' D B D
B' L' F2 U' D B D'
B' L' F2 U' D B D2
B' L' F2 U' D' B D
B' L' F2 U' D' B D'
B' L' F2 U' D' B D2
B' L' F2 U' D2 B D
B' L' F2 U' D2 B D'
B' L' F2 U' D2 B D2
U L' F2 L B' L' U'
B' L' F2 U' B2 D B'
B' L' F2 U' B2 D' B'
B' L' F2 U' B2 D2 B'
B' L' F2 U2 L U B
B' L' F2 U2 L' U B
B' L' F2 U2 L2 U B
B' L' F2 D U' B D
B' L' F2 D U' B D'
B' L' F2 D U' B D2
B' L' F2 D' U' B D
B' L' F2 D' U' B D'
B' L' F2 D' U' B D2
B' L' F2 D2 U' B D
B' L' F2 D2 U' B D'
B' L' F2 D2 U' B D2
B2 L' F2 D' B R2 U'
B2 L' F2 B U' D B
B2 L' F2 B U' D' B
B2 L' F2 B U' D2 B
B2 L' F2 B U' B D
B2 L' F2 B U' B D'
B2 L' F2 B U' B D2
B2 L' F2 B D U' B
B2 L' F2 B D' U' B
B2 L' F2 B D2 U' B
U L' F2 D' B' U' L
B2 L' B U' D B R2
B2 L' B U' B D R2
B2 L' B D U' B R2
B2 L' B F2 U' D B
B2 L' B F2 U' D' B
B2 L' B F2 U' D2 B
B2 L' B F2 U' B D
B2 L' B F2 U' B D'
B2 L' B F2 U' B D2
B2 L' B F2 D U' B
B2 L' B F2 D' U' B
B2 L' B F2 D2 U' B
F2 L2 U' R F U R'
D2 L2 U' F B2 R' U
D2 L2 U' B2 R' F U
D2 L2 U' B2 F R' U
B' L2 D L U' B R2
F L2 F R B' U B
D2 L2 F B2 R' U B2
B' L2 F' L F' U' B
L2 U L2 B' L' F2 U'
L U L2 F2 B U' L
L U L2 B F2 U' L
B' L2 F2 L U' D B
B' L2 F2 L U' D' B
B' L2 F2 L U' D2 B
B' L2 F2 L U' B D
B' L2 F2 L U' B D'
B' L2 F2 L U' B D2
B' L2 F2 L D U' B
B' L2 F2 L D' U' B
B' L2 F2 L D2 U' B
B2 L2 F2 L B U' B
B' L2 F2 D L U' B
B' L2 F2 D' L U' B
U L2 F2 L U2 F' U
B' L2 F2 D2 L U' B
R' U D B' L' U' R2
D2 L2 B2 R' F U B2
R2 U D B' L' U' R2
D2 L2 B2 F R' U B2
R U D B' L' U' R2
B' R L' F2 R' U' B
L2 U F2 L U2 F' U
D R U B' L' U' R
R' U F2 B' U2 R U
L U F2 L2 B U' L
R' U B L' F2 B2 U'
R' U B L' B2 F2 U'
R2 U F2 B' U2 R U
L U F2 B L2 U' L'
R2 U B L' F2 B2 U'
R2 U B L' B2 F2 U'
U2 R U' B' L' F2 U'
R U F2 B' U2 R U
R U B L' F2 B2 U'
R U B L' B2 F2 U'
R' U B' L F2 L2 U'
R' U B' L' U' D R2
R' U B' L' D U' R2
R' U B' L' F2 U' D
R' U B' L' F2 U' D'
R' U B' L' F2 U' D2
R' U B' L' F2 D U'
R' U B' L' F2 D' U'
R' U B' L' F2 D2 U'
R' U B' L2 F2 L U'
U' R U2 B' L' F2 U'
R' U B' D L' U' R2
R2 U B' L F2 L2 U'
R2 U B' L' U' D R2
R2 U B' L' D U' R2
R2 U B' L' F2 U' D
R2 U B' L' F2 U' D'
R2 U B' L' F2 U' D2
R2 U B' L' F2 D U'
R2 U B' L' F2 D' U'
R2 U B' L' F2 D2 U'
L U B F2 L2 U' L'
R2 U B' L2 F2 L U'
R U B' L F2 L2 U'
R U B' L' U' D R2
R U B' L' D U' R2
R' U B' F2 U2 R U
R U B' L' F2 U' D
R U B' L' F2 U' D'
R U B' L' F2 U' D2
R U B' L' F2 D U'
R U B' L' F2 D' U'
R U B' L' F2 D2 U'
R U B' L2 F2 L U'
R' U B2 L' F2 B U'
R' U B2 L' B F2 U'
R2 U B' D L' U' R2
R U B' D L' U' R2
R2 U B' F2 U2 R U
R2 U B2 L' F2 B U'
R2 U B2 L' B F2 U'
R U B' F2 U2 R U
R U B2 L' F2 B U'
R U B2 L' B F2 U'
D R B' L' U' B R
B R B2 L' F2 U' B
L2 U' D2 F B2 R' U
L2 U' D2 B2 R' F U
L2 U' D2 B2 F R' U
B' R' L' F2 R U' B
L2 U' F U2 F L U'
U2 R' U' B' L' F2 U'
U' R' U2 B' L' F2 U'
F2 R' D' B' U' F2 B
F2 R' D' B' U' B F2
F2 R' D2 B' L2 U' B
D R' B' L' U' B R'
F2 R' B' U' D' F2 B
F2 R' B' U' D' B F2
F2 R' B' U' B D' F2
F2 R' B' D' U' F2 B
F2 R' B' D' U' B F2
F2 R' B' D2 L2 U' B
U R' B' L' R F2 U'
U R' B' R L' F2 U'
B R' B2 L' F2 U' B
B' R2 L F2 L2 U' B'
B' R2 L' U' D R2 B
B' R2 L' D U' R2 B
B' R2 L' F2 U F U2
D R2 U D B' L' U'
D R2 U D' B' L' U'
D R2 U D2 B' L' U'
D R2 U B L' B2 U'
D R2 U B' L' U' D
D R2 U B' L' U' D'
D R2 U B' L' U' D2
D R2 U B' L' D U'
D R2 U B' L' D' U'
D R2 U B' L' D2 U'
D R2 U B' D L' U'
D R2 U B' D' L' U'
D R2 U B' D2 L' U'
D R2 U B2 L' B U'
U2 R2 U' B' L' F2 U'
U' R2 U2 B' L' F2 U'
B' R2 D L' U' R2 B
D R2 D U B' L' U'
D R2 D' U B' L' U'
D R2 D2 U B' L' U'
R' D R2 U B' L' U'
R2 D R2 U B' L' U'
R' D U B' L' U' R2
R D R2 U B' L' U'
U R2 B' L' R2 F2 U'
U R2 B' L' F2 R2 U'
F2 R2 B2 L B U' B
U R2 B' R2 L' F2 U'
R2 D U B' L' U' R2
B R2 B2 L' F2 U' B
R D U B' L' U' R2
B2 U L' F2 B U' B
B2 U L' B F2 U' B
R' D B' L' U' B R2
R2 D B' L' U' B R2
R D B' L' U' B R2
F' U D2 F' B' L U'
F' U D2 B' L F' U'
F' U D2 B' F' L U'
F' U F B' L' F2 U'
D' U B' L' U L' U2
D' U B' L' F2 U' R
D U B L' B2 U' R2
D2 U B' L2 F L U'
F' U F' B' U2 R U
U D B L' B2 U' R2
D' U B' D L' F2 U'
D' U B' D2 L' U' R2
F U F B' L U' F
D U B' L' U' R2 D
D U B' L' U' R2 D'
D U B' L' U' R2 D2
D U B' L' D' F2 U'
D U B' L' F U' R2
D U B' L' F' U' R2
D U B' L' F2 U' R2
U D B' L' U' R2 D
U D B' L' U' R2 D'
U D B' L' U' R2 D2
U D B' L' D' F2 U'
U D B' L' F U' R2
U D B' L' F' U' R2
U D B' L' F2 U' R2
D U B' D' L' F2 U'
B2 U B L' F2 U' B
U D B' D' L' F2 U'
D U B2 L' B U' R2
U D B2 L' B U' R2
F' U B' F L' F2 U'
F2 U B' U2 R U R'
F' U B' F' U2 R U
B U B2 L' F2 U' B
F U B' F L U' F
B' U' L' F2 U' L B
B2 U' L' F2 B U' B
B2 U' L' B F2 U' B
D2 U' B2 U2 L' B U'
U D' B' L' U L' U2
D2 U' B2 U2 B L' U'
U D' B' L' F2 U' R
U D' B' D L' F2 U'
U D' B' D2 L' U' R2
B2 U' B L' F2 U' B
B' U' B U L' F2 U'
B U' B2 L' F2 U' B
L2 D2 U' F B2 R' U
L2 D2 U' B2 R' F U
L2 D2 U' B2 F R' U
B2 U2 L' F2 B U' B
B2 U2 L' B F2 U' B
L2 D2 F B2 R' U B2
F2 U2 R U2 B' U' B
U' D2 B2 U2 L' B U'
U' D2 B2 U2 B L' U'
U D2 B' L2 F L U'
L2 D2 B2 R' F U B2
L2 D2 B2 F R' U B2
B2 U2 B L' F2 U' B
L2 F U F L U' L'
B U2 B2 L' F2 U' B
B' D L' U' B R2 D
B' D L' U' B R2 D'
B' D L' U' B R2 D2
B' D L' U' B' R2 B2
B' D L' U' B2 R2 B'
B' D L' D' F2 U' B
B' D L' F U' B R2
B' D L' F' U' B R2
B' D L' F2 U' B R2
B' D' L' U L' U2 B
B' D' L' F2 U' B R
U F' D2 F' B' L U'
U F' D2 B' L F' U'
U F' D2 B' F' L U'
L2 F2 L R2 B U' B'
L' F2 L B' L' U' B
L F2 L' B' L' U' B
U F2 L2 U2 R F U
L2 F2 R2 L B U' B'
B' D2 L' U' D' B R2
B' D2 L' U2 B2 U B'
B' D2 L' D' U' B R2
B' D2 L' D2 F2 U' B
U F2 U2 R U2 B' U'
L' F2 D' B' U' L B
L' F2 D2 R' B U' B'
U F2 D B' U2 R U
L' F2 B U' D' B' L
L' F2 B D' U' B' L
U F2 D' B' U2 R U
U F2 D2 B' U2 R U
F' D2 U F' B' L U'
F' D2 U B' L F' U'
F' D2 U B' F' L U'
U F2 B' L U2 R U
U F2 B' L' U2 R U
U F2 B' L2 U2 R U
U F2 B' U2 R U D
U F2 B' U2 R U D'
U F2 B' U2 R U D2
U F2 B' U2 R D U
U F2 B' U2 R D' U
U F2 B' U2 R D2 U
U F2 B' U2 D R U
U F2 B' U2 D' R U
U F2 B' U2 D2 R U
U F2 B' D U2 R U
U F2 B' D' U2 R U
U F2 B' D2 U2 R U
U' B L' F2 B2 R' U'
U' B L' B2 R' F2 U'
U' B L' B2 F2 R' U'
U B L F2 L2 B2 U'
U B L F2 B2 L2 U'
U B L B2 L2 F2 U'
U B L B2 F2 L2 U'
U B L' U' D L2 R2
U B L' U' D R2 L2
U B L' D U' L2 R2
U B L' D U' R2 L2
F' D2 F' B' L U' B
U B L' F2 U' D L2
U B L' F2 D U' L2
U B L' F2 B2 U' D
U B L' F2 B2 U' D'
U B L' F2 B2 U' D2
U B L' F2 B2 D U'
U B L' F2 B2 D' U'
U B L' F2 B2 D2 U'
U B L' B2 U' D R2
U B L' B2 D U' R2
U B L' B2 F2 U' D
U B L' B2 F2 U' D'
U B L' B2 F2 U' D2
U B L' B2 F2 D U'
U B L' B2 F2 D' U'
U B L' B2 F2 D2 U'
U B L2 F2 L B2 U'
B D2 F2 R B2 U B
F' D2 B' L F' U' B
F' D2 B' F' L U' B
U' B U2 L' F2 B2 U'
U' B U2 L' B2 F2 U'
U2 B U' L' F2 B2 U'
U2 B U' L' B2 F2 U'
U' B U2 B2 L' F2 U'
U2 B U' B2 L' F2 U'
U B D L' U' L' R2
U B D L' U' R2 L'
U' B D2 F2 R B2 U
U' B D2 F2 B2 R U
U' B D2 B2 F2 R U
F2 B R2 B2 L U' B
L' B F2 U' D' B' L
L' B F2 D' U' B' L
U' B' L F2 L2 R U'
U' B' L F2 R L2 U'
R' B' L F2 L2 U' B
R' B' L' U' D B R2
D' B' L' U L' U2 B
D2 B' L' U' D' B R'
R' B' L' U' B D R2
R' B' L' D U' B R2
U' B' L' F2 U2 L U
D2 B' L' D' U' B R'
R' B' L' F2 U' D B
R' B' L' F2 U' D' B
R' B' L' F2 U' D2 B
R' B' L' F2 U' B D
R' B' L' F2 U' B D'
R' B' L' F2 U' B D2
R' B' L' F2 D U' B
R' B' L' F2 D' U' B
R' B' L' F2 D2 U' B
D' B' L' F2 U' B R
R2 B' L F2 L2 U' B
U B' L U' D R2 F2
U B' L U' D F2 R2
D2 B' L2 F L U' B
U B' L D U' R2 F2
U B' L D U' F2 R2
