F2 L U R B' L'
F2 L U B' L' R
F2 L U B' R L'
U' L' F U F' U
U2 L' F U' L U'
L U D2 R2 B' L'
L U D2 B' L' R2
L U D2 B' R2 L'
L U B' D2 L' R2
L U B' D2 R2 L'
L U' L2 F U2 L
D2 R2 D' F2 R B
L D' B2 U L' B
L D' B2 U B L'
L D2 U R2 B' L'
L D2 U B' L' R2
L D2 U B' R2 L'
F2 L R B' D L' F
F2 L U R D B' L'
F2 L U R D' B' L'
F2 L U R D2 B' L'
F2 L U R B L' B2
F2 L U R B' L' D
F2 L U R B' L' D'
F2 L U R B' L' D2
F2 L U R B' D L'
F2 L U R B' D' L'
F2 L U R B' D2 L'
F2 L U R B2 L' B
F2 L U R' B' L' R2
F2 L U R' B' R2 L'
F2 L U D R B' L'
B' L U D2 R2 B' L'
B' L U D2 B' L' R2
B' L U D2 B' R2 L'
F2 L U D B' L' R
F2 L U D B' R L'
F2 L U D' R B' L'
B2 L U D2 R2 B' L'
F2 L U D' B' L' R
F2 L U D' B' R L'
B2 L U D2 B' L' R2
B2 L U D2 B' R2 L'
F2 L U D2 R B' L'
F2 L U D2 B' L' R
F2 L U D2 B' R L'
B L U D2 R2 B' L'
B L U D2 B' L' R2
B L U D2 B' R2 L'
B' L U B' D2 L' R2
B' L U B' D2 R2 L'
F2 L U B L' R B2
F2 L U B L' B2 R
F2 L U B R L' B2
F2 L U B R B2 L'
F2 L U B' L' R D
F2 L U B' L' R D'
F2 L U B' L' R D2
F2 L U B' L' D R
F2 L U B' L' D' R
F2 L U B' L' D2 R
B2 L U B' D2 L' R2
B2 L U B' D2 R2 L'
F2 L U B' R L' D
F2 L U B' R L' D'
F2 L U B' R L' D2
F2 L U B' R D L'
F2 L U B' R D' L'
F2 L U B' R D2 L'
F2 L U B' D L' R
F2 L U B' D R L'
F2 L U B' D' L' R
F2 L U B' D' R L'
F2 L U B' D2 L' R
F2 L U B' D2 R L'
F2 L U B2 L' B R
B L U B' D2 L' R2
B L U B' D2 R2 L'
B' L U' L2 F U2 L
B2 L U' L2 F U2 L
B L U' L2 F U2 L
F2 L D U R B' L'
F2 L D U B' L' R
F2 L D U B' R L'
L' R F U R' U L
U L D F2 U' F2 B'
U L D F2 U' B' F2
F2 L D' U R B' L'
F2 L D' U B' L' R
F2 L D' U B' R L'
B' L D' B2 U L' B
B' L D' B2 U B L'
B2 L D' B2 U L' B
B2 L D' B2 U B L'
B L D' B2 U L' B
B L D' B2 U B L'
B' L D2 U R2 B' L'
B' L D2 U B' L' R2
B' L D2 U B' R2 L'
F2 L D2 U R B' L'
F2 L D2 U B' L' R
F2 L D2 U B' R L'
B2 L D2 U R2 B' L'
B2 L D2 U B' L' R2
B2 L D2 U B' R2 L'
B L D2 U R2 B' L'
B L D2 U B' L' R2
B L D2 U B' R2 L'
R2 L B' L' D' F2 R
F2 L B U L' R B2
F2 L B U L' B2 R
F2 L B U R L' B2
F2 L B U R B2 L'
F2 L B U B2 L' R
F2 L B U B2 R L'
F2 L B2 U L' B R
F2 L B2 U B L' R
F2 L B2 U B R L'
U' L' R F U F' U
R2 L' D F B2 R' U2
U' L' R' F U F' U
R2 L' D B2 R' F U2
R2 L' D B2 F R' U2
U' L' R2 F U F' U
R2 L' D' F U2 F L
U' L' U L2 U B' L2
F2 L' U L2 R B' L'
F2 L' U L2 B' L' R
F2 L' U L2 B' R L'
F2 L' U R L2 B' L'
R2 L' F U R2 U L
F' L' U' F L' U2 L2
R L' F U R' U L
R2 L' F U2 L D' F2
R2 L' F U2 D' L F2
R2 L' F U2 D' F2 L
R2 L' F D B2 R' U2
R2 L' F D' U2 L F2
R2 L' F D' U2 F2 L
U' L' U2 B2 D L2 B'
U' L' D F U F' U
U2 L' D F U' L U'
U' L' D' F U F' U
U2 L' D' F U' L U'
U' L' D2 F U F' U
U2 L' D2 F U' L U'
U' L' F R2 U' B U'
U' L' F U D F' U
U' L' F U D' F' U
U' L' F U D2 F' U
U' L' F U F' U D
U' L' F U F' U D'
U' L' F U F' U D2
U' L' F U F' D U
U' L' F U F' D' U
U' L' F U F' D2 U
U2 L' F U' L U' D
U2 L' F U' L U' D'
U2 L' F U' L U' D2
U2 L' F U' L D U'
U2 L' F U' L D' U'
U2 L' F U' L D2 U'
U2 L' F U' D L U'
U2 L' F U' D' L U'
U2 L' F U' D2 L U'
U' L' F D U F' U
U' L' F D' U F' U
U2 L' F D U' L U'
U' L' F D2 U F' U
U2 L' F D' U' L U'
U2 L' F D2 U' L U'
U2 L' F B2 U R' U
U' L' F2 D R2 U2 B
U' L' F2 D F' R2 U2
U' L' F2 D' F' U2 L2
L' R2 D F B2 R' U2
L' R2 D B2 R' F U2
L' R2 D B2 F R' U2
L' R2 D' F U2 F L
U2 L' B2 F U R' U
L' R2 F U R2 U L
L' R2 F U2 L D' F2
L' R2 F U2 D' L F2
L' R2 F U2 D' F2 L
L' R2 F D B2 R' U2
L' R2 F D' U2 L F2
L' R2 F D' U2 F2 L
D2 L2 U B2 L2 R' B
D2 L2 U B2 R' L2 B
D2 L2 U B2 R' B L2
L R2 B' L' D' F2 R
U2 L2 D L F U2 F
U2 L2 D' L F B2 U2
U2 L2 D' L B2 F U2
L U L' U2 L' F U2
L U L2 F U2 L F'
L U L2 F U2 F' L
L U R D2 R2 B' L'
L U R D2 B' L' R2
L U R D2 B' R2 L'
L U R B' D2 L' R2
L U R B' D2 R2 L'
L U R' D2 R2 B' L'
L U R' D2 B' L' R2
L U R' D2 B' R2 L'
L U R' B' D2 L' R2
L U R' B' D2 R2 L'
L U R2 D2 R2 B' L'
L U R2 D2 B' L' R2
L U R2 D2 B' R2 L'
L U R2 B' D2 L' R2
L U R2 B' D2 R2 L'
D2 L2 B2 U L2 R' B
D2 L2 B2 U R' L2 B
D2 L2 B2 U R' B L2
L U D B' L' D R2
L U D B' D L' R2
L U D B' D R2 L'
F2 R L B' D L' F
L U D2 R B' L' R
L U D2 R B' R L'
L U D2 R2 D B' L'
L U D2 R2 D' B' L'
L U D2 R2 D2 B' L'
L U D2 R2 B L' B2
L U D2 R2 B' L' D
L U D2 R2 B' L' D'
L U D2 R2 B' L' D2
L U D2 R2 B' D L'
L U D2 R2 B' D' L'
L U D2 R2 B' D2 L'
L U D2 R2 B2 L' B
U' R L' F U F' U
L U D2 B L' R2 B2
L U D2 B L' B2 R2
L U D2 B R2 L' B2
L U D2 B R2 B2 L'
L U D2 B' L' R2 D
L U D2 B' L' R2 D'
L U D2 B' L' R2 D2
L U D2 B' R2 L' D
L U D2 B' R2 L' D'
L U D2 B' R2 L' D2
L U D2 B' R2 D L'
L U D2 B' R2 D' L'
L U D2 B' R2 D2 L'
L U D2 B2 L' B R2
U2 R U L' R' F U2
U2 R U L' F R' U2
U2 R U R' L' F U2
F2 R U' L R' U B'
F2 R U' R' L U B'
F2 R U' D2 R' U B
L U B L B2 L2 R'
L U B L B2 R' L2
L U B' L' U2 L' U2
L U B' L' F2 R F2
L U B' R D2 L' R2
L U B' R D2 R2 L'
L U B' R' D2 L' R2
L U B' R' D2 R2 L'
L U B' R2 D2 L' R2
L U B' R2 D2 R2 L'
L U B' U2 L2 U2 L
L U B' D L' D R2
L U B' D' L' D' R2
L U B' D2 L' R2 D
L U B' D2 L' R2 D'
L U B' D2 L' R2 D2
L U B' D2 R2 L' D
L U B' D2 R2 L' D'
L U B' D2 R2 L' D2
L U B' D2 R2 D L'
L U B' D2 R2 D' L'
L U B' D2 R2 D2 L'
L2 U B2 L2 D' R' B
L U B2 D2 L' B R2
L U B2 D2 B L' R2
L U B2 D2 B R2 L'
F2 R D2 U' R' U B
L U' L2 R F U2 L
L U' L2 R' F U2 L
L U' L2 R2 F U2 L
L U' L2 U2 L2 B' L'
L U' L2 D F U2 L
R' U' R U' L' F U2
L U' L2 D' F U2 L
L U' L2 D2 F U2 L
L U' L2 F R U2 L
L U' L2 F R' U2 L
L U' L2 F R2 U2 L
L U' L2 F U2 L D
L U' L2 F U2 L D'
L U' L2 F U2 L D2
L U' L2 F U2 D L
L U' L2 F U2 D' L
L U' L2 F U2 D2 L
L U' L2 F D U2 L
L U' L2 F D' U2 L
L U' L2 F D2 U2 L
L U' R L2 F U2 L
L U' R' L2 F U2 L
R U' R' U' L' F U2
R2 U' R2 U' L' F U2
L U' R2 L2 F U2 L
F2 R B2 U L U' B'
U' R' L' F U F' U
L' U' F U' F' U' L
L U' D2 B' L' R2 F'
L U' D2 B' R2 L' F'
L U' F L2 F R U2
U2 R' U L' R F U2
L U' F' L2 F U2 L'
U2 R' U R L' F U2
L U' F2 L2 R F U2
L U' F2 R L2 F U2
L U' B' D2 L' R2 F'
L U' B' D2 R2 L' F'
R2 U2 L' D F B2 U2
R2 U2 L' D B2 F U2
R2 U2 L' D' F U2 F
R2 U2 L' F U R2 U
R2 U2 L' F U2 D' F2
R2 U2 L' F D B2 U2
R2 U2 L' F D' U2 F2
L' U2 L2 D B' L' F2
R U2 L' F U R' U
L2 U2 L2 D F2 R B
L' U2 L2 B' D L' F2
D2 R' B R' D' F2 R
U' R2 L' F U F' U
U2 R2 U L' R2 F U2
U2 R2 U L' F R2 U2
U2 R2 U R2 L' F U2
D2 R2 D' R F2 B R
D2 R2 D' R B F2 R
D' R2 D' R' F2 B R
D' R2 D' R' B F2 R
D' R2 D' R2 F2 R B
D2 R2 D' F2 R D B
D2 R2 D' F2 R D' B
D2 R2 D' F2 R D2 B
D2 R2 D' F2 R B D
D2 R2 D' F2 R B D'
D2 R2 D' F2 R B D2
D' R2 D' F2 R' B R2
D2 R2 D' F2 D R B
D2 R2 D' F2 D' R B
D2 R2 D' F2 D2 R B
D2 R2 D' F2 B R B
D2 R2 D' F2 B' R B
D2 R2 D' F2 B2 R B
D2 R2 D' B F2 R B
D2 R2 D' B' F2 R B
D2 R2 D' B2 F2 R B
F2 R2 D' F2 D' R' B
F2 R2 D2 R' D F2 B
F2 R2 D2 R' D B F2
F2 R2 D2 R' B D F2
D2 R2 F2 D' R F2 B
D2 R2 F2 D' R B F2
D2 R2 B D' F2 R B
D2 R2 B' D' F2 R B
D2 R2 B2 D' F2 R B
L D U B' L' D R2
L D U B' D L' R2
L D U B' D R2 L'
F U L F U' F' B'
F U L F U' B' F'
D U F2 U' R F2 B
D U F2 U' R B F2
U D F2 U' R F2 B
U D F2 U' R B F2
B' U' L' F U F' U
B2 U' L' F U F' U
B U' L' F U F' U
R2 D' F2 R2 D' R' B
R2 D' F2 D' R' B R2
R2 D' F2 B R D B2
R2 D' B F2 R D B2
L D' B2 L U L2 B
L D' B2 L U B L2
L D' B2 L2 U L B
L D' B2 U L B L2
L D' B2 U L' D B
L D' B2 U L' D' B
L D' B2 U L' D2 B
L D' B2 U L' B D
L D' B2 U L' B D'
L D' B2 U L' B D2
L D' B2 U D L' B
L D' B2 U D B L'
L D' B2 U D' L' B
L D' B2 U D' B L'
L D' B2 U D2 L' B
L D' B2 U D2 B L'
L D' B2 U B L' D
L D' B2 U B L' D'
L D' B2 U B L' D2
L D' B2 U B D L'
L D' B2 U B D' L'
L D' B2 U B D2 L'
L D' B2 U B' L' B2
L D' B2 D U L' B
L D' B2 D U B L'
L D' B2 D' U L' B
L D' B2 D' U B L'
L D' B2 D2 U L' B
L D' B2 D2 U B L'
R' D2 R' D' F2 B R
R' D2 R' D' B F2 R
R' D2 R' B D' F2 R
R2 D2 R' D F2 B R
R2 D2 R' D B F2 R
R2 D2 R' B D F2 R
R2 D2 R2 D F2 R B
L D2 R2 D' B' L' F2
L D2 R2 B' L' D' F2
L D2 R2 B' D' L' F2
L D2 U R B' L' R
L D2 U R B' R L'
L D2 U R2 D B' L'
L D2 U R2 D' B' L'
L D2 U R2 D2 B' L'
L D2 U R2 B L' B2
L D2 U R2 B' L' D
L D2 U R2 B' L' D'
L D2 U R2 B' L' D2
L D2 U R2 B' D L'
L D2 U R2 B' D' L'
L D2 U R2 B' D2 L'
L D2 U R2 B2 L' B
L D2 U B L' R2 B2
L D2 U B L' B2 R2
L D2 U B R2 L' B2
L D2 U B R2 B2 L'
L D2 U B' L' R2 D
L D2 U B' L' R2 D'
L D2 U B' L' R2 D2
L D2 U B' R2 L' D
L D2 U B' R2 L' D'
L D2 U B' R2 L' D2
L D2 U B' R2 D L'
L D2 U B' R2 D' L'
L D2 U B' R2 D2 L'
L D2 U B2 L' B R2
B' U2 L' F U' L U'
L D2 U' B' L' R2 F'
L D2 U' B' R2 L' F'
B2 U2 L' F U' L U'
B U2 L' F U' L U'
L D2 B U L' R2 B2
L D2 B U L' B2 R2
L D2 B U R2 L' B2
L D2 B U R2 B2 L'
L D2 B U B2 L' R2
L D2 B U B2 R2 L'
L D2 B' L' R2 D' F2
L D2 B' R2 L' D' F2
L D2 B' R2 D' L' F2
L D2 B2 U L' B R2
L D2 B2 U B L' R2
L D2 B2 U B R2 L'
D F L' F U L R
D F L' F U R L
L' F R U R' U L
L' F R' U R U L
L' F R2 U R2 U L
L' F R2 U2 L D' F2
L' F R2 U2 D' L F2
L' F R2 U2 D' F2 L
L' F R2 D B2 R' U2
L' F R2 D' U2 L F2
L' F R2 D' U2 F2 L
L' F U F U L F'
L' F U F U F' L
L' F U F' U F L
L' F U F2 U L F2
L' F U F2 U F2 L
L' F U2 L U L' U'
L' F U2 L2 D L' F2
L' F B2 R' U R U
F D F L' U L R
F D F L' U R L
L F' U D2 R2 B' L
L F' U D2 B' L R2
L F' U D2 B' R2 L
F' D' L B' L U L2
L F' U' L2 F U2 L'
L F' D2 U R2 B' L
L F' D2 U B' L R2
L F' D2 U B' R2 L
F2 D' R2 D' R' F2 B
F2 D' R2 D' R' B F2
F2 D' R2 D' F2 R' B
D F2 L U L' R B'
D F2 L U L' B' R
D F2 L U R L' B'
U F2 L U' R F2 B'
U F2 L U' R B' F2
U F2 L U' B' R F2
D' F2 R2 D' R' F2 B
D' F2 R2 D' R' B F2
D' F2 R2 D' F2 R' B
F' D' B' L B' U L'
F2 D' B' L U L' R
F2 D' B' L U R L'
L F2 U' L2 R F U2
L F2 U' R L2 F U2
F' D2 R' B R' D' F2
D' F2 B' L U L' R
D' F2 B' L U R L'
B' D2 R2 D' F2 R B
B2 D2 R2 D' F2 R B
B D2 R2 D' F2 R B
L B L U B2 L2 R'
L B L U B2 R' L2
U2 B L' F U' L U'
D2 B R2 D' F2 R B
U' B U' B' L' F U2
L B U L B2 L2 R'
L B U L B2 R' L2
F2 B L U R B' L'
F2 B L U B' L' R
F2 B L U B' R L'
L B U B2 D2 L' R2
L B U B2 D2 R2 L'
L B U' L2 U2 L B2
D' B' L U D2 L' R2
D' B' L U D2 R2 L'
D' B' L U' L2 U2 L
D' B' L D' B2 U L'
D' B' L D2 U L' R2
D' B' L D2 U R2 L'
U2 B' L' F U' L U'
L B' L' R2 D' F2 R
D2 B' R2 D' F2 R B
F2 B' L U R B' L'
F2 B' L U B' L' R
F2 B' L U B' R L'
U' B' U' L' F B U2
U' B' U' L' B F U2
L B' R2 L' D' F2 R
U' B' U' B L' F U2
L B' D' B2 U L' B2
L B' D' B2 U B2 L'
L B' D2 L' R2 D' F2
L B' D2 R2 L' D' F2
L B' D2 R2 D' L' F2
D' B' F2 L U L' R
D' B' F2 L U R L'
L2 B2 L' U R' B' L'
U2 B2 L' F U' L U'
B' F2 L U R B' L'
B' F2 L U B' L' R
B' F2 L U B' R L'
B2 F2 L U R B' L'
B2 F2 L U B' L' R
B2 F2 L U B' R L'
F2 B2 L U R B' L'
F2 B2 L U B' L' R
F2 B2 L U B' R L'
B F2 L U R B' L'
B F2 L U B' L' R
B F2 L U B' R L'
D2 B2 R2 D' F2 R B
U' B2 U' L' F B2 U2
U' B2 U' L' B2 F U2
U' B2 U' B2 L' F U2
L B2 U D2 L' B R2
L B2 U D2 B L' R2
L B2 U D2 B R2 L'
L B2 U B D2 L' R2
L B2 U B D2 R2 L'
L B2 U' L2 U2 L B
L' B2 F R' U R U
L B2 D' B2 U B' L'
L B2 D2 U L' B R2
L B2 D2 U B L' R2
L B2 D2 U B R2 L'
