B' R U F' U2 F
B' R' U' D' F2 B
B' R' U' D' B F2
B' R' U' B D' F2
B' R' D' U' F2 B
B' R' D' U' B F2
B' R' D2 L2 U' B
R' D' B' U' F2 B2
R' D' B' U' B2 F2
B' U2 R U' F' U2
R' D2 B' L2 U' B2
R' B' U' B2 D' F2
R' B' U2 R2 U B2
R' B' D' R2 U' F2
D B' U2 L R U
D B' U2 R L U
R B' U F' U2 F
B' L R U F' U2 F
U2 L R U' F' U2 L'
B' L R' U' D' F2 B
B' L R' U' D' B F2
B' L R' U' B D' F2
B' L R' D' U' F2 B
B' L R' D' U' B F2
B' L R' D2 L2 U' B
B' L U2 R U' F' U2
B' L' R U F' U2 F
B' L' R' U' D' F2 B
B' L' R' U' D' B F2
B' L' R' U' B D' F2
B' L' R' D' U' F2 B
B' L' R' D' U' B F2
B' L' R' D2 L2 U' B
L2 R' D2 L2 B' U' B2
B' L' U2 R U' F' U2
R' L2 D2 L2 B' U' B2
B' L2 R U F' U2 F
U2 L2 R F U D2 B2
U2 L2 R F U' F2 U2
U2 L2 R F D' L2 U
U2 L2 R F D2 U B2
B' L2 R' U' D' F2 B
B' L2 R' U' D' B F2
B' L2 R' U' B D' F2
B' L2 R' D' U' F2 B
B' L2 R' D' U' B F2
B' L2 R' D2 L2 U' B
D2 L2 U2 R F U B
B' L2 U2 R U' F' U2
D' L2 U2 R F L' U
U2 L2 D' R F L' U
B' R L U F' U2 F
U2 R L U' F' U2 L'
B' R L' U F' U2 F
B' R L2 U F' U2 F
U2 R L2 F U D2 B2
U2 R L2 F U' F2 U2
U2 R L2 F D' L2 U
U2 R L2 F D2 U B2
B' R U D F' U2 F
B' R U D' F' U2 F
B' R U D2 F' U2 F
B' R U F' U2 D F
B' R U F' U2 D' F
B' R U F' U2 D2 F
B' R U F' U2 F D
B' R U F' U2 F D'
B' R U F' U2 F D2
B' R U F' D U2 F
B' R U F' D' U2 F
B' R U F' D2 U2 F
B' R U F' B U2 F
B' R U F' B' U2 F
B' R U F' B2 U2 F
R U F' U' B' U' F
B' R U B F' U2 F
B' R U B' F' U2 F
B' R U B2 F' U2 F
U2 R U' F' U' B' U'
U2 R U2 R2 B' U' B2
U2 R U2 B' R2 U' B
U2 R U2 B' U F' U2
B' R D U F' U2 F
B' R D' U F' U2 F
B' R D2 U F' U2 F
U2 R F D' L2 F U
U2 R F' U2 B' U' B
U2 R F2 L2 F U B'
R' U' D' F2 B D L2
R' U' D' B F2 D L2
B R B2 U F' U2 F
B' R' L U' D' F2 B
B' R' L U' D' B F2
B' R' L U' B D' F2
B' R' L D' U' F2 B
B' R' L D' U' B F2
B' R' L D2 L2 U' B
R' U' D2 B D L2 F2
R' U' D2 B D F2 L2
B' R' L' U' D' F2 B
B' R' L' U' D' B F2
B' R' L' U' B D' F2
B' R' L' D' U' F2 B
B' R' L' D' U' B F2
B' R' L' D2 L2 U' B
B' R' L2 U' D' F2 B
B' R' L2 U' D' B F2
B' R' L2 U' B D' F2
B' R' L2 D' U' F2 B
B' R' L2 D' U' B F2
B' R' L2 D2 L2 U' B
B' R' U D B2 U2 B'
B' R' U' D' F2 D B
B' R' U' D' F2 D' B
B' R' U' D' F2 D2 B
B' R' U' D' F2 B D
B' R' U' D' F2 B D'
B' R' U' D' F2 B D2
B' R' U' D' B F2 D
B' R' U' D' B F2 D'
B' R' U' D' B F2 D2
B' R' U' D2 B D F2
B' R' U' F D' F2 B
B' R' U' F D' B F2
B' R' U' F B D' F2
B' R' U' F' D' F2 B
B' R' U' F' D' B F2
B' R' U' F' B D' F2
B2 R' U' D' F2 B L
B2 R' U' D' B L F2
B2 R' U' D' B F2 L
B' R' U' F2 D' F2 B
B' R' U' F2 D' B F2
B' R' U' F2 B D' F2
B' R' U' B U' R2 U
B' R' U' B D' F2 D
B' R' U' B D' F2 D'
B' R' U' B D' F2 D2
B' R' U' B F D' F2
B' R' U' B F' D' F2
B' R' U' B F2 D' F2
R' U' B D L2 D2 F2
B' R' U' B2 D' F2 B'
B' R' U' B2 D' B' F2
B2 R' U' B L D' F2
R' U' B D' F2 D2 L2
B2 R' U' B D' L F2
B2 R' U' B D' F2 L
B' R' U2 R2 U' F' U2
B' R' D U B2 U2 B'
B' R' D' L U' F2 B
B' R' D' L U' B F2
B' R' D' L' U' F2 B
B' R' D' L' U' B F2
B' R' D' L2 U' F2 B
B' R' D' L2 U' B F2
B' R' D' U' F2 D B
B' R' D' U' F2 D' B
B' R' D' U' F2 D2 B
B' R' D' U' F2 B D
B' R' D' U' F2 B D'
B' R' D' U' F2 B D2
B' R' D' U' B F2 D
B' R' D' U' B F2 D'
B' R' D' U' B F2 D2
B2 R' D' U' F2 B L
B2 R' D' U' B L F2
B2 R' D' U' B F2 L
B' R' D2 L2 U' D B
B' R' D2 L2 U' D' B
B' R' D2 L2 U' D2 B
B' R' D2 L2 U' B D
B' R' D2 L2 U' B D'
B' R' D2 L2 U' B D2
B' R' D2 L2 D U' B
B' R' D2 L2 D' U' B
B' R' D2 L2 D2 U' B
B2 R' D2 L2 U' B L
B' R' D2 U' B D F2
L2 U2 R F U D2 B2
L2 U2 R F U' F2 U2
L2 U2 R F D' L2 U
L2 U2 R F D2 U B2
U' R' B D' R F2 L'
D R' B R' B2 L U'
F2 R' B' L' F2 U' B2
D R' B' U2 L R2 U
D R' B' U2 R2 L U
L2 U2 D' R F L' U
B R' B2 U' D' F2 B'
B R' B2 U' D' B' F2
B R' B2 U' B' D' F2
B R' B2 U2 R2 U B'
B R' B2 D' U' F2 B'
B R' B2 D' U' B' F2
B' R2 U2 L' R' U B'
B' R2 U2 R' L' U B'
R U2 B' R2 F' U' B
D2 R2 B2 L B U' B2
B R2 B2 L R U' B
B R2 B2 R L U' B
R' D B' L2 U' F B2
R' D B' L2 U' B2 F
R' D B' U B' U2 B'
R D B' U F' U2 F
R' D' U' F2 B D L2
R' D' U' B F2 D L2
U2 D' L2 R F L' U
L2 D' U2 R F L' U
U2 D' R L2 F L' U
R' D' F2 B D L2 R2
R' D' F2 B D R2 L2
B' U' R' D' B R F2
R' D' B F2 D L2 R2
R' D' B F2 D R2 L2
R' D' B' L U' F2 B2
R' D' B' L U' B2 F2
B' U' R' B D' R F2
R' D' B' L' U' F2 B2
R' D' B' L' U' B2 F2
R' D' B' L2 U' F2 B2
R' D' B' L2 U' B2 F2
R' D' B' R U' F2 B2
R' D' B' R U' B2 F2
R' D' B' R' U' F2 B2
R' D' B' R' U' B2 F2
R' D' B' R2 U' F2 B2
R' D' B' R2 U' B2 F2
R' D' B' U' F2 B2 D
R' D' B' U' F2 B2 D'
R' D' B' U' F2 B2 D2
R' D' B' U' B2 F2 D
R' D' B' U' B2 F2 D'
R' D' B' U' B2 F2 D2
R' D' B' D' L2 R2 U'
R' D' B' D' R2 L2 U'
R D' B' U F' U2 F
R' D2 L2 U2 F U B
D' U2 L2 R F L' U
D' U2 R L2 F L' U
R' D2 U' B D L2 F2
R' D2 U' B D F2 L2
B' U2 L R U' F' U2
B' U2 L' R U' F' U2
B' U2 L2 R U' F' U2
B' U2 R L U' F' U2
B' U2 R L' U' F' U2
B' U2 R L2 U' F' U2
B' U2 R U R2 B R2
B' U2 R U' D F' U2
B' U2 R U' D' F' U2
B' U2 R U' D2 F' U2
B' U2 R U' F' U2 D
B' U2 R U' F' U2 D'
B' U2 R U' F' U2 D2
B' U2 R U' F' D U2
B' U2 R U' F' D' U2
B' U2 R U' F' D2 U2
B' U2 R U2 R2 U' B
B' U2 R D U' F' U2
B' U2 R D' U' F' U2
B' U2 R D2 U' F' U2
R' D2 B L2 B2 U' B2
B' U2 R' U D' F2 B
B' U2 R' U D' B F2
B' U2 R' U B D' F2
B' U2 R' D' U F2 B
B' U2 R' D' U B F2
R' D2 B' L2 R U' B2
R' D2 B' L2 R' U' B2
R' D2 B' L2 R2 U' B2
R' D2 B' L2 U' B2 D
R' D2 B' L2 U' B2 D'
R' D2 B' L2 U' B2 D2
R' D2 B' L2 D' R2 U'
R' D2 B' R L2 U' B2
R' D2 B' R' L2 U' B2
R' D2 B' R2 L2 U' B2
R' D2 B' U' B2 D F2
