U L D F2 B U'
U L D B F2 U'
U L D2 B U' R2
F2 L B U' R B'
F2 L B U' B' R
U L B U L2 U2
U L B U' D2 R2
U L B D F2 U'
U L B D2 U' R2
U2 L' U' L2 B U'
U2 L' U' B L2 U'
L' U B L2 F U'
F2 U L B U' R
F U L F B U'
F U L B F U'
L D F2 B U' B'
L D B F2 U' B'
L D2 B U' R2 B'
L D2 B U' B' R2
U F2 L B U' R
L B U L2 F U2
L B U' D2 R2 B'
L B U' D2 B' R2
L B U' B' D2 R2
L B D F2 U' B'
L B D2 U' R2 B'
L B D2 U' B' R2
U L U L2 U' B U'
D2 L D F2 B U' B'
D' L D F2 B U' B'
U' L D F2 B R U'
D2 L D B F2 U' B'
D' L D B F2 U' B'
D L D F2 B U' B'
U' L D B F2 R U'
F2 L D B U' R B'
F2 L D B U' B' R
D L D B F2 U' B'
U L D F2 D B U'
U L D F2 D' B U'
U L D F2 D2 B U'
U L D F2 B U' D
U L D F2 B U' D'
U L D F2 B U' D2
U L D F2 B D U'
U L D F2 B D' U'
U L D F2 B D2 U'
U L D B U' D R2
U L D B D U' R2
U L D B F2 U' D
U L D B F2 U' D'
U L D B F2 U' D2
U L D B F2 D U'
U L D B F2 D' U'
U L D B F2 D2 U'
F2 L D' B U' R B'
F2 L D' B U' B' R
U L D' B U2 B U
D' L D2 B U' R2 B'
D' L D2 B U' B' R2
D2 L D2 B U' R2 B'
D2 L D2 B U' B' R2
F' L D2 B U' R' B'
F2 L D2 B U' R B'
F2 L D2 B U' B' R
D L D2 B U' R2 B'
D L D2 B U' B' R2
U L D2 F B U' R2
U L D2 F' B U' R2
U L D2 F2 B U' R2
U L D2 B U' R2 D
U L D2 B U' R2 D'
U L D2 B U' R2 D2
U L D2 B D' F2 U'
U L D2 B F U' R2
U L D2 B F' U' R2
U L D2 B F2 U' R2
U L F D F2 B U'
U L F D B F2 U'
F L F B U' R B'
F L F B U' B' R
U L F D2 B U' R2
U L F B U L2 U2
U L F B U' D2 R2
U L F B D F2 U'
U L F B D2 U' R2
F' L F' B U' R B'
F' L F' B U' B' R
U L F' D F2 B U'
U L F' D B F2 U'
U L F' D2 B U' R2
U L F' B U L2 U2
U L F' B U' D2 R2
U L F' B D F2 U'
U L F' B D2 U' R2
U L F2 D F2 B U'
U L F2 D B F2 U'
U L F2 D2 B U' R2
U L F2 B U L2 U2
U L F2 B U' D2 R2
U L F2 B D F2 U'
U L F2 B D2 U' R2
D2 L B U L2 F U2
F2 L B R' U' R2 B'
F2 L B R' U' B' R2
D' L B U L2 F U2
F2 L B R2 U' R' B'
D2 L B U' D2 R2 B'
D2 L B U' D2 B' R2
D' L B U' D2 R2 B'
D' L B U' D2 B' R2
D2 L B U' B' D2 R2
D' L B U' B' D2 R2
D L B U L2 F U2
F2 L B U' R D B'
F2 L B U' R D' B'
F2 L B U' R D2 B'
F2 L B U' R B' D
F2 L B U' R B' D'
F2 L B U' R B' D2
F2 L B U' R' B' R2
F2 L B U' D R B'
F2 L B U' D B' R
F2 L B U' D' R B'
F2 L B U' D' B' R
F2 L B U' D2 R B'
F2 L B U' D2 B' R
F2 L B U' B R B2
D2 L B D F2 U' B'
F2 L B U' B' R D
F2 L B U' B' R D'
F2 L B U' B' R D2
F2 L B U' B' D R
F2 L B U' B' D' R
F2 L B U' B' D2 R
D' L B D F2 U' B'
D L B U' D2 R2 B'
D L B U' D2 B' R2
D L B U' B' D2 R2
F2 L B D U' R B'
F2 L B D U' B' R
D2 L B D2 U' R2 B'
D2 L B D2 U' B' R2
U L B U L2 U2 D
U L B U L2 U2 D'
U L B U L2 U2 D2
U L B U L2 D U2
U L B U L2 D' U2
U L B U L2 D2 U2
D' L B D2 U' R2 B'
D' L B D2 U' B' R2
U' L B D F2 R U'
D L B D F2 U' B'
F2 L B D' U' R B'
F2 L B D' U' B' R
U L B U' R D2 R2
U L B U' R' D2 R2
U L B U' R2 D2 R2
U L B U' D2 R2 D
U L B U' D2 R2 D'
U L B U' D2 R2 D2
F2 L B D2 U' R B'
F2 L B D2 U' B' R
F' L B F' U' R B'
F' L B F' U' B' R
U L B U2 D' B2 U
D L B D2 U' R2 B'
D L B D2 U' B' R2
U L B D F2 U' D
U L B D F2 U' D'
U L B D F2 U' D2
U L B D F2 D U'
U L B D F2 D' U'
U L B D F2 D2 U'
F L B F U' R B'
F L B F U' B' R
U L B D' U2 B2 U
U L B D2 U' R2 D
