F' R U B R' U2
F' L R U B R' U2
B' L U F' L' R U'
B' L U F' R L' U'
F' L' R U B R' U2
F' L2 R U B R' U2
F' R L U B R' U2
F' R L' U B R' U2
F' R L2 U B R' U2
F' R U B R' U2 D
F' R U B R' U2 D'
F' R U B R' U2 D2
F' R U B R' D U2
F' R U B R' D' U2
F' R U B R' D2 U2
F' R U B D R' U2
F' R U B D' R' U2
F' R U B D2 R' U2
F' R B' U B2 R' U2
F' R B' U' L D2 F2
F' R B' U' D2 L F2
F' R B' U' D2 F2 L
F' R B' D L2 U' L'
F' R B' D2 U' L F2
F' R B' D2 U' F2 L
B' R' D' L F' R B'
B' R' D' L F' B' R
B' R' D' L B' F' R
B' R' D' F' L R B'
B' R' D' F' L B' R
B' R' D' F' R L B'
B' U F' L' R U' L2
B' U F' R L' U' L2
B2 U F' L' R B U'
B2 U F' R L' B U'
B2 U F' R B L' U'
B' U' F' R U' L F
U F' L' R B' U' L
L' F' R U B R' U2
U F' L' B' R U' L
L2 F' R U B R' U2
U F' R L' B' U' L
L F' R U B R' U2
U F' R B' L' U' L2
U F' B' L' R U' L2
U F' B' R L' U' L2
R B R' U' F' R U'
F' B R U R2 U2 F'
F' B R U B R2 U2
B F' R U R2 U2 F'
B F' R U B R2 U2
R' B' D' L F' R B'
R' B' D' L F' B' R
R' B' D' L B' F' R
R' B' D' F' L R B'
R' B' D' F' L B' R
R' B' D' F' R L B'
U B' F' L' R U' L2
U B' F' R L' U' L2
