B U' L F2 R F'
B2 L2 D2 F U' L' F
B U R U2 L F' R'
B U R U2 F' L R'
B U R U2 F' R' L
B' U R' U2 D' R2 F'
B' U R' D L2 B U2
B' U R' D B L2 U2
B' U R' D' U2 R2 F'
B' U R' D' B U2 R2
B' U R' B U B U
B U R2 U2 L R2 F
B U R2 U2 L F R2
B U R2 U2 R2 L F
U2 D F' B R' U L'
U2 D B R' F' U L'
U2 D B F' R' U L'
B U B2 R' B U2 R
B U' L R F2 R F
B U' L F' R F' R
B U' L F2 R D F'
B U' L F2 R D' F'
B U' L F2 R D2 F'
B U' L F2 R F' D
B U' L F2 R F' D'
B U' L F2 R F' D2
B U' L2 D2 L' R2 F
B U' L2 D2 L' F R2
B U' L2 D2 R2 L' F
B U' R L F2 R F
B U' R F L F2 R
U2 D' F' B R U L'
B U' R' B U2 B' L
U2 D' B F' R U L'
B U' F L F2 R F'
B U' F' L F2 R F'
B U' F2 L F2 R F'
B U' B2 R' B U2 B
D' U2 F' B R U L'
D2 U2 F' B U L' F
U2 D2 F' B U L' F
D U2 F' B R' U L'
B2 U2 R B' U L F'
B2 U2 R B' U F' L
D' U2 B F' R U L'
D2 U2 B F' U L' F
D U2 B R' F' U L'
U2 D2 B F' U L' F
D U2 B F' R' U L'
B2 U2 B' R U L F'
B2 U2 B' R U F' L
B' U2 B2 R U L F'
B' U2 B2 R U F' L
B2 D L B' L F U'
U2 F B U' R U2 F'
U2 F' D B R' U L'
U2 F' D2 B U L' F
U2 F' B R U L' F'
U2 F' B U D2 L' F
U2 F' B D2 U L' F
U2 B R F U F2 L'
U2 B R F2 U F L'
D B R' U2 R U' L
D B R' F2 L' U L2
L' B U' L F2 R F'
L2 B U' L F2 R F'
L B U' L F2 R F'
U2 B D' F' R U L'
U2 B D2 F' U L' F
U2 B F U' R U2 F'
U2 B F' R U L' F'
U2 B F' U D2 L' F
U2 B F' D2 U L' F
F' B U' L F2 R F'
F2 B U' L F2 R F'
B F U' L F2 R F'
D B' L U2 B2 U L
F B U' L F2 R F'
D B' U2 B2 R' U L
B F' U' L F2 R F'
D B2 U2 B' U L F
B F2 U' L F2 R F'
