D R' F2 B L
D R' B L F2
D R' B F2 L
D F2 R' B L
D L R' F2 B L
D L R' B L F2
D L R' B F2 L
D L F2 R' B L
D L' R' F2 B L
D L' R' B L F2
D L' R' B F2 L
D L' F2 R' B L
D L2 R' F2 B L
D L2 R' B L F2
D L2 R' B F2 L
D L2 F2 R' B L
D R' L F2 B L
D R' L B L F2
D R' L B F2 L
D R' L' F2 B L
D R' L' B L F2
D R' L' B F2 L
D R' L2 F2 B L
D R' L2 B L F2
D R' L2 B F2 L
D R' F' B L F'
D R' F2 L B L
D R' F2 L' B L
D R' F2 L2 B L
D R' F2 D B L
D R' F2 D' B L
D R' F2 D2 B L
D R' F2 B L D
D R' F2 B L D'
D R' F2 B L D2
D R' F2 B D L
D R' F2 B D' L
D R' F2 B D2 L
D R' B L F2 D
D R' B L F2 D'
D R' B L F2 D2
D R' B L' F2 L2
D R' B F' L F'
D R' B F2 L D
D R' B F2 L D'
D R' B F2 L D2
D R' B F2 D L
D R' B F2 D' L
D R' B F2 D2 L
D F R' F B L
D F R' B F L
D F2 L R' B L
D F2 L' R' B L
D F2 L2 R' B L
D F2 R' L B L
D F2 R' L' B L
D F2 R' L2 B L
D F2 R' D B L
D F2 R' D' B L
D F2 R' D2 B L
D F2 R' B L D
D F2 R' B L D'
D F2 R' B L D2
D F2 R' B D L
D F2 R' B D' L
D F2 R' B D2 L
D' B2 L U2 B' L
D L R' F' B L F'
D L R' F2 L B L
D L R' F2 L' B L
D L R' F2 L2 B L
D L R' F2 D B L
D L R' F2 D' B L
D L R' F2 D2 B L
D L R' F2 B L D
D L R' F2 B L D'
D L R' F2 B L D2
D L R' F2 B D L
D L R' F2 B D' L
D L R' F2 B D2 L
D L R' B L F2 D
D L R' B L F2 D'
D L R' B L F2 D2
D L R' B L' F2 L2
D L R' B F' L F'
D L R' B F2 L D
D L R' B F2 L D'
D L R' B F2 L D2
D L R' B F2 D L
D L R' B F2 D' L
D L R' B F2 D2 L
D2 L D' R' F2 B L
D2 L D' R' B L F2
D2 L D' R' B F2 L
D2 L D' F2 R' B L
D L F R' F B L
D L F R' B F L
D L F2 L R' B L
D L F2 L' R' B L
D L F2 L2 R' B L
D L F2 R' L B L
D L F2 R' L' B L
D L F2 R' L2 B L
D L F2 R' D B L
D L F2 R' D' B L
D L F2 R' D2 B L
D L F2 R' B L D
D L F2 R' B L D'
D L F2 R' B L D2
D L F2 R' B D L
D L F2 R' B D' L
D L F2 R' B D2 L
D L' R' F' B L F'
D L' R' F2 L B L
D L' R' F2 L' B L
D L' R' F2 L2 B L
D L' R' F2 D B L
D L' R' F2 D' B L
D L' R' F2 D2 B L
D L' R' F2 B L D
D L' R' F2 B L D'
D L' R' F2 B L D2
D L' R' F2 B D L
D L' R' F2 B D' L
D L' R' F2 B D2 L
D L' R' B L F2 D
D L' R' B L F2 D'
D L' R' B L F2 D2
D L' R' B L' F2 L2
D L' R' B F' L F'
D L' R' B F2 L D
D L' R' B F2 L D'
D L' R' B F2 L D2
D L' R' B F2 D L
D L' R' B F2 D' L
D L' R' B F2 D2 L
D2 L' D' R' F2 B L
D2 L' D' R' B L F2
D2 L' D' R' B F2 L
D2 L' D' F2 R' B L
D L' F R' F B L
D L' F R' B F L
D L' F2 L R' B L
D L' F2 L' R' B L
D L' F2 L2 R' B L
D L' F2 R' L B L
D L' F2 R' L' B L
D L' F2 R' L2 B L
D L' F2 R' D B L
D L' F2 R' D' B L
D L' F2 R' D2 B L
D L' F2 R' B L D
D L' F2 R' B L D'
D L' F2 R' B L D2
D L' F2 R' B D L
D L' F2 R' B D' L
D L' F2 R' B D2 L
F' L2 R B U' L R2
F' L2 R B U' R2 L
D L2 R' F' B L F'
D L2 R' F2 L B L
D L2 R' F2 L' B L
D L2 R' F2 L2 B L
D L2 R' F2 D B L
D L2 R' F2 D' B L
D L2 R' F2 D2 B L
D L2 R' F2 B L D
D L2 R' F2 B L D'
D L2 R' F2 B L D2
D L2 R' F2 B D L
D L2 R' F2 B D' L
D L2 R' F2 B D2 L
D L2 R' B L F2 D
D L2 R' B L F2 D'
D L2 R' B L F2 D2
D L2 R' B L' F2 L2
D L2 R' B F' L F'
D L2 R' B F2 L D
D L2 R' B F2 L D'
D L2 R' B F2 L D2
D L2 R' B F2 D L
D L2 R' B F2 D' L
D L2 R' B F2 D2 L
U L2 U' D R' B L
U L2 D U' R' B L
D2 L2 D' R' F2 B L
D2 L2 D' R' B L F2
D2 L2 D' R' B F2 L
D2 L2 D' F2 R' B L
D L2 F R' F B L
D L2 F R' B F L
U2 L2 F' R U' L' R2
U2 L2 F' R U' R2 L'
U L2 F' R B U' R2
D L2 F2 L R' B L
D L2 F2 L' R' B L
D L2 F2 L2 R' B L
D L2 F2 R' L B L
D L2 F2 R' L' B L
D L2 F2 R' L2 B L
D L2 F2 R' D B L
D L2 F2 R' D' B L
D L2 F2 R' D2 B L
