F' L2 D R F'
F' L D L R F'
F' L D R L F'
F' L D R F' L
F' L' R D' L' F
F' L' D L' R F'
F' L' D R L' F'
F' L' D' L' R F
F' L' D' R L' F
D' L' F B2 U' B2
D' L' B2 F U' B2
F2 L2 U' R B U
F' L2 D R D F'
F' L2 D R D' F'
F' L2 D R D2 F'
F' L2 D R F' D
F' L2 D R F' D'
F' L2 D R F' D2
L2 U L F' U' R
F2 L2 F D R F'
F' R L' D' L' F
L2 U F' L U' R
D' U L' F B2 U'
D' U L' B2 F U'
D' U B2 L' F U'
U D' L' F B2 U'
U D' L' B2 F U'
F2 U' R B U L2
U D' B2 L' F U'
F' D R D' L2 F'
F' D R D' F' L2
L F D F2 L R
L F D F2 R L
R' F' L2 D R F'
R2 F' L2 D R F'
L2 F' R U L U'
L F' R D L F2
L F' R D F2 L
R F' L2 D R F'
L2 F' U L U' R
L F' D L R F2
L F' D R L F2
L F' D R F2 L
L2 F2 U L F U'
D' B2 L' F U' B2
L2 R U L F' U' R
F' L R D' L' F L2
F' L R F L D F2
L2 R U F' L U' R
D' L U L2 F B2 U'
D' L U L2 B2 F U'
F' L D L R D F'
F' L D L R D' F'
F' L D L R D2 F'
F' L D L R F' D
F' L D L R F' D'
F' L D L R F' D2
F' L D L' R F' L2
F' L D R L D F'
F' L D R L D' F'
F' L D R L D2 F'
F' L D R L F' D
F' L D R L F' D'
F' L D R L F' D2
F' L D R L' F' L2
F' L D R D L F'
F' L D R D F' L
F' L D R D' L F'
F' L D R D' F' L
F' L D R D2 L F'
F' L D R D2 F' L
F' L D R F L F2
F' L D R F' L D
F' L D R F' L D'
F' L D R F' L D2
F' L D R F' D L
F' L D R F' D' L
F' L D R F' D2 L
R' L F D F2 L R
R' L F D F2 R L
F' L D' L' R F L2
F' L D' R L' F L2
R2 L F D F2 L R
R2 L F D F2 R L
L R F D F2 L R
L R F D F2 R L
R L F D F2 L R
R L F D F2 R L
R' L F' R D L F2
R' L F' R D F2 L
R2 L F' R D L F2
L2 R F' R U L U'
R2 L F' R D F2 L
L R F' R D L F2
L R F' R D F2 L
R L F' R D L F2
R L F' R D F2 L
L2 R F' U L U' R
R' L F' D L R F2
R' L F' D R L F2
R' L F' D R F2 L
F' L D2 L D' R F'
R2 L F' D L R F2
L R F' D L R F2
R2 L F' D R L F2
R2 L F' D R F2 L
L R F' D R L F2
L R F' D R F2 L
R L F' D L R F2
R L F' D R L F2
R L F' D R F2 L
L2 R F2 U L F U'
F2 L F L D R F'
F2 L F D L R F'
F2 L F D R L F'
F2 L F D R F' L
U L F' L2 U' L' R
U L F' L2 U' R L'
L2 R' U L F' U' R
L2 R' U F' L U' R
F' L' R D' L' D F
F' L' R D' L' D' F
F' L' R D' L' D2 F
F' L' R D' L' F D
F' L' R D' L' F D'
F' L' R D' L' F D2
D' L' R F B2 U' B2
D' L' R B2 F U' B2
D' L' R' F B2 U' B2
D' L' R' B2 F U' B2
F' L' R2 D' L' R' F
F' L' R2 D' L' F R'
F' L' R2 D' R' L' F
D' L' R2 F B2 U' B2
D' L' R2 B2 F U' B2
B' L' U' L' D2 B R'
F2 L' U' R B U L'
U L' U' L' F' R F
B' L' U' D2 L' B R'
B' L' U' D2 B L' R'
B' L' U' D2 B R' L'
L R' F D F2 L R
L R' F D F2 R L
U L' U' F' R F L'
L2 R' F' R U L U'
L R' F' R D L F2
L R' F' R D F2 L
L2 R' F' U L U' R
L R' F' D L R F2
L R' F' D R L F2
L R' F' D R F2 L
F' L' D L R F' L2
F' L' D L' R D F'
F' L' D L' R D' F'
F' L' D L' R D2 F'
F' L' D L' R F' D
F' L' D L' R F' D'
F' L' D L' R F' D2
F' L' D L2 R F' L
F' L' D R L F' L2
F' L' D R L' D F'
F' L' D R L' D' F'
F' L' D R L' D2 F'
F' L' D R L' F' D
F' L' D R L' F' D'
F' L' D R L' F' D2
F' L' D R L2 F' L
F' L' D R D L' F'
F' L' D R D' L' F'
F' L' D R D2 L' F'
L2 R' F2 U L F U'
F' L' D' L' R D F
F' L' D' L' R D' F
F' L' D' L' R D2 F
F' L' D' L' R F D
F' L' D' L' R F D'
F' L' D' L' R F D2
F' L' D' L' R' F R2
F' L' D' L' R2 F R'
F' L' D' L' D R F
F' L' D' L' D' R F
F' L' D' L' D2 R F
F' L' D' R L' D F
F' L' D' R L' D' F
F' L' D' R L' D2 F
F' L' D' R L' F D
F' L' D' R L' F D'
F' L' D' R L' F D2
F' L' D' R' L' F R2
F' L' D' R2 L' F R'
F' L' D2 L' D' R F'
F' L' D2 R D L' F
B' L' D2 U' L' B R'
B' L' D2 U' B L' R'
B' L' D2 U' B R' L'
D' L' F R B2 U' B2
U L' D2 B U' L' R'
U L' D2 B U' R' L'
D' L' F R' B2 U' B2
D' L' F R2 B2 U' B2
F2 L' F D R F' L'
R' L2 U L F' U' R
D' L' F B2 R U' B2
D' L' F B2 R' U' B2
D' L' F B2 R2 U' B2
D' L' F B2 U' B2 D
D' L' F B2 U' B2 D'
D' L' F B2 U' B2 D2
D' L' F B2 D' R2 U'
R2 L2 U L F' U' R
L2 R2 U L F' U' R
R L2 U L F' U' R
R' L2 U F' L U' R
L2 R2 U F' L U' R
R2 L2 U F' L U' R
R L2 U F' L U' R
D' L' B2 R F U' B2
D' L' B2 R' F U' B2
D' L' B2 R2 F U' B2
D' L' B2 D' R2 F U'
D' L' B2 D' F R2 U'
D' L' B2 F R U' B2
D' L' B2 F R' U' B2
D' L' B2 F R2 U' B2
D' L' B2 F U' B2 D
D' L' B2 F U' B2 D'
D' L' B2 F U' B2 D2
D' L' B2 F D' R2 U'
F' L2 R D R F' R'
F' L2 R D' L' F L
F' L2 R F U L' U'
F' L2 R F' U' R U
F2 L2 R' D' F R F
F2 L2 R' F D' R F2
F2 L2 R' F' D' F2 R
F' L2 R2 D R F' R2
L R2 F D F2 L R
L R2 F D F2 R L
R' L2 F' R U L U'
F' L2 R2 F' R' D' F2
R' L2 F' U L U' R
F2 L2 R2 F R D' F2
L2 R2 F' R U L U'
R2 L2 F' R U L U'
L R2 F' R D L F2
L R2 F' R D F2 L
L2 R2 F' U L U' R
R2 L2 F' U L U' R
R L2 F' R U L U'
R L2 F' U L U' R
L R2 F' D L R F2
L R2 F' D R L F2
L R2 F' D R F2 L
R' L2 F2 U L F U'
L2 R2 F2 U L F U'
R2 L2 F2 U L F U'
F2 L2 U' R D B U
F2 L2 U' R D' B U
F2 L2 U' R D2 B U
F2 L2 U' R B U D
F2 L2 U' R B U D'
F2 L2 U' R B U D2
F2 L2 U' R B D U
F2 L2 U' R B D' U
F2 L2 U' R B D2 U
R L2 F2 U L F U'
F2 L2 U' D R B U
F2 L2 U' D' R B U
F2 L2 U' D2 R B U
F2 L2 U' B R B U
F2 L2 U' B' R B U
F2 L2 U' B2 R B U
F' L2 D L' R F' L
F' L2 D L2 R F' L2
F' L2 D R L' F' L
F' L2 D R L2 F' L2
F' L2 D R D F' D
F' L2 D R D F' D'
F' L2 D R D F' D2
F' L2 D R D' F' D
F' L2 D R D' F' D'
F' L2 D R D' F' D2
F' L2 D R D2 F' D
F' L2 D R D2 F' D'
F' L2 D R D2 F' D2
F' L2 D R F2 D F
F' L2 D R F2 D' F
F' L2 D R F2 D2 F
F' L2 D R' F R2 F'
F' L2 D R' F' R2 F'
F' L2 D R' F2 R2 F'
F' L2 D R2 D R' F'
F' L2 D R2 D' R' F'
F' L2 D R2 D2 R' F'
F' L2 D R2 F R' F'
F' L2 D R2 F' R' F'
F' L2 D R2 F2 R' F'
F' L2 D F R F' R
F2 L2 D U' R B U
F2 L2 D F D R F'
F' L2 D B R F' B'
F' L2 D B R B' F'
F' L2 D B2 R F' B2
F' L2 D B2 R B2 F'
F' L2 D' L' R F L
F' L2 D' R L' F L
F2 L2 D' U' R B U
F2 L2 D' F D R F'
L2 U L U' F' R F
L2 U L F U L' U2
L2 U L F' U' R D
L2 U L F' U' R D'
L2 U L F' U' R D2
L2 U L F' U' D R
L2 U L F' U' D' R
L2 U L F' U' D2 R
L2 U L F' D U' R
L2 U L F' D' U' R
L2 U L F' D2 U' R
F2 L2 D2 U' R B U
F2 L2 D2 F D R F'
L2 U L' F' L2 U' R
F2 L2 F D R D F'
F2 L2 F D R D' F'
F2 L2 F D R D2 F'
F2 L2 F D R F' D
F2 L2 F D R F' D'
F2 L2 F D R F' D2
L2 U L2 D' L' F U'
F' L2 F' U' R B U
U L2 F' L U' L' R
U L2 F' L U' R L'
B' L2 F' B D' R F'
B2 L2 F' B2 R D' F2
F' L2 B D R F' B'
F' L2 B D R B' F'
F' L2 B D B' R F'
B' L2 B F' D' R F'
F' L2 B' D B R F'
R' U D' L' F B2 U'
R' U D' L' B2 F U'
L2 U D' L U2 B' U
L2 U D' L' F L2 U'
R2 U D' L' F B2 U'
R2 U D' L' B2 F U'
R' U D' B2 L' F U'
B2 L2 B2 F' R D' F2
R U D' L' F B2 U'
R U D' L' B2 F U'
F' R L D' L' F L2
F' R L F L D F2
R2 U D' B2 L' F U'
R U D' B2 L' F U'
F' R L' D' L' D F
F' R L' D' L' D' F
F' R L' D' L' D2 F
F' R L' D' L' F D
F' R L' D' L' F D'
F' R L' D' L' F D2
D' R L' F B2 U' B2
L2 U F L U L2 U2
L2 U F L U' D2 R2
L2 U F L D F2 U'
L2 U F L D2 U' R2
D' R L' B2 F U' B2
F' R L2 D R F' R'
F' R L2 D' L' F L
F' R L2 F U L' U'
F' R L2 F' U' R U
L2 U F' L U' R D
L2 U F' L U' R D'
L2 U F' L U' R D2
L2 U F' L U' D R
L2 U F' L U' D' R
L2 U F' L U' D2 R
L2 U F' L D U' R
L2 U F' L D' U' R
L2 U F' L D2 U' R
D' R U L' F B2 U'
D' R U L' B2 F U'
L U F' L2 U' L' R
L U F' L2 U' R L'
L2 U F' D L U' R
L2 U F' D' L U' R
L2 U F' D2 L U' R
L2 U F2 L F U' R
D' R U B2 L' F U'
F' R U' F' R U L2
F' R D' L D L2 F
F' R D' L' D F L2
F' R D' L' F D L2
F' R F L D L F2
F' R F L D F2 L
F' R F L2 U L U'
F' R F U L' U' L'
F' R F' L2 U' R U
F' R F' U' R U L2
F R F2 L2 D R F'
D' R B2 L' F U' B2
L2 U' D B2 R' B U
D' R' L' F B2 U' B2
D' R' L' B2 F U' B2
F2 R' L2 D' F R F
L' U' F' U R F L'
F2 R' L2 F D' R F2
F2 R' L2 F' D' F2 R
D' R' U L' F B2 U'
D' R' U L' B2 F U'
D' R' U B2 L' F U'
D R' U' F2 B R U
D R' U' B F2 R U
L2 U' B' U R' F' R
L2 U' B2 D R' B U
F2 R' F L2 D' R F2
F R' F2 L2 D R F'
D R' F2 B R U B'
D R' B F2 R U B'
D' R' B2 L' F U' B2
F' R2 L' D' L' R' F
F' R2 L' D' L' F R'
F' R2 L' D' R' L' F
D' R2 L' F B2 U' B2
D' R2 L' B2 F U' B2
F' R2 L2 D R F' R2
F' R2 L2 F' R' D' F2
F2 R2 L2 F R D' F2
D' R2 U L' F B2 U'
D' R2 U L' B2 F U'
D' R2 U B2 L' F U'
L D L F' D' F' R
F2 R2 F L2 R D' F2
F2 R2 F R L2 D' F2
F' R2 F' L2 R' D' F2
F' R2 F' R' L2 D' F2
L2 D R U L F' U'
L2 D R U F' L U'
D R2 F2 R B U B'
F R2 F2 L2 D R F'
D' R2 B2 L' F U' B2
L2 D U' B2 R' B U
D' U L' D F U' L2
D' U L' F U' D L2
D' U L' F D U' L2
D' U L' F B2 U' D
D' U L' F B2 U' D'
D' U L' F B2 U' D2
D' U L' F B2 D U'
D' U L' F B2 D' U'
D' U L' F B2 D2 U'
D' U L' B2 D F U'
D' U L' B2 D' F U'
D' U L' B2 D2 F U'
D' U L' B2 F U' D
D' U L' B2 F U' D'
D' U L' B2 F U' D2
D' U L' B2 F D U'
D' U L' B2 F D' U'
D' U L' B2 F D2 U'
L D F' L D' F' R
L D F' D' L F' R
L D F' D' F' L R
L D F' D' F' R L
U' D R' F2 B R U
U' D R' B F2 R U
U' D R2 F2 R B U
U' D F2 R U2 F' U'
L' D' L' U F L U'
U' D F2 R' B R2 U
R' D' L' F B2 U' B2
R' D' L' B2 F U' B2
D' U B L' F B U'
D' U B L' B F U'
R2 D' L' F B2 U' B2
R2 D' L' B2 F U' B2
R D' L' F B2 U' B2
R D' L' B2 F U' B2
D' U B2 L' D F U'
D' U B2 L' D' F U'
D' U B2 L' D2 F U'
D' U B2 L' F U' D
D' U B2 L' F U' D'
D' U B2 L' F U' D2
D' U B2 L' F D U'
D' U B2 L' F D' U'
D' U B2 L' F D2 U'
R' D' U L' F B2 U'
R' D' U L' B2 F U'
R' D' U B2 L' F U'
U' D' L' F B2 R' U'
D' U' L' F B2 R' U'
L2 D' U L U2 B' U
L2 D' U L' F L2 U'
U' D' L' B2 R' F U'
D' U' L' B2 R' F U'
R2 D' U L' F B2 U'
U' D' L' B2 F R' U'
U' D' L' B2 F R' U'
D' U' L' B2 F R' U'
R2 D' U L' B2 F U'
R2 D' U B2 L' F U'
R D' U L' F B2 U'
R D' U L' B2 F U'
U D' L' D F U' L2
U D' L' F U' D L2
U D' L' F D U' L2
U D' L' F B2 U' D
U D' L' F B2 U' D'
U D' L' F B2 U' D2
U D' L' F B2 D U'
U D' L' F B2 D' U'
U D' L' F B2 D2 U'
U D' L' B2 D F U'
