B R U2 L U' L'
B' R' D' F2 U R2
B' R' B2 U D2 L2
B' R' B2 U' R2 U2
B' R' B2 D' F2 U
B' R' B2 D2 U L2
B' R2 B2 R U L
B U L' D F2 L'
B U F2 L' D F2
B U' R U' L U'
B U' R U' L U'
B U2 L U R U2
F2 B U L' D F2
F2 B U2 L U' L2
F2 B' R' B2 U L'
B' F2 R' B2 U L'
B F2 U L' D F2
B F2 U2 L U' L2
U' L' R D B' L U2
F2 L' U' L B U F
B L' D L U F2 L'
U' L' B' R U B2 U
U' L' B' R U2 D' R2
U' L' B' R D L2 U2
U' L' B' R D' U2 R2
U' L' B' D L2 R U2
U' L' B' D R L2 U2
U' L' B' D' R U2 R
B L2 F2 L2 R U L
B L2 F2 R L2 U L
R U R' B U F' B'
R U R' B U B' F'
U' R L' D B' L U2
B' R U R2 B2 U B2
U' R U B' R' B U
B' R U B2 R2 U B2
B R U2 L U' L' D
B R U2 L U' L' D'
B R U2 L U' L' D2
B R U2 L U' D L'
B R U2 L U' D' L'
B R U2 L U' D2 L'
B R U2 L D U' L'
B R U2 L D' U' L'
B R U2 L D2 U' L'
B R U2 L B U' L'
B R U2 L B' U' L'
U' R U2 D' R' F' R
B R U2 L B2 U' L'
B R U2 D L U' L'
B R U2 D' L U' L'
B R U2 D2 L U' L'
U' R D L' B' L U2
U' R D B U2 R' F'
U' R D B' L U2 F
B R D U2 L U' L'
R' U' L R2 U2 F R
U' R D' U2 R' F' R
U R D B U2 R' B'
B R D' U2 L U' L'
R' U' L' R2 B' U2 R'
B R D2 U2 L U' L'
R' U' L' B' R2 U2 R
B R F U2 L U' L'
B R F' U2 L U' L'
B R F2 U2 L U' L'
R' U' R2 L U2 F R
R' U' R2 L' B' U2 R'
R' U' R2 B L U2 F
R' U' R2 B' U2 R' F'
F2 R B' R' B U L'
B2 R B' U2 L U' L'
B' R B2 R2 U D2 L2
B' R B2 R2 U' R2 U2
B' R B2 R2 D' F2 U
B' R B2 R2 D2 U L2
B' R' U D' R2 D' L2
B' R' U D2 L2 D R2
R' U' B L R2 U2 F
B' R' U' R2 U B2 U
B' R' U' R2 U2 D' R2
B' R' U' R2 D L2 U2
B' R' U' R2 D' U2 R2
R' U' B R2 L U2 F
B R' U' R2 U' L U'
B' R' U2 D2 F2 U' L2
B R' U2 L U R2 U2
B R' U2 L U' D2 L2
B R' U2 L D B2 U'
B R' U2 L D2 U' L2
B R' U2 D L B2 U'
B R' U2 D2 L U' L
B R' D U2 L B2 U'
B' R' D' U R2 D' L2
B' R' D' F2 U R2 D
B' R' D' F2 U R2 D'
B' R' D' F2 U R2 D2
B' R' D' F2 D B2 U
B' R' D' F2 B U R2
B' R' D' F2 B' U R2
B' R' D' F2 B2 U R2
B' R' D' B F2 U R2
B' R' D' B' F2 U R2
B' R' D' B2 F2 U R2
B R' D' F2 U2 L U'
B' R' D2 U L2 D R2
B' R' D2 U2 F2 U' L2
B R' D2 U2 L U' L
B' R' F D' F2 U R2
B' R' F B2 U D2 L2
B' R' F B2 U' R2 U2
B' R' F B2 D' F2 U
B' R' F B2 D2 U L2
B' R' F' D' F2 U R2
B' R' F' B2 U D2 L2
B' R' F' B2 U' R2 U2
B' R' F' B2 D' F2 U
B' R' F' B2 D2 U L2
B' R' F2 D' F2 U R2
B' R' F2 B2 U D2 L2
B' R' F2 B2 U' R2 U2
B' R' F2 B2 D' F2 U
B' R' F2 B2 D2 U L2
B2 R' B R' B2 U L
B' R' B D' F2 B U
B' R' B D' B F2 U
B' R' B D2 B U L2
