L U F R F2 U B
L U F' U2 L' U' B'
F' R U' L F B U2
F' R U' L B F U2
R U' L F B U2 L
R U' L B F U2 L
F' R' U' L F U2 F2
B2 R' D L F' B' L
B2 R' D L B' L F'
B2 R' D L B' F' L
B2 R' D F' L B' L
B2 R' D F' B' L B'
B2 R' D B' L F' B'
B2 R' D B' L B' F'
B2 R' D B' F' L B'
B2 R' F' D L B' L
B2 R' F' D B' L B'
B2 R2 B R' U' R2 F'
U2 F' L' U' L2 U2 F
U2 F' L' U' B' L2 U2
L2 F' R' U F' R B
L F2 U F R U B
B2 F D' L2 R' F' B
B2 F D' L2 R' B F'
B2 F D' R' L2 F' B
B2 F D' R' L2 B F'
B2 F D' R' F' L2 B
B2 F D' R' F' B L2
B2 F D' R' B L2 F'
B2 F D' R' B F' L2
F B2 D' L2 R' F' B
F B2 D' L2 R' B F'
F B2 D' R' L2 F' B
F B2 D' R' L2 B F'
F B2 D' R' F' L2 B
F B2 D' R' F' B L2
F B2 D' R' B L2 F'
F B2 D' R' B F' L2
