L R B' U B L
R L B' U B L
L2 U' R F U R
F2 U B' L' F U'
U F2 B' L' F U'
F2 B' L' F U' B
U B' F2 L' F U'
B' F2 L' F U' B
L R D B' U B L
R L D B' U B L
L R D' B' U B L
R L D' B' U B L
B' L U2 B' R U B2
L R D2 B' U B L
R L D2 B' U B L
L2 R F L' B' U B
L2 R F B U B' R'
L R F B' U B L
R L F B' U B L
L R F' B' U B L
R L F' B' U B L
L R F2 B' U B L
R L F2 B' U B L
L2 R B F U B' R'
L R B' L F U B
R L B' L F U B
L R B' U L B L
L R B' U L' B L
L R B' U L2 B L
L R B' U D B L
L R B' U D' B L
L R B' U D2 B L
L R B' U B L D
L R B' U B L D'
L R B' U B L D2
L R B' U B D L
L R B' U B D' L
L R B' U B D2 L
R L B' U L B L
R L B' U L' B L
R L B' U L2 B L
R L B' U D B L
R L B' U D' B L
R L B' U D2 B L
R L B' U B L D
R L B' U B L D'
R L B' U B L D2
R L B' U B D L
R L B' U B D' L
R L B' U B D2 L
L R B' D U B L
L R B' D' U B L
R L B' D U B L
L R B' D2 U B L
R L B' D' U B L
L R B' F U B L
R L B' D2 U B L
L R B' F' U B L
R L B' F U B L
L R B' F2 U B L
R L B' F' U B L
R L B' F2 U B L
F' L B' U B L F
L2 R' U' R2 F U R
L2 R' U' F R2 U R'
B' L' F2 L' F' U' B
R' L2 U' R2 F U R
R' L2 U' F R2 U R'
L2 R2 U' R' F U R
R2 L2 U' R' F U R
L2 R2 U' F R' U R2
R2 L2 U' F R' U R2
R L2 F L' B' U B
R L2 F B U B' R'
U L2 U2 R F B U
U L2 U2 R B F U
R L2 B F U B' R'
D2 R U F' B' U' F
D2 R U B' F' U' F
F2 R U B' L' F U'
R U B' L' F U' F'
L2 U' R D F U R
L2 U' R D' F U R
L2 U' R D2 F U R
L2 U' R F U R D
L2 U' R F U R D'
L2 U' R F U R D2
L2 U' R F U D R
L2 U' R F U D' R
L2 U' R F U D2 R
L2 U' R F D U R
L2 U' R F D' U R
L2 U' R F D2 U R
L2 U' R F B U R
L2 U' R F B' U R
L2 U' R F B2 U R
L2 U' R B F U R
L2 U' R B' F U R
L2 U' R B2 F U R
L U' R F' B' U L'
L U' R B' F' U L'
L2 U' R' F R2 U R'
L2 U' R2 F R' U R2
F2 R B' L' F U' B
L2 U' D R F U R
L2 U' D' R F U R
L2 U' D2 R F U R
L2 U' F U D R F'
L2 U' F D U R F'
F2 R' U B' L' F U'
L2 U' B R F U R
L2 U' B' R F U R
L U' B' R F' U L'
L2 U' B2 R F U R
F2 R' B' L' F U' B
F2 R2 U B' L' F U'
L D R B' U B L
F2 R2 B' L' F U' B
L2 D U' R F U R
F2 U L' D F U' L'
F U F B' L' F U'
F2 U B L' F B2 U'
F2 U B L' B2 F U'
L D' R B' U B L
F2 U B' L' D F U'
F2 U B' L' D' F U'
F2 U B' L' D2 F U'
F2 U B' L' F U' D
F2 U B' L' F U' D'
F2 U B' L' F U' D2
F2 U B' L' F D U'
F2 U B' L' F D' U'
F2 U B' L' F D2 U'
F U B' L' F L' U'
F2 U B2 L' F B U'
F2 U B2 L' B F U'
L2 D' U' R F U R
F U B' F L' F U'
D2 U' R U2 F' B' U'
D2 U' R U2 B' F' U'
B' U' D' B R' D' F2
L D2 R B' U B L
U' D2 R U2 F' B' U'
U' D2 R U2 B' F' U'
L2 D2 U' R F U R
B' U2 L B' R U B2
R F L B' U B L
U F B' L' F L' U'
R F' L B' U B L
B' D' U' B R' D' F2
L F' B' U B L F
B' D' F' U' B R' F'
R F2 L B' U B L
U F2 L' D F U' L'
B' D' F2 L' U' B R'
U' F2 U2 B' L' F U'
U F2 B L' F B2 U'
U F2 B L' B2 F U'
U F2 B' L' D F U'
U F2 B' L' D' F U'
U F2 B' L' D2 F U'
U F2 B' L' F U' D
U F2 B' L' F U' D'
U F2 B' L' F U' D2
U F2 B' L' F D U'
U F2 B' L' F D' U'
