U2 L F B U2 L2
F2 L B R U2 B
U2 L B U2 L2 B'
U2 L B F U2 L2
U2 L' D2 R2 F' B'
U2 L' D2 R2 B' F'
U2 L' B' D2 R2 F2
U2 L' B' D2 F2 R2
B R U2 L' B R'
B R U2 B L' R'
B R U2 B R' L'
L' D2 R B R F'
B U2 L' B R' B2
B U2 B L' R' B'
B U2 B R' L' B'
B U2 B2 L' B' R'
L B R U2 L2 B
L B R U2 B L2
L B R' F' U2 L2
L B U2 L' B' L'
F2 B R U2 B R'
R2 B2 L' F' R' B
B F2 R U2 B R'
B L R U2 L2 B R'
B L R U2 B L2 R'
B L R U2 B R' L2
B L R B L2 R' F
B L R B L2 F R'
B L R B R' L2 F
F' L R' F' R B U2
U2 L R2 U2 L2 F' B'
U2 L R2 U2 L2 B' F'
U2 L R2 F U2 L2 F2
U2 L R2 F U2 F2 L2
U2 L U2 L2 B' D2 F2
U2 L U2 B2 L2 F B'
U2 L U2 B2 L2 B' F
F2 L D B R U2 B
R' L F' R B U2 L2
R' L F' R' U2 L2 F'
R' L F' R' U2 F' L2
F2 L D' B R U2 B
R' L F' U2 L F L
U2 L D2 R2 F U2 F2
L2 R F2 L B R F'
U2 L D2 F R2 U2 F'
U2 L D2 F B R2 U2
F' L D2 B R' F' U2
F2 L D2 B R U2 B
U2 L D2 B R2 F U2
U2 L D2 B F R2 U2
U2 L F R2 U2 L2 F'
U2 L F R2 U2 F' L2
L' R B R D2 F' R2
L' R B R F' D2 R2
L' R B R' D2 R2 F'
U2 L F D2 R2 U2 F'
F' L F B U2 L' B'
U2 L F D2 B R2 U2
U2 L F B R U2 L2
U2 L F B R' U2 L2
U2 L F B R2 U2 L2
U2 L F B U2 L2 D
U2 L F B U2 L2 D'
U2 L F B U2 L2 D2
U2 L F B D2 R2 U2
F L F B R U2 B
U2 L F B2 U2 L2 F
F' L F' B R U2 B
F L F' B U2 L' B'
F2 L F2 B U2 L' B'
D2 L B R U2 L2 B
D2 L B R U2 B L2
D' L B R U2 L2 B
D' L B R U2 B L2
D2 L B R' F' U2 L2
D' L B R' F' U2 L2
F2 L B R U2 D B
F' L B R' F' R U2
F2 L B R U2 D' B
F2 L B R U2 D2 B
F2 L B R U2 B D
F2 L B R U2 B D'
F2 L B R U2 B D2
F2 L B R D U2 B
F2 L B R D' U2 B
F2 L B R D2 U2 B
U2 L B R U2 L2 B'
F2 L B R F U2 B
F2 L B R F' U2 B
F2 L B R F2 U2 B
D L B R U2 L2 B
D L B R U2 B L2
U2 L B R F U2 L2
U2 L B R' U2 L2 B'
F2 L B R' F' R2 U2
F L B R U2 B L
U2 L B R' F U2 L2
D L B R' F' U2 L2
U2 L B R2 U2 L2 B'
U2 L B R2 F U2 L2
U' L B U L U L
F L B R' F' U2 L'
D2 L B U2 L' B' L'
D' L B U2 L' B' L'
U2 L B U2 L2 D B'
U2 L B U2 L2 D' B'
U2 L B U2 L2 D2 B'
U2 L B U2 L2 B' D
U2 L B U2 L2 B' D'
U2 L B U2 L2 B' D2
D L B U2 L' B' L'
U2 L B U2 B L2 B'
U2 L B U2 B' L2 B'
U2 L B U2 B2 L2 B'
F2 L B D R U2 B
F2 L B D' R U2 B
F' L B F U2 L' B'
F2 L B D2 R U2 B
F' L B F' R U2 B
U2 L B D2 R2 F U2
U2 L B D2 F R2 U2
U2 L B F R U2 L2
U2 L B F R' U2 L2
U2 L B F R2 U2 L2
U2 L B F U2 L2 D
U2 L B F U2 L2 D'
U2 L B F U2 L2 D2
U2 L B F D2 R2 U2
F L B F R U2 B
F2 L B F2 U2 L' B'
F L B F' U2 L' B'
F2 L B' R B2 U2 B'
F2 L B2 R B' U2 B2
U2 L B2 U2 L2 F B'
U2 L B2 U2 L2 B' F
U2 L B2 F U2 L2 F
U2 L' R2 D2 F' R2 B'
U2 L' R2 D2 F' B' R2
U2 L' R2 D2 B' F' R2
U2 L' R2 F' D2 R2 B'
U2 L' R2 F' D2 B' R2
U2 L' R2 F' B' D2 R2
U2 L' R2 B' D2 F' R2
U2 L' R2 B' F' D2 R2
R' L' D2 R' F' R' B
L' R' D2 R' F' R' B
U2 L' U2 L2 F B U2
U2 L' U2 L2 B F U2
R2 L' F' R D2 R2 B
L R' F' R B U2 L2
L R' F' R' U2 L2 F'
R2 L' F' R' D2 B R2
L R' F' R' U2 F' L2
R2 L' F' R' B D2 R2
L R' F' U2 L F L
U2 L' U2 B L2 U2 B2
R L' B R D2 F' R2
R L' B R F' D2 R2
R L' B R' D2 R2 F'
D2 L' D2 R B R F'
D' L' D2 R B R F'
U2 L' D2 R B' R F'
B2 L' D2 R F' B R2
B2 L' D2 R B F' R2
D L' D2 R B R F'
U2 L' D2 R2 D F' B'
U2 L' D2 R2 D B' F'
U2 L' D2 R2 D' F' B'
U2 L' D2 R2 D' B' F'
U2 L' D2 R2 D2 F' B'
U2 L' D2 R2 D2 B' F'
U2 L' D2 R2 F' D B'
U2 L' D2 R2 F' D' B'
U2 L' D2 R2 F' D2 B'
U2 L' D2 R2 F' B' D
U2 L' D2 R2 F' B' D'
U2 L' D2 R2 F' B' D2
U2 L' D2 R2 B' D F'
U2 L' D2 R2 B' D' F'
U2 L' D2 R2 B' D2 F'
U2 L' D2 R2 B' F' D
U2 L' D2 R2 B' F' D'
U2 L' D2 R2 B' F' D2
U2 L' D2 F R2 F' B'
U2 L' D2 F R2 B' F'
U2 L' D2 F' R2 F' B'
U2 L' D2 F' R2 B' F'
U2 L' D2 F2 R2 F' B'
U2 L' D2 F2 R2 B' F'
U2 L' D2 B' R2 D2 F2
U2 L' F D2 R2 F' B'
U2 L' F D2 R2 B' F'
U2 L' F B' D2 R2 F2
U2 L' F B' D2 F2 R2
U2 L' F' D2 R2 F' B'
U2 L' F' D2 R2 B' F'
U2 L' F' B' D2 R2 F2
U2 L' F' B' D2 F2 R2
U2 L' F2 D2 R2 F' B'
U2 L' F2 D2 R2 B' F'
U2 L' F2 B' D2 R2 F2
U2 L' F2 B' D2 F2 R2
F2 L' B L2 R U2 B
U2 L' B L2 U2 L2 B2
U2 L' B L2 U2 B2 L2
F2 L' B R L2 U2 B
U2 L' B' R D2 R2 F2
U2 L' B' R D2 F2 R2
U2 L' B' R' D2 R2 F2
U2 L' B' R' D2 F2 R2
U2 L' B' R2 D2 R2 F2
U2 L' B' R2 D2 F2 R2
U2 L' B' U2 L2 B2 U2
U2 L' B' U2 B2 L2 U2
U2 L' B' D2 R' F2 R'
U2 L' B' D2 R2 F2 D
U2 L' B' D2 R2 F2 D'
U2 L' B' D2 R2 F2 D2
U2 L' B' D2 F R2 F
U2 L' B' D2 F2 R2 D
U2 L' B' D2 F2 R2 D'
U2 L' B' D2 F2 R2 D2
U2 L' B' F D2 R2 F2
U2 L' B' F D2 F2 R2
U2 L' B' F' D2 R2 F2
U2 L' B' F' D2 F2 R2
U2 L' B' F2 D2 R2 F2
U2 L' B' F2 D2 F2 R2
B L2 R U2 L B R'
B2 L2 R F L B R2
B2 L2 R' F L D2 B2
B2 L2 R' F D2 L B2
L' R2 F' R D2 R2 B
L' R2 F' R' D2 B R2
L' R2 F' R' B D2 R2
R L2 F2 L B R F'
B2 L2 F L R B R2
B2 L2 F R L B R2
F2 L2 B L' R U2 B
F2 L2 B R L' U2 B
B R L U2 L2 B R'
B R L U2 B L2 R'
B R L U2 B R' L2
B R L B L2 R' F
B R L B L2 F R'
B R L B R' L2 F
B R L2 U2 L B R'
B2 R L2 F L B R2
B R U2 L B L2 R'
B R U2 L B R' L2
B R U2 L' B R' D
B R U2 L' B R' D'
B R U2 L' B R' D2
B R U2 L' B D R'
B R U2 L' B D' R'
B R U2 L' B D2 R'
B R U2 B L' R' D
B R U2 B L' R' D'
B R U2 B L' R' D2
B R U2 B L' D R'
B R U2 B L' D' R'
B R U2 B L' D2 R'
B R U2 B R' L' D
B R U2 B R' L' D'
B R U2 B R' L' D2
B R U2 B R' D L'
B R U2 B R' D' L'
B R U2 B R' D2 L'
B R U2 B D L' R'
B R U2 B D R' L'
B R U2 B D' L' R'
B R U2 B D' R' L'
B R U2 B D2 L' R'
B R U2 B D2 R' L'
R2 U B2 L' F' R' B
F2 R D2 L B' U2 B2
B R F U2 B L R'
B R F U2 B R' L
B' R B L' D2 R2 F'
B2 R B L' R2 D2 F2
B2 R B R2 L' D2 F2
B2 R B R2 D2 L' F2
B R B L2 R' F L
B R B L2 F L R'
B R B L2 F R' L
B R B R' L2 F L
B2 R B D2 L' F2 R
B2 R B' U2 L' R2 B2
B2 R B' U2 L' B2 R2
B2 R B' U2 R2 L' B2
B2 R B' U2 R2 B2 L'
B2 R B' U2 B2 L' R2
B2 R B' U2 B2 R2 L'
B2 R B2 R2 B' L' F'
F' R' L F' R B U2
B2 R' L2 F L D2 B2
B2 R' L2 F D2 L B2
B R' U2 L' R2 B R'
B R' U2 R2 L' B R'
B R' U2 R2 B L' R'
B R' U2 R2 B R' L'
R2 U' B2 L' F' R' B
R' U2 L F' U2 L2 F2
R' U2 L F' U2 F2 L2
L' U2 L F L B U2
L' U2 L' B L' U2 B2
L2 U2 L' B U2 L2 B2
L2 U2 L' B U2 B2 L2
F' R' F' L R B U2
L U2 L' B' L' D2 F2
F' R' F' R L B U2
L U2 L' B' D2 L' F2
U2 R' B' L' B' R' F'
U2 R' B2 L' R' F' B'
U2 R' B2 L' R' B' F'
U2 R' B2 R' L' F' B'
U2 R' B2 R' L' B' F'
U2 R2 L U2 L2 F' B'
U2 R2 L U2 L2 B' F'
U2 R2 L F U2 L2 F2
U2 R2 L F U2 F2 L2
U2 R2 L' D2 F' R2 B'
U2 R2 L' D2 F' B' R2
U2 R2 L' D2 B' F' R2
R' U2 F' L U2 F L'
U2 R2 L' F' D2 R2 B'
U2 R2 L' F' D2 B' R2
U2 R2 L' F' B' D2 R2
U2 R2 L' B' D2 F' R2
U2 R2 L' B' F' D2 R2
L' U2 B L F L U2
L2 U2 B L' U2 B' L
B R2 U2 L' R' B R'
B R2 U2 L' B R' B
B R2 U2 R' L' B R'
B R2 U2 R' B L' R'
B R2 U2 R' B R' L'
B R2 U2 B L' R' B
B R2 U2 B R' L' B
B R2 U2 B R' B L'
R2 U2 B2 L' F' R' B
L U2 B2 L' B' L' F
F2 R2 F' B2 L R' B
F2 R2 F' B2 R' L B
F R2 F' B2 L' R' B
F R2 F' B2 R' L' B
F R2 F' B2 R' B L'
U2 R2 B' L' F' B' R'
U2 R2 B' L' B' F' R'
D' R2 B2 L' F' R' B
D2 R2 B2 L' F' R' B
F2 R2 B2 L F' R' B
U2 R2 B2 L' F' R' B'
D R2 B2 L' F' R' B
F2 R2 B2 F' L R' B
F2 R2 B2 F' R' L B
F R2 B2 F' L' R' B
F R2 B2 F' R' L' B
F R2 B2 F' R' B L'
U2 D L F B U2 L2
U2 D L B U2 L2 B'
U2 D L B F U2 L2
U2 D L' D2 R2 F' B'
U2 D L' D2 R2 B' F'
U2 D L' B' D2 R2 F2
U2 D L' B' D2 F2 R2
B U B U L' R' B'
B U B U R' L' B'
U2 D' L F B U2 L2
