L D' R F' B'
L D' R B' F'
L D' B' R F'
L2 R D L' F B'
L2 R D L' B' F
U2 L D' R F' B'
U2 L D' R B' F'
U' L D' R F' B'
U' L D' R B' F'
U L D' R F' B'
U L D' R B' F'
U2 L D' B' R F'
U' L D' B' R F'
U L D' B' R F'
L R B' U L U'
R L B' U L U'
R L B' U L U'
R L2 D L' F B'
R L2 D L' B' F
D' R D L F' B'
D' R D L B' F'
D' R D F' L B'
D' R F' D L B'
L2 D L' R F B'
L2 D L' R B' F
L2 D L' B' R F
L2 D R L' F B'
L2 D R L' B' F
L D B' D2 R F'
L2 D' L' R F' B'
L2 D' L' R B' F'
L2 D' L' R B' F'
L2 D' L' B' R F'
L2 D' R L' F' B'
L2 D' R L' B' F'
L D' R D F' B'
L D' R D B' F'
L D' R D' F' B'
L D' R D' B' F'
L D' R D2 F' B'
L D' R D2 B' F'
L D' R F' D B'
L D' R F' D' B'
L D' R F' D2 B'
L D' R F' B' D
L D' R F' B' D'
L D' R F' B' D2
L D' R B' D F'
L D' R B' D' F'
L D' R B' D2 F'
L D' R B' F' D
L D' R B' F' D'
L D' R B' F' D2
L D' B R F' B2
L D' B R B2 F'
L D' B' R D F'
L D' B' R D' F'
L D' B' R D2 F'
L D' B' R F' D
L D' B' R F' D'
L D' B' R F' D2
L D2 B' D R F'
L B R B2 D' F2
L B' R U L U'
L B' U L U' R
U' L R B' U L U'
U2 L R B' U L U'
B L R B' L D' F2
B L R B' D' L F2
B L R B' D' F2 L
U L R B' U L U'
B L R' U R2 B' L
B L R' U B' L R2
B L R' U B' R2 L
D' L R2 D' R' F' B
D' L R2 D' R' B F'
L2 R D L' D F B'
L2 R D L' D B' F
L2 R D L' D' F B'
L2 R D L' D' B' F
L2 R D L' D2 F B'
L2 R D L' D2 B' F
L2 R D L' F D B'
L2 R D L' F D' B'
L2 R D L' F D2 B'
L2 R D L' F B' D
L2 R D L' F B' D'
L2 R D L' F B' D2
L2 R D L' B' D F
L2 R D L' B' D' F
L2 R D L' B' D2 F
L2 R D L' B' F D
L2 R D L' B' F D'
L2 R D L' B' F D2
L R D L' F L B'
R L D L' F L B'
L2 R D B L' F B'
L2 R D B L' B' F
L2 R D B' L' F B'
L2 R D B' L' B' F
L R D B' L' F L
L2 R D B2 L' F B'
L2 R D B2 L' B' F
R L D B' L' F L
R2 L D' R F' R2 B'
R2 L D' R F' B' R2
R2 L D' R B' F' R2
L R D' R F' R' B'
R2 L D' R' B' D2 F2
R L D' R F' R' B'
L R D' B' R F' R'
R L D' B' R F' R'
U' L D B' D2 R F'
U2 L D B' D2 R F'
U L D B' D2 R F'
U' L D' R D F' B'
U' L D' R D B' F'
U' L D' R D' F' B'
U' L D' R D' B' F'
U' L D' R D2 F' B'
U' L D' R D2 B' F'
U2 L D' R D F' B'
U2 L D' R D B' F'
U2 L D' R D' F' B'
U' L D' R F' D B'
U2 L D' R D' B' F'
U' L D' R F' D' B'
U' L D' R F' D2 B'
U' L D' R F' B' D
U' L D' R F' B' D'
U' L D' R F' B' D2
U2 L D' R D2 F' B'
U2 L D' R D2 B' F'
U2 L D' R F' D B'
U2 L D' R F' D' B'
U2 L D' R F' D2 B'
U' L D' R B' D F'
U' L D' R B' D' F'
U2 L D' R F' B' D
U2 L D' R F' B' D'
U2 L D' R F' B' D2
U' L D' R B' D2 F'
U' L D' R B' F' D
U' L D' R B' F' D'
U' L D' R B' F' D2
U2 L D' R B' D F'
U2 L D' R B' D' F'
U2 L D' R B' D2 F'
U2 L D' R B' F' D
U2 L D' R B' F' D'
U2 L D' R B' F' D2
L R F B' U L U'
U L D' R D F' B'
U L D' R D B' F'
U L D' R D' F' B'
U L D' R D' B' F'
U L D' R D2 F' B'
U L D' R D2 B' F'
U L D' R F' D B'
U L D' R F' D' B'
U L D' R F' D2 B'
U L D' R F' B' D
U L D' R F' B' D'
U L D' R F' B' D2
U L D' R B' D F'
U L D' R B' D' F'
U L D' R B' D2 F'
U L D' R B' F' D
U L D' R B' F' D'
U L D' R B' F' D2
F' L D' F R F' B'
F' L D' F R B' F'
R L F B' U L U'
F' L D' F B' R F'
U' L D' B R F' B2
U' L D' B R B2 F'
U2 L D' B R F' B2
U2 L D' B R B2 F'
F' L D' B' F R F'
U' L D' B' R D F'
U' L D' B' R D' F'
U' L D' B' R D2 F'
U' L D' B' R F' D
U' L D' B' R F' D'
U' L D' B' R F' D2
U2 L D' B' R D F'
U2 L D' B' R D' F'
U2 L D' B' R D2 F'
U2 L D' B' R F' D
U2 L D' B' R F' D'
U2 L D' B' R F' D2
U L D' B R F' B2
U L D' B R B2 F'
U L D' B' R D F'
U L D' B' R D' F'
U L D' B' R D2 F'
U L D' B' R F' D
U L D' B' R F' D'
U L D' B' R F' D2
L R F' B' U L U'
R L F' B' U L U'
U2 L D2 B' D R F'
U' L D2 B' D R F'
U L D2 B' D R F'
L R F2 B' U L U'
R L F2 B' U L U'
F' L F D' R F' B'
F' L F D' R B' F'
F' L F D' B' R F'
L R B U' R' U B2
R L B U' R' U B2
L R B' L' D L F2
L2 R B' L' D F2 B'
L2 R B' L' D B' F2
L R B' L' D F2 L
