R2 L' F U' B R
L' R2 F U' B R
L' U' R2 D B R'
F U F2 L' B' U2
F U' R' F' R2 B
L' F U F2 L' U2
L' F U' R D2 B2
L' F U' D2 R B2
L' F U' D2 B2 R
L' F D R2 U' R'
L' F D2 U' R B2
L' F D2 U' B2 R
F D R2 U' R' F'
L' F2 U F L' U2
F L U F2 L' B' U2
F L U' R' F' R2 B
F L D R2 U' R' F'
L' R F R' U' R2 B
R2 L F L2 U' B R
L' R F R2 U' R' B
U L F' U' L2 F2 U'
U L F' U' F2 L2 U'
U L F' U2 D R2 F2
U L F' U2 D F2 R2
U L F' D U2 R2 F2
U L F' D U2 F2 R2
U L F' D' L2 B2 U2
U L F' D' B2 L2 U2
R' L' U2 B' U R' B
L' R' U2 B' U R' B
R2 L' U2 B' U R' B2
R2 L' D F U' B R
D2 L' R2 F U' B R
D' L' R2 F U' B R
R2 L' D' F U' B R
D L' R2 F U' B R
R2 L' D2 F U' B R
U' L' U F' L' U2 L2
F L' U F2 L' B' U2
R' L' F R' U' B R2
L' R' F R' U' B R2
R' L' F U' R' B R2
D2 L' U' R2 D B R'
D' L' U' R2 D B R'
L' R' F U' R' B R2
R L' F R' U' R2 B
D L' U' R2 D B R'
R L' F R2 U' R' B
F L' U' R' F' R2 B
R2 L' F U' D B R
R2 L' F U' D' B R
R2 L' F U' D2 B R
R2 L' F U' B R D
R2 L' F U' B R D'
R2 L' F U' B R D2
R2 L' F U' B D R
R2 L' F U' B D' R
R2 L' F U' B D2 R
R2 L' F U' B' R B2
R2 L' F U' B2 R B'
R2 L' F D U' B R
R2 L' F D' U' B R
R2 L' F D2 U' B R
R2 L' F' U L' U2 B
R2 L' F2 U' D2 B R'
F L' D R2 U' R' F'
R2 L' F2 D2 U' B R'
D2 L' F U F2 L' U2
D' L' F U F2 L' U2
D2 L' F U' R D2 B2
D' L' F U' R D2 B2
D2 L' F U' D2 R B2
D2 L' F U' D2 B2 R
D' L' F U' D2 R B2
D' L' F U' D2 B2 R
D2 L' F D R2 U' R'
D' L' F D R2 U' R'
D L' F U F2 L' U2
D2 L' F D2 U' R B2
D' L' F D2 U' R B2
D2 L' F D2 U' B2 R
D' L' F D2 U' B2 R
D L' F U' R D2 B2
D L' F U' D2 R B2
D L' F U' D2 B2 R
D L' F D R2 U' R'
D L' F D2 U' R B2
D L' F D2 U' B2 R
D' L' F2 U F L' U2
D2 L' F2 U F L' U2
D L' F2 U F L' U2
L' R2 U2 B' U R' B2
L' R2 D F U' B R
L' R2 D' F U' B R
L' R2 D2 F U' B R
L2 R2 F L U' B R
R2 L2 F L U' B R
L' R2 F U' D B R
L' R2 F U' D' B R
L' R2 F U' D2 B R
L' R2 F U' B R D
L' R2 F U' B R D'
L' R2 F U' B R D2
L' R2 F U' B D R
L' R2 F U' B D' R
L' R2 F U' B D2 R
L' R2 F U' B' R B2
L' R2 F U' B2 R B'
L R2 F L2 U' B R
L' R2 F D U' B R
L' R2 F D' U' B R
L' R2 F D2 U' B R
L' R2 F' U L' U2 B
L' R2 F2 U' D2 B R'
L' R2 F2 D2 U' B R'
F L2 U F2 L' B' U2
F L2 U' R' F' R2 B
F L2 D R2 U' R' F'
L' U L F' U' F2 U'
L' U L F' U2 D R2
L' U L F' D U2 R2
L' U L F' D' L2 U2
L' U L' F' U B' U
L' U L2 D F' U2 R
L' U F' L U' F U'
L' U F' L' U B' U
L' U F' U B' U R'
L' U F' U' F U' R
F2 R U F L' U2 F'
F2 R U' F L' U2 L
L' U' R U' B L U
L' U' R2 D B R' D
L' U' R2 D B R' D'
L' U' R2 D B R' D2
L' U' R2 D B D R'
L' U' R2 D B D' R'
L' U' R2 D B D2 R'
L U' R2 D F2 B R'
L U' R2 D B R' F2
L U' R2 D B F2 R'
L' U' D R2 D B R'
L' U' D' R2 D B R'
L' U' D2 R2 D B R'
L' U' B R2 D B R'
L' U' B' R2 D B R'
L' U' B2 R2 D B R'
F R' F' L' U' R2 B
D2 R2 L' F U' B R
D' R2 L' F U' B R
D R2 L' F U' B R
F R2 U F2 U2 R' F'
L' U2 B U' L F' U2
L' U2 B U' F' L U2
F R2 U' R' D2 F' B2
F R2 U' R' D2 B2 F'
F R2 U' D2 R' F' B2
F R2 U' D2 R' B2 F'
L' U2 B' U R2 B R
L' U2 B' U' F' U2 R'
L' U2 B2 U R2 B R'
F R2 D2 U' R' F' B2
F R2 D2 U' R' B2 F'
R2 D L' F U' B R
L' D R2 F U' B R
L' D U' R2 D B R'
L' D F U F2 L' U2
L' D F U' R D2 B2
L' D F U' D2 R B2
L' D F U' D2 B2 R
L' D F D R2 U' R'
F U L F2 L' U2 F'
L' D F D2 U' R B2
L' D F D2 U' B2 R
F U L' F2 B' L' U2
F U L' B' F2 L' U2
L' D F2 U F L' U2
F U L2 F2 L' U2 F
F U R D2 B2 L F
F U D2 R B2 L F
R2 D' L' F U' B R
F2 U F D' L' U2 F
F U F2 L' D B' U2
F U F2 L' D' B' U2
F U F2 L' D2 B' U2
F U F2 L' B' U2 D
F U F2 L' B' U2 D'
F U F2 L' B' U2 D2
F U F2 L' B' D U2
F U F2 L' B' D' U2
F U F2 L' B' D2 U2
F U F2 D L' B' U2
F U F2 D' L' B' U2
F U F2 D2 L' B' U2
L' D' R2 F U' B R
F U F2 B L' B' U2
F U F2 B' L' B' U2
F U F2 B2 L' B' U2
F U B F2 L' B' U2
L' D' U' R2 D B R'
F U B' F2 L' B' U2
F U B2 F2 L' B' U2
