U' R2 B L F U2
U F R F2 L' B
U F R F2 B L'
U F R B F2 L'
D' F2 U F R B
U' L R2 F B L U2
U' L R2 B F L U2
B L U F R F2 L'
B L U' R2 B L U2
B L D' F2 U F R
U' L D2 L2 F' B' R'
U' L D2 L2 B' F' R'
U2 L F R U' F2 L'
U L F R F2 L' B
U L F R F2 B L'
U L F R B F2 L'
D' L F2 U F R B
U' L' R2 B L U2 B2
U' L' R2 B U2 B2 R'
D2 L' U' L' F' B' R'
D2 L' U' L' B' F' R'
U' L' D2 F' B' L2 R'
U' L' D2 F' B' R' L2
U' L' D2 B' L2 F' R'
U' L' D2 B' F' L2 R'
U' L' D2 B' F' R' L2
U L' F R F2 L' B
U L' F R F2 B L'
U L' F R B F2 L'
U' L' F' D2 B' L2 R'
U' L' F' D2 B' R' L2
U' L' F' B' D2 L2 R'
U' L' F' B' D2 R' L2
D' L' F2 U F R B
U' L' B' D2 L2 F' R'
U' L' B' D2 F' L2 R'
U' L' B' D2 F' R' L2
U' L' B' F' D2 L2 R'
U' L' B' F' D2 R' L2
U' L2 R2 B L U2 B'
U L2 F R F2 L' B
U L2 F R F2 B L'
U L2 F R B F2 L'
D' L2 F2 U F R B
L' U F R F2 L' B
L' U F R F2 B L'
L' U F R B F2 L'
L2 U F R F2 L' B
L2 U F R F2 B L'
L2 U F R B F2 L'
L U F R F2 L' B
L U F R F2 B L'
L U F R B F2 L'
U' R F2 L' B' R' F'
F R B L U F2 L'
L' U' R2 B L F U2
L2 U' R2 B L F U2
L U' R2 B L F U2
B' R' F' U R' B U2
U R' F' L' R' B U2
U R' F' R' L' B U2
U R' F' R' B L' U2
U' R2 L F B L U2
U' R2 L B F L U2
U' R2 L' B L U2 B2
U' R2 L' B U2 B2 R'
U' R2 L2 B L U2 B'
U' R2 D B L F U2
U' R2 D' B L F U2
U' R2 D2 B L F U2
U' R2 F B L F U2
U' R2 F' B L F U2
U' R2 F2 B L F U2
U' R2 B L D F U2
U' R2 B L D' F U2
U' R2 B L D2 F U2
U' R2 B L F U2 D
U' R2 B L F U2 D'
U' R2 B L F U2 D2
U' R2 B L F D U2
U' R2 B L F D' U2
U' R2 B L F D2 U2
B' R2 B U' R F' U'
U' R2 B D L F U2
U' R2 B D' L F U2
U' R2 B D2 L F U2
U' R2 B F L F U2
U' R2 B F' L F U2
U' R2 B F2 L F U2
U R2 B U2 B' R' B
D2 U L2 F R F2 B
D2 U L2 F R B F2
R2 D B U L U R'
D2 U F L2 R F2 B
D2 U F L2 R B F2
D2 U F R L2 F2 B
D2 U F R L2 B F2
D2 U F R F2 L2 B
D2 U F R F2 B L2
D2 U F R B L2 F2
D2 U F R B F2 L2
F2 U D2 F L2 R B
F2 U D2 F R L2 B
F2 U D2 F R B L2
F2 U F D2 L2 R B
F2 U F D2 R L2 B
F2 U F D2 R B L2
