F L' B U' L' R'
F L' B U' R' L'
B F L' U' L' R'
B F L' U' R' L'
F B L' U' L' R'
F B L' U' R' L'
F2 B U' L2 R' F'
F2 B U' R' L2 F'
F2 B U' R' F' L2
B F2 U' L2 R' F'
B F2 U' R' L2 F'
B F2 U' R' F' L2
B L F L' U' L2 R'
B L F L' U' R' L2
B L F2 U' L R' F'
B L F2 U' R' L F'
B L F2 U' R' F' L
F L' U' L' B R' B'
B L' U' R' D' L' F
B L' U' D' L' R' F
B L' U' D' L' F R'
B L' U' D' R' L' F
F L' U' B R' B' L'
F L' U2 B U L' R'
F L' U2 B U R' L'
B L' D' U' L' R' F
B L' D' U' L' F R'
B L' D' U' R' L' F
D L' D' F L' U' L'
F2 L' B U' L' R' F'
F2 L' B U' R' L' F'
F L' B U' L' R' D
F L' B U' L' R' D'
F L' B U' L' R' D2
F L' B U' L' D R'
F L' B U' L' D' R'
F L' B U' L' D2 R'
F L' B U' R' L' D
F L' B U' R' L' D'
F L' B U' R' L' D2
F L' B U' R' D L'
F L' B U' R' D' L'
F L' B U' R' D2 L'
F L' B U' D L' R'
F L' B U' D R' L'
F L' B U' D' L' R'
F L' B U' D' R' L'
F L' B U' D2 L' R'
F L' B U' D2 R' L'
F L' B D U' L' R'
F L' B D U' R' L'
F L' B D' U' L' R'
F L' B D' U' R' L'
F L' B D2 U' L' R'
F L' B D2 U' R' L'
F L' B' U L U2 L2
F L' B' U' L' D2 R2
B L2 R2 D R F' B2
B L2 R2 D R B2 F'
B L2 R2 D B2 R F'
U' L2 D R D F' R
U' L2 D2 F' D' R F'
B L2 F L' U' L R'
B L2 F L' U' R' L
B R2 L2 D R F' B2
B R2 L2 D R B2 F'
B R2 L2 D B2 R F'
F2 U L' B' L U2 L2
F2 U B U2 L2 R' F'
F2 U B U2 R' L2 F'
F2 U B U2 R' F' L2
F2 U B' L U2 F L
B U' L' R' D' L' F
B' U' L2 D F2 R F'
F2 U' L2 R' D2 F' R
B U' L' D' L' R' F
B U' L' D' L' F R'
B U' L' D' R' L' F
B2 U' L2 D R F' R
B2 U' L2 D F' R F'
F2 U' L2 D2 R' F' R
B U' L2 R2 D R F'
F2 U' L2 B R' F' B'
F2 U' L2 B R' B' F'
B U' L2 D R F' R2
B U' L2 F' R' D' F2
F2 U' R' L2 D2 F' R
B U' R' L' D' L' F
B U' R2 L2 D R F'
B U' F' L2 R' D' F2
B U' F' R' L2 D' F2
F2 U' B R' F' B' L2
F2 U' B R' B' L2 F'
F2 U' B R' B' F' L2
F' U2 R B U L2 R'
F' U2 R B U R' L2
L F L' B U' L2 R'
L F L' B U' R' L2
B U2 F' R U L2 R2
B U2 F' R U R2 L2
F' U2 B R U L2 R2
F' U2 B R U R2 L2
L2 F D L' F U' L
F D L' D' F U' L2
F D L' D2 F B2 U'
F D L' D2 B2 F U'
F D L' F U2 F U
L F D L' F U' L2
L2 F B L' U' L R'
L2 F B L' U' R' L
U2 F' R B U L2 R'
U2 F' R B U R' L2
U2 F' B R U L2 R2
U2 F' B R U R2 L2
B' D' B2 L' U' R' F
B' D' B2 L' U' F R'
B D' B2 U L B' U2
F D' B2 D2 L' F U'
L2 B R2 D R F' B2
L2 B R2 D R B2 F'
L2 B R2 D B2 R F'
L' B U' R' D' L' F
L' B U' D' L' R' F
L' B U' D' L' F R'
L' B U' D' R' L' F
F2 B L U' L R' F'
F2 B L U' R' L F'
F2 B L U' R' F' L
B' F L' U L2 U2 L
B' F L' U' D2 L' R2
B' F L' U' D2 R2 L'
B' F L' D2 U' L' R2
B' F L' D2 U' R2 L'
F2 B L' U' L' R' F'
F2 B L' U' R' L' F'
B2 F L' B' U' L' R'
B2 F L' B' U' R' L'
B F L' U' L' R' D
B F L' U' L' R' D'
B F L' U' L' R' D2
B F L' U' L' D R'
B F L' U' L' D' R'
B F L' U' L' D2 R'
B F L' U' R' L' D
B F L' U' R' L' D'
B F L' U' R' L' D2
B F L' U' R' D L'
B F L' U' R' D' L'
B F L' U' R' D2 L'
B F L' U' D L' R'
B F L' U' D R' L'
B F L' U' D' L' R'
B F L' U' D' R' L'
B F L' U' D2 L' R'
B F L' U' D2 R' L'
B F L' D U' L' R'
B F L' D U' R' L'
B F L' D' U' L' R'
B F L' D' U' R' L'
B F L' D2 U' L' R'
B F L' D2 U' R' L'
