D2 L2 U2 B U' R'
R2 U2 F' R2 U R'
U2 R2 U2 F' U R
F' U2 B R2 U' R'
U2 F' B R2 U' R'
U2 B R2 F' U' R
U2 B F' R2 U' R'
R2 L U2 F' R2 U R'
F' L U2 B R2 U' R'
D' L B' D2 F2 U B2
R2 L' U2 F' R2 U R'
F' L' U2 B R2 U' R'
F L' U2 B R2 U' R2
L' R2 U2 F' R2 U R'
L2 R2 U2 F' R2 U R'
R2 L2 U2 F' R2 U R'
L R2 U2 F' R2 U R'
D2 L2 U2 F B U' R'
D2 L2 U2 F' B U' R'
D2 L2 U2 F2 B U' R'
D2 L2 U2 B U' R' D
D2 L2 U2 B U' R' D'
D2 L2 U2 B U' R' D2
D2 L2 U2 B U' D R'
D2 L2 U2 B U' D' R'
D2 L2 U2 B U' D2 R'
D2 L2 U2 B D U' R'
D2 L2 U2 B D' U' R'
D2 L2 U2 B D2 U' R'
D2 L2 U2 B F U' R'
D2 L2 U2 B F' U' R'
D2 L2 U2 B F2 U' R'
F' L2 U2 B R2 U' R'
D2 L2 F U2 B U' R'
D2 L2 F' U2 B U' R'
D2 L2 F2 U2 B U' R'
D2 L2 B' U2 B2 U' R'
R2 U' F D' F2 L2 R
R2 U' F D' F2 R L2
L' U2 R2 U2 F' U R
L2 U2 R2 U2 F' U R
L U2 R2 U2 F' U R
R2 U2 F R2 F2 U R
L' U2 F' B R2 U' R'
R2 U2 F' R2 U R' D
R2 U2 F' R2 U R' D'
R2 U2 F' R2 U R' D2
R2 U2 F' R2 U D R'
R2 U2 F' R2 U D' R'
R2 U2 F' R2 U D2 R'
R2 U2 F' R2 D U R'
R2 U2 F' R2 D' U R'
R2 U2 F' R2 D2 U R'
R2 U2 F' U D' R F2
L2 U2 F' B R2 U' R'
R2 U2 F' D' U R F2
R2 U2 F' B R2 U R'
R2 U2 F' B' R2 U R'
R2 U2 F' B2 R2 U R'
L U2 F' B R2 U' R'
R2 U2 F2 R2 F U R
L' U2 B R2 F' U' R
L2 U2 B R2 F' U' R
B R2 U' F D' F2 R
B R2 U' F' D' R F2
L' U2 B F' R2 U' R'
U' R2 U2 F' U R F
F' R2 U2 F' R2 U R
L2 U2 B F' R2 U' R'
L U2 B R2 F' U' R
R2 U2 B F' R2 U R'
U2 R2 U2 F' U R D
U2 R2 U2 F' U R D'
U2 R2 U2 F' U R D2
U2 R2 U2 F' U D R
U2 R2 U2 F' U D' R
U2 R2 U2 F' U D2 R
U2 R2 U2 F' D U R
U2 R2 U2 F' D' U R
U2 R2 U2 F' D2 U R
U2 R2 U2 F' B U R
U2 R2 U2 F' B' U R
U2 R2 U2 F' B2 U R
U2 R2 U2 B F' U R
U2 R2 U2 B' F' U R
U2 R2 U2 B2 F' U R
L U2 B F' R2 U' R'
R2 U2 B' F' R2 U R'
B R2 D' L' F U' F
R2 U2 B2 F' R2 U R'
U2 R2 F U2 F2 U R
B R2 F U' D' F2 R
B R2 F D' U' F2 R
B R2 F' U' D' R F2
B R2 F' U2 R2 U R'
B R2 F' D' U' R F2
B R2 F' D2 L2 U' R
U2 R2 B U2 F' U R
U2 R2 B' U2 F' U R
U2 R2 B2 U2 F' U R
U2 D B U' D B R'
U2 D B D U' B R'
