D L R' F B R'
D L R' B R' F
D L R' B F R'
D L F R' B R'
D L F B R' B
D' L F' R F2 B'
D' L F' R B' F2
D' L F' B' R F2
D L B R' F B
D L B R' B F
D L B F R' B
D' L B' F' R F2
D R' L F B R'
D R' L B R' F
D R' L B F R'
L D R' F B R'
L D R' B R' F
L D R' B F R'
L D F R' B R'
L D F B R' B
L D B R' F B
L D B R' B F
L D B F R' B
D' F' L R F B'
D' F' L R B' F
D' F' L B' R F
D' F' R L F B'
D' F' R L B' F
D' F2 L F R B'
D' F2 L F B' R
D' F2 L B' F R
D' L R F' R F2 B'
D' L R F' R B' F2
D' L R F' B' R F2
L R U F' R U' F2
D' L R B' F' R F2
R L U F' R U' F2
D' L R' F' R F2 B'
D' L R' F' R B' F2
D' L R' F' B' R F2
D L R' F B R' D
D L R' F B R' D'
D L R' F B R' D2
D L R' F B D R'
D L R' F B D' R'
D L R' F B D2 R'
D L R' F' B R' F2
D L R' B R F R2
D' L R' B' F' R F2
D L R' B R' D F
D L R' B R' D' F
D L R' B R' D2 F
D L R' B R' F D
D L R' B R' F D'
D L R' B R' F D2
D L R' B D R' F
D L R' B D F R'
D L R' B D' R' F
D L R' B D' F R'
D L R' B D2 R' F
D L R' B D2 F R'
D L R' B F R' D
D L R' B F R' D'
D L R' B F R' D2
D L R' B F D R'
D L R' B F D' R'
D L R' B F D2 R'
D L R' B F' R' F2
D' L R2 F' R F2 B'
D' L R2 F' R B' F2
D' L R2 F' B' R F2
D L R2 F R B R'
D' L R2 B' F' R F2
F' L U R F' U' F2
U2 L D R' F' B R'
U2 L D R' B F' R'
R' L F U' L' B U
U2 L D B R' F' B
U2 L D B R' B F'
R' L F U' B L' U
L R F U F2 R U'
R L F U F2 R U'
L' R F' R U' L2 F
F L D' F' R F2 B2
F L D' F' R B2 F2
F L D' F' B2 R F2
F L D' B2 F' R F2
D' L D2 F B R' B2
D' L D2 B R' F B2
D' L D2 B R' B2 F
D' L D2 B F R' B2
D L F R' B R' D
D L F R' B R' D'
D L F R' B R' D2
D L F R' B D R'
D L F R' B D' R'
D L F R' B D2 R'
D2 L F U' B' L U
F2 L F U R F' U'
F' L F D R' B R'
F' L F D B R' B
D' L F B' U2 L' U2
D L F B R' D B
D L F B R' D' B
D L F B R' D2 B
D L F B R' B D
D L F B R' B D'
D L F B R' B D2
D' L F' R F2 D B'
D' L F' R F2 D' B'
D' L F' R F2 D2 B'
D' L F' R F2 B' D
D' L F' R F2 B' D'
D' L F' R F2 B' D2
D' L F' R B' F2 D
D' L F' R B' F2 D'
D' L F' R B' F2 D2
D' L F' R' F2 R2 B'
D' L F' R' F2 B' R2
D' L F' R' B' R2 F2
D' L F' R' B' F2 R2
D' L F' R2 F2 R' B'
D L F' R' F2 B R'
D L F' R' B R' F2
D L F' R' B F2 R'
D' L F' B R F2 B2
D' L F' B R B2 F2
D' L F' B' R F2 D
D' L F' B' R F2 D'
D' L F' B' R F2 D2
D' L F' B' R' F2 R2
D' L F' B' R2 F2 R'
D L F' B R' F2 B
D L F' B R' B F2
F L F2 D' F' R B2
F L F2 D' F' B2 R
F L F2 D' B2 F' R
D L B R' D F B
D L B R' D B F
D L B R' D' F B
D L B R' D' B F
D L B R' D2 F B
D L B R' D2 B F
D L B R' F D B
D L B R' F D' B
D L B R' F D2 B
D L B R' F B D
D L B R' F B D'
D L B R' F B D2
D L B R' B D F
D L B R' B D' F
D L B R' B D2 F
D L B R' B F D
D L B R' B F D'
D L B R' B F D2
D' L B F' R F2 B2
D' L B F' R B2 F2
D2 L B' L U L' F
D L B F R' D B
D L B F R' D' B
D L B F R' D2 B
D L B F R' B D
D L B F R' B D'
D L B F R' B D2
D L B F' R' F2 B
D L B F' R' B F2
D' L B' R F' R F2
D' L B' R' F' R F2
D' L B' R2 F' R F2
D' L B' F U2 L' U2
D' L B' F' R F2 D
D' L B' F' R F2 D'
D' L B' F' R F2 D2
D' L B' F' R' F2 R2
D' L B' F' R2 F2 R'
D' L B2 D2 F B R'
D' L B2 D2 B R' F
D' L B2 D2 B F R'
F' L' R F' U' L2 F
F L' R2 U L2 F R
L R' F U' L' B U
L R' F U' B L' U
R L' F' R U' L2 F
D' L' F L' U2 L' F
D' L' F B' L' U2 L'
D' L' B' F L' U2 L'
D L2 R' B L' R' F
D L2 R' B L' F R'
D L2 R' B R' L' F
L U R F' R U' F2
D L2 B L' R' F B
D L2 B L' R' B F
D L2 B L' F R' B
D L2 B R' L' F B
D L2 B R' L' B F
D L2 B R' B L' F
D' R L F' R F2 B'
D' R L F' R B' F2
D' R L F' B' R F2
D' R L B' F' R F2
F' R L' F' U' L2 F
L U F' R F' U' F'
R U F' R U' L F
D' R F' L R F B'
D' R F' L R B' F
D' R F' L B' R F
U' R F' L' R U' L2
D' R F' R L F B'
D' R F' R L B' F
F' R F' L' U' L2 F
F' R F' L2 U' L' F
U' R F' R L' U' L2
D' R F2 L F R B'
D' R F2 L F B' R
D' R F2 L B' F R
U R F' R U' L F
D' R' L F' R F2 B'
D' R' L F' R B' F2
D' R' L F' B' R F2
D' R' L B' F' R F2
D R' L F B R' D
D R' L F B R' D'
D R' L F B R' D2
D R' L F B D R'
D R' L F B D' R'
D R' L F B D2 R'
D R' L F' B R' F2
D R' L B R F R2
D R' L B R' D F
D R' L B R' D' F
D R' L B R' D2 F
D R' L B R' F D
D R' L B R' F D'
D R' L B R' F D2
D R' L B D R' F
D R' L B D F R'
D R' L B D' R' F
D R' L B D' F R'
D R' L B D2 R' F
D R' L B D2 F R'
D R' L B F R' D
D R' L B F R' D'
D R' L B F R' D2
D R' L B F D R'
D R' L B F D' R'
D R' L B F D2 R'
D R' L B F' R' F2
D R' L2 B L' R' F
D R' L2 B L' F R'
D R' L2 B R' L' F
R U' F' L' R U' L2
R U' F' R L' U' L2
D R' U2 L B R' F'
D R' F L F B R'
D R' F L B R' F
D R' F L B F R'
D' R' F' L R F B'
D' R' F' L R B' F
D' R' F' L B' R F
D' R' F' R L F B'
D' R' F' R L B' F
D R' F' L F B R'
D R' F' L B R' F
D R' F' L B F R'
D' R' F2 L F R B'
D' R' F2 L F B' R
D' R' F2 L B' F R
D R' F2 L F B R'
D R' F2 L B R' F
D R' F2 L B F R'
D' R2 L F' R F2 B'
D' R2 L F' R B' F2
D' R2 L F' B' R F2
D' R2 L B' F' R F2
D R2 L F R B R'
F R2 L' U L2 F R
D' R2 F' L R F B'
D' R2 F' L R B' F
D' R2 F' L B' R F
D' R2 F' R L F B'
D' R2 F' R L B' F
D' R2 F2 L F R B'
D' R2 F2 L F B' R
D' R2 F2 L B' F R
L D R' F B R' D
L D R' F B R' D'
L D R' F B R' D2
L D R' F B D R'
L D R' F B D' R'
L D R' F B D2 R'
L D R' F' B R' F2
L D R' B R F R2
L D R' B R' D F
