F' U L' B2 R' U'
U L R2 B2 U' F B'
U L R2 B2 U' B' F
F' L D L2 F2 D2 B2
F' L D F' L2 F' B'
F' L D F' L2 B' F'
F' L D F2 L2 D2 B2
F' L D' R2 B2 U2 R2
F' L D' B2 R2 U2 R2
F' L F D F2 L2 B'
F' L F' D L2 F2 B'
F' L F' D L2 B' F2
U L B2 R2 U' F B
U L B2 R2 U' B F
U L B2 U F' U2 F2
U L B2 U' F D2 B2
U L' B2 R2 U' F' B
U L' B2 R2 U' B F'
U L' B2 U F' B U2
U L' B2 U B F' U2
F R D2 F2 U R' B2
F' R' U' L' B2 U' R
B2 R' U' R' F' B R2
B2 R' U' R' B F' R2
F' R' U' B2 L' U' R
F2 R' D L2 R F' B'
F2 R' D L2 R B' F'
F2 R' D L2 B' R F'
F2 R' D R L2 F' B'
F2 R' D R L2 B' F'
U R2 L B2 U' F B'
U R2 L B2 U' B' F
F' R2 U' L' B2 U' R2
F' R2 U' B2 L' U' R2
B2 R2 U' B R' F' R'
B2 R2 F' L' U' B R2
F' U L' R B2 R' U'
F' U L' R' B2 R' U'
F' U L' R2 B2 R' U'
F' U L' B2 R' U' D
F' U L' B2 R' U' D'
F' U L' B2 R' U' D2
F' U L' B2 R' D U'
F' U L' B2 R' D' U'
F' U L' B2 R' D2 U'
F' U L' B2 D R' U'
F' U L' B2 D' R' U'
F' U L' B2 D2 R' U'
F' U R L' B2 R' U'
F' U R' L' B2 R' U'
F' U R2 L' B2 R' U'
F' U B2 L' U2 L U
F' U' L' B2 U' D' R2
F' U' L' B2 U2 B2 U
F' U' L' B2 D' U' R2
F' U' L' B2 D2 F2 U'
F U' R D2 F2 U B2
F U' D2 R F2 U B2
F' U' B2 L' U' D' R2
F' U' B2 L' U2 B2 U
F' U' B2 L' D' U' R2
F' U' B2 L' D2 F2 U'
F' U' B2 D' L' U' R2
F' U' B2 D2 L' F2 U'
F' U2 L D F2 L2 R
F' U2 L D F2 R L2
F' U2 L' B2 U' R' B2
F2 U2 F U' L' B2 U'
F2 U2 F U' B2 L' U'
F U2 F2 U' L' B2 U'
F U2 F2 U' B2 L' U'
F' U2 B2 L' U' B2 R'
F2 D L' D2 L' F B'
F2 D L' D2 L' B' F
F2 D L2 R F' R' B'
F2 D L2 B' R F' R'
F2 D R L2 F' R' B'
R2 F' L' B2 U' R2 B'
R2 F' L' B2 U' B' R2
D' F' R2 U' L' U' R2
L' F' U L' B2 R' U'
L2 F' U L' B2 R' U'
U2 F' U' L B2 U' F
L F' U L' B2 R' U'
U2 F' U' B2 L U' F
F' D' R2 U' L' U' R2
U2 F' B U' L B U'
D F2 L' D' L' F B'
D F2 L' D' L' B' F
F D2 R F2 U R' B2
F D2 U' R F2 U B2
F D2 B2 U' R F2 U
U2 B F' U' L B U'
U B2 L R2 U' F B
U B2 L R2 U' B F
U B2 L U F' U2 F2
U B2 L U' F D2 B2
U B2 L' U F' B' U2
U B2 L' U B' F' U2
R2 B2 R' U' R' F' B'
R2 B2 R' U' R' B' F'
R' B2 U' R' F' B R2
R' B2 U' R' B F' R2
U B2 R2 L U' F B
U B2 R2 L U' B F
R2 B2 U' R' F' R' B'
R2 B2 U' B' R' F' R'
