F' R B' U L B2 U
B R' F' U R B2 U2
B R' F' U B2 R U2
B R' F' U' D2 F2 L'
B R' F' D2 U' F2 L'
B' U L F U L' R
B' U L F U R L'
B' U F L U L2 R
B' U F L U R L2
B2 U' B L F U2 L'
B D L2 R' F' B U'
B D L2 R' B F' U'
B D R' L2 F' B U'
B D R' L2 B F' U'
B D R' F' L2 B U'
B D R' F' B L2 U'
B D R' B L2 F' U'
B D R' B F' L2 U'
L2 B R' F' U' F2 L'
L B' L U F L' R
L B' L U F R L'
B' F' R U L B U
F' B' R U L B U
F2 B' U L F U R
L2 B2 U F L' R B
L2 B2 U F R L' B
L2 B2 U F R B L'
B' F2 U L F U R
L2 B2 U' F L' B' R'
