U R B U2 R B U
U R2 U2 R' F' B U'
U R2 U2 R' B F' U'
R2 F B U L R B
R2 F B U R L B
F D R' B L R2 F'
F D R' B R2 L F'
F D R' B R2 F' L
F D' R F2 B L B'
F D' R B L F2 B'
F D' R B L B' F2
F D' R B F2 L B'
F D' B L R F2 B'
F D' B L R B' F2
F D' B L B' R F2
F D' B R L F2 B'
F D' B R L B' F2
F D' B R F2 L B'
R2 B F U L R B
R2 B F U R L B
B F D' L R F2 B'
B F D' L R B' F2
B F D' L B' R F2
B F D' R L F2 B'
B F D' R L B' F2
B F D' R F2 L B'
F B D' L R F2 B'
F B D' L R B' F2
F B D' L B' R F2
F B D' R L F2 B'
F B D' R L B' F2
F B D' R F2 L B'
