R D2 L2 F U R2
R' D2 B' L2 U' R2
D F2 R' B' L' U'
R' B' D2 L2 U' R2
L2 R F U2 R2 U' R2
D L F2 L' R' B' U'
D L F2 R' L' B' U'
L2 R' U F R2 U B
D' L B2 L R F U
D' L B2 R L F U
L2 R' U2 R2 F U R2
L2 R' U2 F R2 U R2
R' L2 U F R2 U B
R' L2 U2 R2 F U R2
R' L2 U2 F R2 U R2
R L2 F U2 R2 U' R2
R' U L2 U R2 F U
R' U L2 U F R2 U
L2 U R D F U B2
L2 U R D2 F L2 U
L2 U R F U D B2
L2 U R F U2 R2 U'
L2 U R F D U B2
L2 U R F D2 L2 U
D' L2 B2 R F L U
D R U2 R2 F2 B' U'
D2 R U2 B' R2 U' R'
D R U2 R2 B' F2 U'
D R U2 F2 R2 B' U'
D R U2 F2 B' R2 U'
D R U2 B' R2 F2 U'
D R U2 B' F2 R2 U'
U' R D2 L2 F U R2
U2 R D2 L2 F U R2
D R D2 L2 F B2 U
D R D2 L2 B2 F U
U R D2 L2 F U R2
L2 U' R' U2 R2 F U
L2 U' R' U2 F R2 U
L2 U' R' D2 L2 B' U'
D' R B2 U2 B R2 U'
D' R' U2 B2 R2 F' U
F2 R' D B' L' F2 U'
D' R' D' B' U' R2 F2
D' R' D' B' U' F2 R2
D' R' D2 F2 B' L2 U'
D' R' D2 B' L2 F2 U'
D' R' D2 B' F2 L2 U'
U' R' D2 B' L2 U' R2
F2 R' D2 B' L' U' R2
U2 R' D2 B' L2 U' R2
D R' D2 B' L2 F U'
F R' D2 B' L U' R2
U R' D2 B' L2 U' R2
D R' F2 D' B' U' F2
D R' F2 D2 B' L2 U'
D R' F2 B' U' D' F2
D R' F2 B' U2 R2 U
D R' F2 B' D' U' F2
D R' F2 B' D2 L2 U'
F2 R' B' L' U L' U2
F2 R' B' L' F2 U' R
D' R' B' U2 R2 B' U
D' R' B' U2 B' R2 U
D' R' B' D2 L2 F U'
U' R' B' D2 L2 U' R2
F2 R' B' D L' F2 U'
R U2 R2 D F2 B' U'
R U2 R2 D B' F2 U'
F2 R' B' D2 L' U' R2
R U2 R2 D2 B' U' R2
U2 R' B' D2 L2 U' R2
R U2 R2 B' U L2 U2
R U2 R2 B' U' D2 R2
R U2 R2 B' D F2 U'
R U2 R2 B' D2 U' R2
D R' B' F2 U' D' F2
D R' B' F2 U2 R2 U
D R' B' F2 D' U' F2
D R' B' F2 D2 L2 U'
U R' B' D2 L2 U' R2
R U2 D F2 B' U' B'
R U2 D B' F2 U' B'
R U2 B' R2 U L2 U2
R U2 B' R2 U' D2 R2
R U2 B' R2 D F2 U'
R U2 B' R2 D2 U' R2
R U2 B' D F2 U' B2
R D U2 F2 B' U' B'
R D U2 B' F2 U' B'
R' D F2 D B' L2 U'
R' D F2 D2 B' U' F2
R' D F2 B' L2 U' F
R' D F2 B' U B' U2
R' D B' L2 F2 U' F'
R' D B' F2 L2 U' F
R' D B' F2 U B' U2
U' D F2 R' B' L' U'
U2 D F2 R' B' L' U'
D U F2 R' B' L' U'
U D F2 R' B' L' U'
R' D' B' L2 F U' F
R' D' B' U2 B' U F2
R' D' B' D' L2 F U'
D U' F2 R' B' L' U'
R' D2 L2 U2 F U R2
R D2 L2 D F B2 U
R D2 L2 D B2 F U
R D2 L2 F U R2 D
R D2 L2 F U R2 D'
R D2 L2 F U R2 D2
R D2 L2 F D B2 U
R D2 L2 F B U R2
R D2 L2 F B' U R2
R D2 L2 F B2 U R2
R D2 L2 B F U R2
R D2 L2 B' F U R2
R D2 L2 B2 F U R2
R' D2 F B' L2 U' R2
R' D2 F' B' L2 U' R2
R D2 F L2 F U R2
R' D2 F2 B' L2 U' R2
R D2 F' L2 F U R2
R' D2 B L2 B2 U' R2
D U2 F2 R' B' L' U'
R' D2 B' L2 U' R2 D
R' D2 B' L2 U' R2 D'
R' D2 B' L2 U' R2 D2
R D2 F2 L2 F U R2
R' D2 B' L2 D' F2 U'
R' D2 B' L2 F U' R2
