F2 L' R2 F U
F2 L' F R2 U
F2 R2 L' F U
F2 R2 L' F U
R2 L U2 R' B' U'
F2 L' R' F R' U
F2 L' R2 D F U
F2 L' R2 D' F U
F2 L' R2 D2 F U
F2 L' R2 F U D
F2 L' R2 F U D'
F2 L' R2 F U D2
F2 L' R2 F D U
F2 L' R2 F D' U
F2 L' R2 F D2 U
F L' R2 F L' U
R2 L' F U2 R' U'
F2 L' D' F U F
F2 L' F R2 U D
F2 L' F R2 U D'
F2 L' F R2 U D2
F2 L' F R2 D U
F2 L' F R2 D' U
F2 L' F R2 D2 U
F2 L' F U D' F2
F L' F L' R2 U
F2 L' F D' U F2
F L' F R2 L' U
F2 L' F' R2 F2 U
L R2 U2 R' B' U'
L' R2 F U2 R' U'
F2 R' L' F R' U
F2 R2 L' D F U
R2 U2 D2 R' B U'
F2 R2 L' D' F U
F2 R2 L' D2 F U
F2 R2 L' F U D
F2 R2 L' F U D'
F2 R2 L' F U D2
F2 R2 L' F D U
F2 R2 L' F D' U
F2 R2 L' F D2 U
F R2 L' F L' U
F' R2 F' L' F U
F R2 F L' F U
R2 D2 U2 R' B U'
L' F2 L' F' R2 U
U2 L R B' U2 R U
F' L R2 U2 B' R' U'
F2 L R2 F L2 F U
F2 L R2 F' L2 F U
F2 L R2 F2 L2 F U
R2 L U2 R B' R2 U'
R2 L U2 R' D B' U'
R2 L U2 R' D' B' U'
R2 L U2 R' D2 B' U'
R2 L U2 R' B' U' D
R2 L U2 R' B' U' D'
R2 L U2 R' B' U' D2
R2 L U2 R' B' D U'
R2 L U2 R' B' D' U'
R2 L U2 R' B' D2 U'
R2 L U2 R2 B' R U'
R2 L U2 D R' B' U'
R2 L U2 D' R' B' U'
R2 L U2 D2 R' B' U'
R2 L D U2 R' B' U'
R2 L D' U2 R' B' U'
R' L D2 L2 R' F U
R' L D2 L2 F R' U
R' L D2 R' L2 F U
R2 L D2 U2 R' B' U'
R2 L F U2 R' B' U'
U2 L D' R B' U' F2
U2 L D' B' R U' F2
R2 L F' U2 R' B' U'
U2 L D2 R B' L2 U'
U2 L D2 B' L2 R U'
U2 L D2 B' R L2 U'
R2 L F2 U2 R' B' U'
F2 L F L2 R2 F U
F2 L F L2 F R2 U
F2 L F R2 L2 F U
F2 L F' L2 R2 F U
F2 L F' L2 F R2 U
F2 L F' R2 L2 F U
L R B' U2 B R U
F2 L F2 L2 R2 F U
R L B' U2 B R U
F2 L F2 L2 F R2 U
F2 L F2 R2 L2 F U
U2 L B' R U2 R U
U2 L B' D' R U' F2
U2 L B' D2 L2 R U'
U2 L B' D2 R L2 U'
R2 L' U2 R' U2 F U
U2 L' R U2 R F U
F2 L' R D R F U
F2 L' R D' R F U
F2 L' R D2 R F U
R' L' D R' F U B2
L' R' D R' F U B2
R' L' D F R' U B2
L' R' D F R' U B2
F2 L' R' D R' F U
F2 L' R' D F R' U
R2 L' D F U2 R' U'
F2 L' R' D' R' F U
F2 L' R' D' F R' U
F2 L' R' D2 R' F U
F2 L' R' D2 F R' U
F2 L' R' F R' U D
F2 L' R' F R' U D'
F2 L' R' F R' U D2
F2 L' R' F R' D U
F2 L' R' F R' D' U
F2 L' R' F R' D2 U
F2 L' R' F D R' U
F2 L' R' F D' R' U
F2 L' R' F D2 R' U
F2 L' R' F' R' F2 U
F L' R' F L' R' U
F L' R' F R' L' U
F2 L' R2 D F U D
F2 L' R2 D F U D'
F2 L' R2 D F U D2
F2 L' R2 D F D U
F2 L' R2 D F D' U
F2 L' R2 D F D2 U
F2 L' R2 D' F U D
F2 L' R2 D' F U D'
F2 L' R2 D' F U D2
F2 L' R2 D' F D U
F2 L' R2 D' F D' U
F2 L' R2 D' F D2 U
F' L' R2 F U2 R U'
F' L' R2 F' L' F2 U
F2 L' R2 D2 F U D
F2 L' R2 D2 F U D'
F2 L' R2 D2 F U D2
F2 L' R2 D2 F D U
F2 L' R2 D2 F D' U
F2 L' R2 D2 F D2 U
R2 L' D' F U2 R' U'
F2 L' R2 F' U D' L2
F2 L' R2 F' D' U L2
F L' R2 F L' U D
F L' R2 F L' U D'
F L' R2 F L' U D2
F L' R2 F L' D U
F L' R2 F L' D' U
F L' R2 F L' D2 U
B2 L' R2 F B2 L U
F L' R2 F D L' U
F L' R2 F D' L' U
F L' R2 F D2 L' U
F2 L' R2 F2 D F' U
F2 L' R2 F2 D' F' U
F2 L' R2 F2 D2 F' U
R' L' D2 R' F L2 U
B2 L' R2 B2 F L U
L' R' D2 R' F L2 U
L R' D2 L2 R' F U
L R' D2 L2 F R' U
L R' D2 R' L2 F U
R' L' D2 F L2 R' U
R' L' D2 F R' L2 U
L' R' D2 F L2 R' U
L' R' D2 F R' L2 U
R2 L' D2 F U2 R' U'
F2 L' U F' D' L2 F2
F2 L' U F' D' F2 L2
R' L' F R' U2 R' U'
R2 L' F L U2 R' U'
L' R' F R' U2 R' U'
R2 L' F L' U2 R' U'
R2 L' F L2 U2 R' U'
R' L' F D R' U B2
L' R' F D R' U B2
R' L' F D2 L2 R' U
R' L' F D2 R' L2 U
L' R' F D2 L2 R' U
L' R' F D2 R' L2 U
R2 L' F U2 R' U' D
R2 L' F U2 R' U' D'
R2 L' F U2 R' U' D2
R2 L' F U2 R' D U'
R2 L' F U2 R' D' U'
