U' L D B' R' U2 B'
U' L D' F2 B' R' U2
U' L D' B' R' F2 U2
U' L D' B' F2 R' U2
L R B' U' R B2 U'
L R B' U' B2 R U'
R L B' U' R B2 U'
R L B' U' B2 R U'
U' L B' R' U' R' U'
U' L B' U2 D B2 L
U' L B' D R' U2 B2
U' L B' D U2 B2 L
U' L B' D' R' F2 U2
U' L B' D' F2 R' U2
R2 U L D B' U2 L
D2 L2 F2 U R F' L'
L U2 L2 D F L' B2
L U2 L2 D F B2 L'
D R' F' R U B2 R'
L U2 L2 D B2 F L'
U2 R2 U L B' R' U2
L' D2 R2 D' F L' B2
L' D2 R2 D' F B2 L'
L' D2 R2 D' B2 F L'
R B D2 R U' F' R
L B' R U' B R U'
L B' U' R2 B U' L
L B' U' B R2 U' L
D B2 R' U' F' R U
