D' L B' R' U B' L
D' L' F U' B2 L F
F L2 U' L R' U2 F
U2 L2 U' R' U2 F' R
F L2 U' R' L U2 F
D' L2 U' B2 L F R
R' U L2 R' U F' R
R' U R' L2 U F' R
L2 U R2 F' R F' L'
L2 U' R' U2 R' F' R
U R' U L2 U F' R
U R' U2 F' R D' B2
U R' U2 F' D' R B2
U R' U2 F' D' B2 R
U R' F' R D' B2 L
U R' F' D' R B2 L
D2 R2 U R B U2 R'
F' U' D' B2 L R F
F' U' D' B2 R L F
L2 F U' L' R' B' U2
L2 F U' R' L' B' U2
U' F' D' B2 L R F
U' F' D' B2 R L F
F' D' U' B2 L R F
F' D' U' B2 R L F
F' D' B2 L D' R F'
F' D' B2 D' L R F'
F' D' B2 D' R L F'
F' D' B2 D' R F' L
U' F2 D' B2 L F R
B2 F' D' L R F' B2
B2 F' D' L R B2 F'
B2 F' D' L B2 R F'
B2 F' D' R L F' B2
B2 F' D' R L B2 F'
B2 F' D' R F' L B2
F' B2 D' L R F' B2
F' B2 D' L R B2 F'
F' B2 D' L B2 R F'
F' B2 D' R L F' B2
F' B2 D' R L B2 F'
F' B2 D' R F' L B2
