B L F2 U' L' B' R'
F2 L2 R' F' U' L F
B2 R U L B R' U
R U' L R2 F' U' F2
R U' R2 L F' U' F2
R U' R2 F' L U' F
F2 R' L2 F' U' L F
F' R' F' L2 U' L F
U R' F U' R F2 L'
F' R' F' U' L F L2
F2 R' F' U' L F L'
F' R' F' B L U' L2
F R' F' U R B U2
F' R' B L F' U' L'
F2 R' B L F' U' L2
F' R' B F' L U' L2
R U2 R2 F' L' U' L
R' D F' B L B U'
R' D B L F' B U'
R' D B L B F' U'
R' D B F' L B U'
R' D2 L F' U' L F
R' D2 F' L U' L F
R' D2 F' U' L F L
R' D2 F' B L U' L
R' D2 B L F' U' L
R' D2 B F' L U' L
F D R' F' B L U'
F D R' B L F' U'
F D R' B F' L U'
R' F' U R B R U2
R' F' U' L D2 F L2
R' F' U' L F D2 L2
R' F' U' L' D2 L2 F
R' F' U' D2 L F L
R' F' D B L B U'
R' F' D2 L U' L F
R' F' D2 U' L F L
R' F' D2 B L U' L
R' F' B L U R2 U2
R' F' B L U' D2 L2
R' F' B L D B2 U'
R' F' B L D2 U' L2
R' F' B D L B2 U'
R' F' B D2 L U' L
R' F' B' D B2 L U'
U F2 R' U' L' F' R
R' B L D F' B2 U'
R' B L D B2 F' U'
R' B L D2 F' U' L2
R' B L F' U R2 U2
R' B L F' U' D2 L2
R' B L F' D B2 U'
R' B L F' D2 U' L2
R' B D L F' B2 U'
R' B D L B2 F' U'
R' B D F' L B2 U'
R B U2 L R2 U' L'
R B U2 R2 L U' L'
R' B D2 L F' U' L
R' B D2 F' L U' L
R' B F' L U R2 U2
R' B F' L U' D2 L2
R' B F' L D B2 U'
R' B F' L D2 U' L2
R' B F' D L B2 U'
R' B F' D2 L U' L
R B' U R' B2 L U
R' B' D F' B2 L U'
R' B' D B2 L F' U'
R' B' D B2 F' L U'
R' B' F' D B2 L U'
