B' R2 D F' L' F'
F' R2 D B' L' F2
U' R2 D F2 B' L
U' R2 D B' L F2
U' R2 D B' F2 L
U' R2 D B' F2 L
B' R2 F D F2 L'
B' R2 F' D L' F2
F' R2 B' D L' F2
R2 D F' B' L' F'
R2 D F2 D2 B' L
R2 D B' F' L' F'
R2 F D F2 B' L'
R2 F D B' F2 L'
R2 F B' D F2 L'
R2 F' D B' L' F2
R2 F' B' D L' F2
U2 B' R2 D F2 L'
F' B' R2 D L' F2
R2 B' D F' L' F'
B' F' R2 D L' F2
R2 B' F D F2 L'
R2 B' F' D L' F2
B' L R2 F' L' D F2
R2 L F' L' D F2 B'
R2 L F' L' D B' F2
R2 L F' L' B' D F2
B' L F' L' R2 D F2
B' L F' R2 L' D F2
B' L' R2 U L' B' U'
B' L' R2 F' D' L' F
B' L' U L' B' U' R2
B' L' F' R2 D' L' F
L R2 F' L' D F2 B'
L R2 F' L' D B' F2
L R2 F' L' B' D F2
F' L2 U F U2 L R2
F' L2 U F U2 R2 L
U' L2 U F R U2 R
F2 L2 U F U2 L' R2
F2 L2 U F U2 R2 L'
F' L2 U' L2 R2 B' L'
F' L2 U' L2 B' L' R2
F' L2 U' L2 B' R2 L'
F' L2 U' R2 L2 B' L'
D2 L2 D F R B2 U2
D2 L2 D F B2 R U2
D2 L2 D B2 F R U2
D2 L2 D' F R U2 F
D2 L2 F R U R U
D2 L2 F U2 D' F2 L'
D2 L2 F D R B2 U2
D2 L2 F D B2 R U2
D2 L2 F D' R U2 F2
D2 L2 F D' U2 F2 L'
B L2 F U' R2 B2 L
B2 L2 F' U' L' B R2
B2 L2 F' U' B L' R2
B2 L2 F' U' B R2 L'
B L2 F' U' L' R2 B2
B L2 F' U' L' B2 R2
B L2 F' U' R2 L' B2
B L2 F' U' R2 B2 L'
B L2 F' U' B2 L' R2
B L2 F' U' B2 R2 L'
F' L2 F2 U' L R2 B
F' L2 F2 U' R2 L B
U' L2 F2 U' R2 B L
F L2 F2 U' L' R2 B
F L2 F2 U' R2 L' B
F L2 F2 U' R2 B L'
F R U2 R D F2 B'
F R U2 R D B' F2
F R U2 R B' D F2
F R U2 D R F2 B'
F R U2 D R B' F2
F R U2 D B' R F2
B' R D R F' L' F'
F' R D R B' L' F2
F R U2 B' R D F2
F R U2 B' D R F2
F' R D B' L' R F2
F' R D B' R L' F2
F R D U2 R F2 B'
F R D U2 R B' F2
F R D U2 B' R F2
F R D' B2 U2 B R
L2 U' L2 R2 D B' L
U' R B L2 U' R B2
U' R B L2 U' B2 R
R U' R B' D L2 F2
R U' R B' D F2 L2
L2 U' R2 L2 D B' L
L2 U' R2 D L2 B' L
U' R B' R D L2 F2
U' R B' R D F2 L2
F' R B' R D L' F2
U' R B' D L2 R F2
U' R B' D R L2 F2
U' R B' D R F2 L2
F' R B' D L' R F2
F' R B' D R L' F2
B' R' D R' F' L' F'
F' R' D R' B' L' F2
B' R' D F' L' F' R'
B' R' F D F2 L' R'
B' R' F D F2 R' L'
B' R' F' R' D L' F2
B' R' F' D L' R' F2
B' R' F' D L' F2 R'
B' R' F' D R' L' F2
B' R2 L F' L' D F2
B' R2 L' U L' B' U'
B' R2 L' F' D' L' F
B' R2 U L' B' L' U'
B' R2 D L F' L' F'
B' R2 D L' F' L' F'
B' R2 D L2 F' L' F'
B' R2 D F' L F' L2
B' R2 D F' L' D F'
B' R2 D F' L' D' F'
B' R2 D F' L' D2 F'
B' R2 D F' L' F' D
B' R2 D F' L' F' D'
B' R2 D F' L' F' D2
B' R2 D F' L2 F' L
B' R2 D F' D L' F'
U' R2 D F' B' L F'
B' R2 D F' D' L' F'
B' R2 D F' D2 L' F'
U' R2 D F2 B' L D
U' R2 D F2 B' L D'
U' R2 D F2 B' L D2
U' R2 D F2 B' D L
U' R2 D F2 B' D' L
U' R2 D F2 B' D2 L
F' R2 D B L' F2 B2
F' R2 D B L' B2 F2
U' R2 D B' L F2 D
U' R2 D B' L F2 D'
U' R2 D B' L F2 D2
U' R2 D B' L' F2 L2
F' R2 D B' L F2 L2
F' R2 D B' L' F2 D
F' R2 D B' L' F2 D'
F' R2 D B' L' F2 D2
F' R2 D B' L2 F2 L
U' R2 D B' F' L F'
U' R2 D B' F2 L D
U' R2 D B' F2 L D'
U' R2 D B' F2 L D2
U' R2 D B' F2 D L
U' R2 D B' F2 D' L
U' R2 D B' F2 D2 L
F' R2 D B2 L' F2 B
F' R2 D B2 L' B F2
F2 R2 D F2 D B' L
U2 R2 D F2 B L B2
U2 R2 D B L F2 B2
U2 R2 D B L B2 F2
U2 R2 D B F2 L B2
B' R2 D' F D2 F2 L'
B' R2 D' F' L' D2 F2
B' R2 D' F' D2 L' F2
F R2 D F2 B2 L B
U' R2 D' B' L2 F L'
F' R2 D' B' L2 F L
F R2 D B2 L F2 B
F R2 D B2 L B F2
F R2 D B2 F2 L B
B' R2 D2 F D' F2 L'
B' R2 D2 F' L' D' F2
B' R2 D2 F' D' L' F2
R2 D L F' L' F' B'
R2 D L F' L' B' F'
F' R2 D2 B' L' D' F2
F' R2 D2 B' D' L' F2
F2 R2 D2 B' L D' F2
F2 R2 D2 B' D' L F2
F2 R2 D2 B' D' F2 L
B' R2 F D L F2 L'
B' R2 F D L' F2 L'
B' R2 F D L2 F2 L'
B' R2 F D F2 L' D
B' R2 F D F2 L' D'
B' R2 F D F2 L' D2
B' R2 F D F2 D L'
B' R2 F D F2 D' L'
B' R2 F D F2 D2 L'
U' R2 F D F2 B' L
U' R2 F D B' L F2
U' R2 F D B' F2 L
F2 R2 F D B' L' F2
B' R2 F' L' U L' U'
F2 R2 F B' D L' F2
B' R2 F' U L2 U' L
B' R2 F' D L F2 L2
B' R2 F' D L' F2 D
B' R2 F' D L' F2 D'
B' R2 F' D L' F2 D2
B' R2 F' D L2 F2 L
U' R2 F' D F2 B' L
U' R2 F' D B' L F2
U' R2 F' D B' F2 L
B' R2 F' D' L' D2 F2
B R2 F B2 D F2 L'
B' R2 F' D2 L' D' F2
F2 R2 F' D F2 B' L'
F2 R2 F' D B' F2 L'
F2 R2 F' B' D F2 L'
U' R2 F2 D F2 B' L
U' R2 F2 D B' L F2
U' R2 F2 D B' F2 L
F' R2 F2 D F2 B' L'
F' R2 F2 D B' F2 L'
B R2 F' B2 D L' F2
F' R2 F2 B' D F2 L'
R' D R' F' B' L' F'
R' D R' F2 D2 B' L
R' D R' B' F' L' F'
R D R F' B' L' F'
R D R F2 D2 B' L
R D R B' F' L' F'
F' R2 B' L' U L' U'
F' R2 B' U L2 U' L
F' R2 B' D L F2 L2
F' R2 B' D L' F2 D
F' R2 B' D L' F2 D'
F' R2 B' D L' F2 D2
F' R2 B' D L2 F2 L
F' R2 B' D' L' D2 F2
F' R2 B' D2 L' D' F2
F' R2 B' F2 D F2 L'
F2 R2 B' F D L' F2
F2 R2 B' F' D F2 L'
F' R2 B2 D L' F2 B
F' R2 B2 D L' B F2
F' R2 B2 D B L' F2
B R2 B2 D F' L' F'
B R2 B2 F D F2 L'
B R2 B2 F' D L' F2
F R2 B2 D L F2 B
F R2 B2 D L B F2
F R2 B2 D F2 L B
B' U L' B' L' U' R2
R' D F2 R' D2 B' L
R2 D F' D B' L' F'
R2 D F' D' B' L' F'
R2 D F' D2 B' L' F'
R' D F2 D2 R' B' L
R2 D F' B L' F' B2
R2 D F' B L' B2 F'
R2 D F' B' L F' L2
R2 D F' B' L' D F'
R2 D F' B' L' D' F'
R2 D F' B' L' D2 F'
R2 D F' B' L' F' D
R2 D F' B' L' F' D'
R2 D F' B' L' F' D2
R2 D F' B' L2 F' L
R2 D F' B' D L' F'
R2 D F' B' D' L' F'
R2 D F' B' D2 L' F'
R2 D F' B2 L' F' B
R2 D F' B2 L' B F'
R2 D F2 D2 B' L D
R2 D F2 D2 B' L D'
R2 D F2 D2 B' L D2
R2 D F2 D2 B' D L
R2 D F2 D2 B' D' L
R2 D F2 D2 B' D2 L
F' U R2 D B' L' F2
R2 D B F' L' F' B2
R2 D B F' L' B2 F'
R2 D B' L F' L' F'
R2 D B' L' F' L' F'
F' U R2 B' D L' F2
R2 D B' L2 F' L' F'
R2 D B' F' L F' L2
R2 D B' F' L' D F'
R2 D B' F' L' D' F'
R2 D B' F' L' D2 F'
R2 D B' F' L' F' D
R2 D B' F' L' F' D'
R2 D B' F' L' F' D2
R2 D B' F' L2 F' L
R2 D B' F' D L' F'
R2 D B' F' D' L' F'
R2 D B' F' D2 L' F'
R D B' R F' L' F'
R2 D B2 F' L' F' B
R2 D B2 F' L' B F'
D U B2 U F2 B L
D U B2 U B L F2
D U B2 U B F2 L
U D B2 U F2 B L
U D B2 U B L F2
U D B2 U B F2 L
F' U B' R2 D L' F2
B2 U' L2 U' B L R2
B2 U' L2 U' B R2 L
R2 D' F D2 F2 B' L'
R2 D' F D2 B' F2 L'
R2 D' F' D2 B' L' F2
R2 D' F' B' L2 F L
L2 D' F2 U F' R U2
R2 D' F2 D2 F2 B' L
R2 D' F2 D2 B' L F2
R2 D' F2 D2 B' F2 L
R2 D' F2 B' L2 F L'
F' U' R2 D B' L' F2
R' D' B2 L U2 B L
R2 D' B' L' F' L' F
R2 D' B' L2 F' L' F2
F' U' R2 B' D L' F2
R2 D' B' U2 B' R' U2
R2 D' B' F' L2 F L
R2 D' B' F2 L2 F L'
R D' B2 U2 B L R
R D' B2 U2 B R L
F' U' B' R2 D L' F2
R2 D2 F D' F2 B' L'
R2 D2 F D' B' F2 L'
R2 D2 F B' D' F2 L'
R2 D2 F' D' B' L' F2
R2 D2 F' B' L' D' F2
R2 D2 F' B' D' L' F2
F' U2 R2 D B' L' F2
F' U2 R2 B' D L' F2
R2 D2 B' D' F' L' F'
R2 D2 B' F D' F2 L'
R2 D2 B' F' L' D' F2
R2 D2 B' F' D' L' F2
B2 U2 B R2 D L F2
B2 U2 B R2 D F2 L
U' F R2 D F2 B' L
U' F R2 D B' L F2
U' F R2 D B' F2 L
F' U2 B' R2 D L' F2
L2 F U' R2 D B2 L
R' F D F2 R' B' L'
R2 F D L F2 L' B'
R2 F D F2 D B' L'
R2 F D F2 D' B' L'
R2 F D F2 D2 B' L'
R2 F D F2 B L' B2
R2 F D F2 B' L' D
R2 F D F2 B' L' D'
R2 F D F2 B' L' D2
R2 F D F2 B' D L'
R2 F D F2 B' D' L'
R2 F D F2 B' D2 L'
R2 F D F2 B2 L' B
R2 F D B F2 L' B2
R2 F D B' L F2 L'
R2 F D B' L' F2 L'
R2 F D B' L2 F2 L'
R2 F D B' F2 L' D
R2 F D B' F2 L' D'
R2 F D B' F2 L' D2
R2 F D B' F2 D L'
R2 F D B' F2 D' L'
R2 F D B' F2 D2 L'
R2 F D B2 F2 L' B
R2 F D2 B' D' F2 L'
U2 F B' R2 D F2 L'
R2 F B' D L F2 L'
R2 F B' D L' F2 L'
R2 F B' D L2 F2 L'
R2 F B' D F2 L' D
R2 F B' D F2 L' D'
R2 F B' D F2 L' D2
R2 F B' D F2 D L'
R2 F B' D F2 D' L'
R2 F B' D F2 D2 L'
R2 F B2 D F2 L' B
R2 F B2 D F2 B L'
R2 F B2 D B F2 L'
L F' L U' L2 R2 B'
L F' L U' L2 B' R2
L F' L U' R2 L2 B'
B' D F' L' D' F' R2
