B L U R' D F2
B L U D R' F2
B L U D F2 R'
B L U2 L2 U' R'
B L D U R' F2
B L D U F2 R'
B L D2 R2 U R
U2 L' U' R B R'
U2 D L' F R U'
D U2 L' F R U'
B L R U R2 D F2
B L R U2 L2 U' R2
B L R D B2 U F2
B L R' D2 R2 U R2
B L R2 U R D F2
B L R2 U D R F2
B L R2 U2 L2 U' R
B L R2 D U R F2
B L R2 D2 R2 U R'
B L U R' U L2 U'
B L U R' D F2 D
B L U R' D F2 D'
B L U R' D F2 D2
B L U R' F D F2
B L U R' F' D F2
B L U R' F2 D F2
B L U R2 D R F2
B L U D R F2 R2
B L U D R' F2 D
B L U D R' F2 D'
B L U D R' F2 D2
B L U D F R' F
B L U D F2 R' D
B L U D F2 R' D'
B L U D F2 R' D2
B L U D F2 D R'
B L U D F2 D' R'
B L U D F2 D2 R'
B L U D' R' D2 F2
B L U F R' D F2
B L U F D R' F2
B L U F D F2 R'
B L U F' R' D F2
B L U F' D R' F2
B L U F' D F2 R'
B L U F2 R' D F2
B L U F2 D R' F2
B L U F2 D F2 R'
B L U' D' B2 L U2
B' L U2 L2 R' U' R
B' L U2 R' L2 U' R
D L U2 L2 F R U'
B L U2 L2 U' R' D
B L U2 L2 U' R' D'
B L U2 L2 U' R' D2
B L U2 L2 U' D R'
B L U2 L2 U' D' R'
B L U2 L2 U' D2 R'
B L U2 L2 D U' R'
B L U2 L2 D' U' R'
B L U2 L2 D2 U' R'
B L U2 L2 F U' R'
B L U2 L2 F' U' R'
B L U2 L2 F2 U' R'
B L U2 F L2 U' R'
B L U2 F' L2 U' R'
B L U2 F2 L2 U' R'
B L D R U R2 F2
B L D R U F2 R2
B L D R2 U R F2
B L D U R F2 R2
B L D U R' F2 D
B L D U R' F2 D'
B L D U R' F2 D2
B L D U F R' F
B L D U F2 R' D
B L D U F2 R' D'
B L D U F2 R' D2
B L D U F2 D R'
B L D U F2 D' R'
B L D U F2 D2 R'
B L D' U R' D2 F2
B L D' U' B2 L U2
B L D2 R2 U R D
B L D2 R2 U R D'
B L D2 R2 U R D2
B L D2 R2 U D R
B L D2 R2 U D' R
B L D2 R2 U D2 R
B L D2 R2 D U R
B L D2 R2 D' U R
B L D2 R2 D2 U R
B L D2 R2 B U R
B L D2 R2 B' U R
B L D2 R2 B2 U R
D L B L B2 R' U
D L B' U2 L2 R' U'
D L B' U2 R' L2 U'
U2 L' R U' R B R'
U L' R U' L B R'
B' L' R' U L2 U2 L2
U2 L' R' U' R B R'
U2 L' R2 U' R B R'
U2 L' U' R B R' D
U2 L' U' R B R' D'
U2 L' U' R B R' D2
U2 L' U' R B D R'
U2 L' U' R B D' R'
