R2 U' F' R' U
R2 L U' F' R' U
R2 L' U' F' R' U
L' R2 U' F' R' U
L2 R2 U' F' R' U
R2 L2 U' F' R' U
L R2 U' F' R' U
F2 L' B U' R2 B'
F2 L' B U' B' R2
R2 U' D F' R' U
R2 U' D' F' R' U
R2 U' D2 F' R' U
R2 U' F R' F2 U
R2 U' F' R' U D
R2 U' F' R' U D'
R2 U' F' R' U D2
R2 U' F' R' D U
R2 U' F' R' D' U
R2 U' F' R' D2 U
R2 U' F' D R' U
R2 U' F' D' R' U
R2 U' F' D2 R' U
R2 U' F2 R' F U
F R2 U' F' R U
U' R2 F' R' U R
R2 D U' F' R' U
F2 U L' B U' R2
D' U F2 L' B U'
D' U F2 B L' U'
D' U B F2 L' U'
F2 U B L' U' R2
R2 D' U' F' R' U
U D' F2 L' B U'
U D' F2 B L' U'
U D' B F2 L' U'
R2 D2 U' F' R' U
B U2 R U R B'
B U2 R U B' R
R2 F U' R' F2 U
R2 F U' F2 R' U
D' F2 L' B U' B'
U F2 L' B U' R2
R2 F2 U' R' F U
R2 F2 U' F R' U
U F2 B L' U' R2
U B U2 R U R
U B D' F2 L' U'
U B F2 L' U' R2
R2 L U' D F' R' U
R2 L U' D' F' R' U
R2 L U' D2 F' R' U
R2 L U' F R' F2 U
R2 L U' F' R' U D
R2 L U' F' R' U D'
R2 L U' F' R' U D2
R2 L U' F' R' D U
R2 L U' F' R' D' U
R2 L U' F' R' D2 U
R2 L U' F' D R' U
R2 L U' F' D' R' U
R2 L U' F' D2 R' U
R2 L U' F2 R' F U
F L R2 U' F' R U
F2 L U L2 B U' R2
D' L U F2 L' B U'
D' L U F2 B L' U'
D' L U B F2 L' U'
F2 L U B L2 U' R2
R2 L D U' F' R' U
R2 L D' U' F' R' U
B L U2 R U B R
R2 L D2 U' F' R' U
R2 L F U' R' F2 U
R2 L F U' F2 R' U
B L D' F2 L' U' B'
U L D' F2 L' B U'
U L D' F2 B L' U'
U L D' B F2 L' U'
R2 L F2 U' R' F U
R2 L F2 U' F R' U
D' L F2 L' B U' B'
B L F2 L' U' R2 B'
B L F2 L' U' B' R2
U L F2 L' B U' R2
U L F2 B L' U' R2
U L B U2 R U R
U L B D' F2 L' U'
U L B F2 L' U' R2
R2 L' U' D F' R' U
R2 L' U' D' F' R' U
R2 L' U' D2 F' R' U
