R' L F L2 U R2
R' L' U2 B' U' R2
L' R' U2 B' U' R2
U2 L' R' F' U R2
L R' F L2 U R2
U2 R' L' F' U R2
F' L R' F L' U R
D' L R' F L2 U R2
D2 L R' F L2 U R2
U2 L R' F' L2 U R2
D L R' F L2 U R2
L R U' R2 F L2 U
R L U' R2 F L2 U
L R U' F L2 R2 U
L R U' F R2 L2 U
R L U' F L2 R2 U
R L U' F R2 L2 U
R' L F L2 U R2 D
R' L F L2 U R2 D'
R' L F L2 U R2 D2
R' L F L2 D B2 U
R' L F L2 B U R2
R' L F L2 B' U R2
R' L F L2 B2 U R2
L R F L2 R2 U R2
R' L F U R2 D' B2
R L F L2 R2 U R2
L R F R2 L2 U R2
R L F R2 L2 U R2
R' L F B L2 U R2
R' L F B' L2 U R2
R' L F B2 L2 U R2
R' L F' L2 F2 U R2
L R F' D' L2 F2 B2
L R F' D' L2 B2 F2
L R F' D' F2 L2 B2
L R F' D' F2 B2 L2
L R F' D' B2 L2 F2
L R F' D' B2 F2 L2
R L F' D' L2 F2 B2
R L F' D' L2 B2 F2
R L F' D' F2 L2 B2
R L F' D' F2 B2 L2
R L F' D' B2 L2 F2
R L F' D' B2 F2 L2
R' L F2 L2 F' U R2
F' L F L' R' U R2
F' L F R' L' U R2
R' L B F L2 U R2
R' L B' F L2 U R2
L' R B2 R2 F' U R2
R' L B2 F L2 U R2
L' R' U R2 U B' U'
R' L' U R2 U B' U'
R' L' U2 D' F2 B' U'
L' R' U2 D' F2 B' U'
R' L' U2 D' B' F2 U'
L' R' U2 D' B' F2 U'
R' L' U2 F B' U' R2
L' R' U2 F B' U' R2
R' L' U2 F' B' U' R2
L' R' U2 F' B' U' R2
R' L' U2 F2 B' U' R2
L' R' U2 F2 B' U' R2
R' L' U2 B' U' R2 D
R' L' U2 B' U' R2 D'
R' L' U2 B' U' R2 D2
L' R' U2 B' U' R2 D
L' R' U2 B' U' R2 D'
L' R' U2 B' U' R2 D2
R' L' U2 B' D' F2 U'
R' L' U2 B' F U' R2
L' R' U2 B' D' F2 U'
R' L' U2 B' F' U' R2
R' L' U2 B' F2 U' R2
L' R' U2 B' F U' R2
L' R' U2 B' F' U' R2
L' R' U2 B' F2 U' R2
D2 L' R' U2 B' U' R2
D' L' R' U2 B' U' R2
D L' R' U2 B' U' R2
U2 L' R' D F' B2 U
U2 L' R' D B2 F' U
R' L' D B2 U2 B U'
L' R' D B2 U2 B U'
U' L' R' F' U L' R2
U' L' R' F' U R2 L'
U2 L' R' F' U R2 D
U2 L' R' F' U R2 D'
U2 L' R' F' U R2 D2
U2 L' R' F' D B2 U
U2 L' R' F' B U R2
U2 L' R' F' B' U R2
U2 L' R' F' B2 U R2
U2 L' R' B F' U R2
U2 L' R' B' F' U R2
U2 L' R' B2 F' U R2
U L' R' B U L R2
U L' R' B U R2 L
R' L' D' U2 F2 B' U'
R' L' D' U2 B' F2 U'
L' R' D' U2 F2 B' U'
L' R' D' U2 B' F2 U'
L R' F L2 U R2 D
L R' F L2 U R2 D'
L R' F L2 U R2 D2
L R' F L2 D B2 U
L R' F L2 B U R2
L R' F L2 B' U R2
L R' F L2 B2 U R2
R' L' F U2 B' U' R2
L' R' F U2 B' U' R2
L R' F U R2 D' B2
L R' F B L2 U R2
L R' F B' L2 U R2
L R' F B2 L2 U R2
L R' F' L2 F2 U R2
R' L' F' U2 B' U' R2
L' R' F' U2 B' U' R2
B' L' U2 B' L U' R
B2 L' U2 B' L2 U' R
L R' F2 L2 F' U R2
R' L' F2 U2 B' U' R2
U2 L' D R' F' U R2
L' R' F2 U2 B' U' R2
R' L' B U R2 D L2
L' R' B U R2 D L2
R' L' B U2 B2 U' R2
U2 L' D' R' F' U R2
L' R' B U2 B2 U' R2
R' L' B D B2 U L2
